year,veux_VERB aller_VERB
1961,2.3415296368511918e-07
1962,2.4860469238774385e-07
1963,2.651081842941494e-07
1964,2.2267323629421298e-07
1965,2.7633819854600006e-07
1966,2.714146489779523e-07
1967,2.622938666263508e-07
1968,2.384941808486474e-07
1969,1.8984547978107003e-07
1970,2.262572706968058e-07
1971,2.2968636415043875e-07
1972,2.2983057590408862e-07
1973,2.0123194133248035e-07
1974,1.7045482536559575e-07
1975,1.9590376609812665e-07
1976,1.845469199679428e-07
1977,1.8394327128135046e-07
1978,2.2099000318576145e-07
1979,2.2939735799809569e-07
1980,2.1603572974981944e-07
1981,2.1759890955763694e-07
1982,1.8684582414607576e-07
1983,2.38718939726823e-07
1984,2.215221286405722e-07
1985,2.285912046318117e-07
1986,2.1220478174655e-07
1987,1.8943532609227987e-07
1988,1.67303852549594e-07
1989,2.0745102347063948e-07
1990,1.9669630546559347e-07
1991,2.1980494580020604e-07
1992,1.9670500250867917e-07
1993,2.3430847306826763e-07
1994,2.405366501534445e-07
1995,2.2232048024761752e-07
1996,2.3594367348778178e-07
1997,2.1624974522183038e-07
1998,2.055063674788471e-07
1999,2.2028369528470648e-07
2000,2.1604174094136397e-07
2001,2.733876272031921e-07
2002,2.3001412330359017e-07
2003,2.4418167754447495e-07
2004,2.347753706999356e-07
2005,2.621182204620709e-07
2006,2.5901528033500654e-07
2007,3.17161664042942e-07
2008,3.542189688232611e-07
2009,4.4964056655771856e-07
2010,4.246689968567807e-07
2011,5.338264941201487e-07
2012,5.916591021559725e-07
2013,6.732947781529219e-07
2014,6.598111212952062e-07
2015,6.776070904379594e-07
2016,7.558319907730038e-07
2017,7.053774311316374e-07
2018,7.682444902457064e-07
2019,7.601943252666388e-07
