year,devons_VERB aller_VERB
1992,1.0083197565791124e-07
1993,1.1576943848012888e-07
1994,1.4242301915601274e-07
1995,1.0411105222374317e-07
1996,1.4039181905900477e-07
1997,1.4672377801616676e-07
1998,1.4399749659332883e-07
1999,1.595000185261597e-07
2000,1.316573445819813e-07
2001,1.6648604628244357e-07
2002,1.5421899490775104e-07
2003,1.4167538608944596e-07
2004,1.4315571661427384e-07
2005,1.324102356647927e-07
2006,1.3836110213105712e-07
2007,1.6577089922975574e-07
2008,1.6604015229404467e-07
2009,2.1313820752766333e-07
2010,2.4233057160927274e-07
2011,2.5276455062339664e-07
2012,3.094465625963494e-07
2013,3.397154273443448e-07
2014,3.4625469425009214e-07
2015,3.3625448736529506e-07
2016,3.776052892590087e-07
2017,3.7734170632575115e-07
2018,3.996110535808839e-07
2019,3.7320950241337414e-07
