year,dois_VERB aller_VERB
1912,1.2815176830827113e-07
1913,1.5325640845276212e-07
1914,1.5603413316966908e-07
1915,1.5432797795256192e-07
1916,1.6151568615896394e-07
1917,1.6120644374950643e-07
1918,7.810736235569493e-08
1919,1.6482049147725775e-07
1920,1.2645627123220038e-07
1921,1.522122232699985e-07
1922,1.5050989077280974e-07
1923,1.6136240788000578e-07
1924,1.7790441120268952e-07
1925,1.6387285484142922e-07
1926,1.5270209985374095e-07
1927,2.620067789393943e-07
1928,1.5653677110094577e-07
1929,2.317204490509539e-07
1930,1.7120873962994665e-07
1931,1.3344266847070685e-07
1932,1.2932252957398305e-07
1933,1.2961848483428184e-07
1934,1.6654396972626273e-07
1935,1.6875280550721072e-07
1936,1.3822175048971985e-07
1937,1.6242542244526703e-07
1938,1.5169301548212388e-07
1939,1.3764645245828433e-07
1940,1.2425336137766863e-07
1941,1.9479917057196872e-07
1942,2.0632640485018783e-07
1943,1.9741999324196513e-07
1944,1.9600435052780085e-07
1945,2.0042237736106472e-07
1946,2.2552188738700352e-07
1947,2.2172820024479734e-07
1948,1.8917084787517524e-07
1949,1.68852537285602e-07
1950,2.1483430145963212e-07
1951,2.0576504766722792e-07
1952,1.6766237820320384e-07
1953,2.4779802743069013e-07
1954,2.6483573378754954e-07
1955,2.2150034340029379e-07
1956,1.9971413678376848e-07
1957,1.8995331174664898e-07
1958,1.9770661197071604e-07
1959,2.1392064297742763e-07
1960,2.5122625402218546e-07
1961,2.369322373851901e-07
1962,2.606544171612768e-07
1963,2.618751580030221e-07
1964,2.025961407525756e-07
1965,1.8604947626954527e-07
1966,2.0273013490168523e-07
1967,1.986925184382926e-07
1968,1.9447830368335417e-07
1969,1.707700931774525e-07
1970,1.5911588491235307e-07
1971,2.281448416852072e-07
1972,2.0366682917938306e-07
1973,1.9351345770246553e-07
1974,1.828310729479199e-07
1975,1.8505195953366638e-07
1976,2.0111615128826088e-07
1977,1.6983899797651247e-07
1978,1.9188109945389442e-07
1979,1.8667795131932508e-07
1980,2.234264258049734e-07
1981,2.625102979436633e-07
1982,2.1664183691427752e-07
1983,2.450342719839682e-07
1984,2.1456331467106793e-07
1985,2.5746587084540806e-07
1986,2.601606752250518e-07
1987,2.285445503957817e-07
1988,2.680459658677137e-07
1989,2.3708687990620092e-07
1990,2.3974064333742717e-07
1991,2.3035558172068704e-07
1992,2.462944905801123e-07
1993,2.1381340786774672e-07
1994,2.653288220244576e-07
1995,2.331653803366862e-07
1996,2.5836365580289566e-07
1997,2.555678690896457e-07
1998,2.770283060726797e-07
1999,2.769541822544852e-07
2000,2.708253248329129e-07
2001,2.852168847766734e-07
2002,3.1194298344416893e-07
2003,3.4585460184644035e-07
2004,2.990853147366579e-07
2005,2.9049184036011866e-07
2006,3.656686260455899e-07
2007,6.231388169908314e-07
2008,5.998732603984536e-07
2009,7.405002975247044e-07
2010,1.0297868584530079e-06
2011,1.0680353170755552e-06
2012,1.3348075071917265e-06
2013,1.4642906762674102e-06
2014,1.543745838716859e-06
2015,1.5504945167776896e-06
2016,1.6164738099178066e-06
2017,1.982050207516295e-06
2018,2.1451987777254544e-06
2019,1.9711483218998183e-06
