year,mêmes_ADJ routes_NOUN
1925,3.8493624288094e-08
1926,6.018914433525424e-08
1927,5.4631200896437804e-08
1928,5.3702393643106916e-08
1929,6.907051641746875e-08
1930,4.516549623190258e-08
1931,4.904303452235581e-08
1932,4.931791508511196e-08
1933,2.982372038218273e-08
1934,7.668211310374318e-08
1935,5.505410882733486e-08
1936,3.516167268458048e-08
1937,5.5400921183945684e-08
1938,4.2785206488815675e-08
1939,5.964679417047591e-08
1940,5.832300686847702e-08
1941,5.9030050181263505e-08
1942,6.978687139280737e-08
1943,9.290352664947932e-08
1944,3.213186161588055e-08
1945,3.485606470121638e-08
1946,4.872386583087973e-08
1947,7.152522840669917e-08
1948,4.566192757238241e-08
1949,3.043272656100271e-08
1950,4.5732054587688253e-08
1951,5.650542789226165e-08
1952,5.061505703451985e-08
1953,3.98631598841348e-08
1954,3.518113089739927e-08
1955,5.162084448784299e-08
1956,5.4943193106282706e-08
1957,3.534015036166238e-08
1958,4.4670112941957996e-08
1959,4.417926291466756e-08
1960,4.706166834012038e-08
1961,5.072156383789661e-08
1962,5.7077606641087186e-08
1963,3.9442923593924206e-08
1964,6.08396817369794e-08
1965,3.283226135408768e-08
1966,5.871419261893607e-08
1967,6.162919419239188e-08
1968,5.1202139417227954e-08
1969,4.496340366699769e-08
1970,4.828661204214768e-08
1971,4.8300936583700604e-08
1972,4.463227654127877e-08
1973,5.402939606824475e-08
1974,4.6692246513657665e-08
1975,5.0832174025572385e-08
1976,3.428116102099921e-08
1977,4.7014253823363106e-08
1978,3.445542873237173e-08
1979,4.037861600636461e-08
1980,4.77552646316326e-08
1981,3.795329561739891e-08
1982,4.6556266397601576e-08
1983,3.726036368334462e-08
1984,3.189454744756404e-08
1985,3.849957153079231e-08
1986,2.2779044428489215e-08
1987,4.0331389783432314e-08
1988,2.5185526553173077e-08
1989,2.5245361356951435e-08
1990,2.887784944505256e-08
1991,3.282420379946416e-08
1992,2.2039776226279173e-08
1993,3.489700617365088e-08
1994,3.586950114708998e-08
1995,3.5788175978268555e-08
1996,3.202855225481471e-08
1997,3.068732468136659e-08
1998,3.2900093316357015e-08
1999,3.6104587763929885e-08
2000,4.285490717848006e-08
2001,2.9792239786274877e-08
2002,2.9354184860608257e-08
2003,2.7501691590714472e-08
2004,3.567880924038036e-08
2005,2.8823997411109303e-08
2006,3.047238550379916e-08
2007,3.83470037945699e-08
2008,2.8524846484856425e-08
2009,3.1946889578193804e-08
2010,4.2514137987836875e-08
2011,3.709252638373073e-08
2012,3.336167608836149e-08
2013,3.5142974752488954e-08
2014,4.980524082043303e-08
2015,3.125371250689568e-08
2016,3.2934305949083864e-08
2017,2.7671724467381864e-08
2018,3.665682868358999e-08
2019,4.821366772489455e-08
