year,voulais_VERB appeler_VERB,voulais_VERB rappeler_VERB
1866,1.9949013108089275e-08,8.271541673821048e-09
1867,9.7056229719783e-09,1.844068364675877e-08
1868,2.3711395513714706e-08,1.8277534152844055e-08
1869,2.7347706321734222e-08,1.70923168951731e-08
1870,1.3188312664169644e-08,7.454262984651905e-09
1871,2.8677177965619194e-08,1.4869648623516696e-08
1872,2.0560953828407946e-08,2.1770421909650395e-08
1873,1.6760813181804224e-08,2.095101514498765e-08
1874,1.6728906260254917e-08,8.961913877669758e-09
1875,1.1443054503956773e-08,1.3159512590732447e-08
1876,6.650616057868319e-09,1.209202959984168e-08
1877,3.710889595609501e-09,8.040260901509555e-09
1878,1.9325083755461492e-08,4.22736201599605e-09
1879,7.94212251520321e-09,1.0996785704264767e-08
1880,2.631317030932223e-08,1.6686399817444908e-08
1881,1.3945014920579979e-08,9.064259565150223e-09
1882,1.6638463051776853e-08,5.989846840748214e-09
1883,1.516641390253426e-08,1.516641390253426e-08
1884,1.1883054540362536e-08,8.582206056928499e-09
1885,1.2246707647989297e-08,1.8692343672910283e-08
1886,2.710454793941608e-08,5.162771099520569e-09
1887,8.48760173255414e-09,1.8933882017790893e-08
1888,1.268122939990235e-08,5.706553452000662e-09
1889,2.0048437576747347e-08,5.6386229019267375e-09
1890,1.8352281472289178e-08,2.1629475099871343e-08
1891,1.0198752065093686e-08,1.3385862196457765e-08
1892,9.402768341715273e-09,1.1283322720601063e-08
1893,2.155445777418663e-08,1.0469308087124318e-08
1894,8.192000855444803e-09,1.1972924873759894e-08
1895,3.189865793729041e-08,1.5046536461227333e-08
1896,2.0049897742069334e-08,4.717623180994224e-09
1897,1.0488084178916779e-08,8.740070001067579e-09
1898,1.1316709347397591e-08,6.224190496340043e-09
1899,1.2160672469008205e-08,1.326618814800895e-08
1900,1.1939421895590385e-08,9.34389543516545e-09
1901,1.676621685930968e-08,1.0618603774048552e-08
1902,1.5712908307818907e-08,1.0311596021495006e-08
1903,9.720396931811592e-09,9.1803746826713e-09
1904,2.0961039126632386e-08,5.374625189347171e-09
1905,2.0643035725242953e-08,1.7546581076999246e-08
1906,1.4403716441790948e-08,1.18316245689698e-08
1907,6.1714118260169926e-09,7.71426478252124e-09
1908,1.4734167663732478e-08,1.0313916831705683e-08
1909,1.5402754627302784e-08,9.901770070541716e-09
1910,8.550641084070776e-09,1.0153886620400954e-08
1911,1.0108711201439746e-08,1.649316061502759e-08
1912,1.3023552902780011e-08,1.40654377034366e-08
1913,1.2196876397752021e-08,2.6514948014977335e-09
1914,6.027069510139427e-09,2.0090231700464756e-09
1915,9.424609537234119e-09,7.068456930880984e-09
1916,1.0987462051303964e-09,2.197492321442951e-08
1917,1.5352993543160665e-08,4.386569774084137e-09
1918,9.189101035644853e-09,8.040463406189247e-09
1919,1.1970202606903513e-08,1.012863304339362e-08
1920,6.815008557481406e-09,1.817335615328375e-08
1921,3.0290989716519334e-09,3.7863738810983705e-09
1922,5.902348387820666e-09,7.377935595798135e-09
1923,4.246379248229459e-09,4.246379248229459e-09
1924,9.02413699321869e-09,1.1602462102189293e-08
1925,9.898360353588487e-09,1.0998178368026856e-08
1926,2.8979959765251806e-08,1.2260752413340015e-08
1927,2.2298449753321847e-09,1.3379070296082318e-08
1928,6.8556245125250825e-09,7.998228745975666e-09
1929,7.798284684668033e-09,1.4482528065684619e-08
1930,5.2518016602221e-09,1.2604324695075775e-08
1931,1.9389105432310316e-08,7.983749661377715e-09
1932,1.0959536389520963e-08,9.863582839386709e-09
1933,1.0323596200123575e-08,1.0323596200123575e-08
1934,1.5576054224197833e-08,9.585264137967897e-09
1935,1.196828414151696e-09,1.6755597798123745e-08
1936,1.2124714565686645e-09,2.424942913137329e-09
1937,1.0072894518486919e-08,8.813782592653752e-09
1938,2.5930428915188486e-09,5.186085783037697e-09
1939,9.176430282309411e-09,1.5294050470515685e-09
1940,2.5357829169792012e-09,0.0
1941,1.1806010391524069e-08,0.0
1942,6.068423541449874e-09,9.102635090130207e-09
1943,5.806470415592457e-09,0.0
1944,0.0,0.0
1945,8.714016175304096e-09,2.3963544037997053e-08
1946,5.568441707737293e-09,1.3921104269343232e-09
1947,1.7881307101674793e-08,2.3841741914054637e-09
1948,8.697510267552389e-09,9.784699273041042e-09
1949,3.9268033269479474e-09,1.668891336237266e-08
1950,3.190608444114673e-09,2.1270722960764488e-09
1951,8.529121409139861e-09,4.264560704569931e-09
1952,2.1089607837865287e-09,7.381362632230548e-09
1953,4.3095309543161875e-09,2.1547654771580937e-09
1954,1.07497895029951e-08,2.9317608341017376e-09
1955,6.569925492527773e-09,1.407841132561316e-08
1956,1.3953826538681824e-08,5.232684952005684e-09
1957,3.534015080575159e-09,6.184526224473075e-09
1958,5.790570245522986e-09,7.445019267748876e-09
1959,3.100299128533379e-09,1.0851047171911432e-08
1960,5.536666680683311e-09,8.997083078554624e-09
1961,8.33779090214648e-09,3.47407969059077e-09
1962,5.0735651235811474e-09,1.0781326054143392e-08
1963,7.1126584622049904e-09,6.466053470433053e-09
1964,1.2167936658258327e-09,1.520992043424485e-08
1965,1.5321720781003023e-08,1.1491291473930687e-08
1966,3.3234448526542337e-09,8.308612464702492e-09
1967,4.437302081328198e-09,1.5777073869571723e-08
1968,5.838840522187638e-09,4.042274071025531e-09
1969,5.904285060864822e-09,1.3625273354023193e-08
1970,1.4715920038099739e-08,1.1496812390987543e-08
1971,5.138397263237948e-09,1.5415192677892264e-08
1972,4.6171320100540925e-09,9.234264020108185e-09
1973,9.923766697284009e-09,7.718485406371656e-09
1974,7.313243344242437e-09,4.500457340128605e-09
1975,6.8537762132336866e-09,6.8537762132336866e-09
1976,1.7140580066410394e-09,9.141642998145016e-09
1977,6.464460078348111e-09,1.057820764316375e-08
1978,5.940591130126904e-09,9.504946163474415e-09
1979,8.777959692451986e-09,1.404473604083023e-08
1980,2.2740602734216964e-09,1.6486936260662333e-08
1981,4.427884725544118e-09,1.0120879245789638e-08
1982,3.1037510339615437e-09,6.828252629986764e-09
1983,0.0,6.946847541655643e-09
1984,6.378909400694965e-09,7.538710988796993e-09
1985,6.015557829641693e-09,4.210890747202711e-09
1986,2.997242676272549e-09,5.994485352545098e-09
1987,3.0554083707556856e-09,1.099947066762752e-08
1988,2.99827696004229e-09,5.396898483667201e-09
1989,6.036934507847036e-09,8.780995486290522e-09
1990,2.724325431913144e-09,1.0897301727652575e-08
1991,9.96449056600568e-09,6.4476117778156095e-09
1992,5.509944056569793e-09,1.2672871640972971e-08
1993,4.4313659408601325e-09,1.0524494165053966e-08
1994,6.857404422078162e-09,7.384897138251745e-09
1995,3.795715741716776e-09,1.138714633697191e-08
1996,3.2028553142993132e-09,1.2811421257197253e-08
1997,7.192341833217597e-09,8.630809844589749e-09
1998,7.629006759657386e-09,1.1920323395031573e-08
1999,7.312321859131998e-09,1.1882523409667556e-08
2000,5.743440834038438e-09,1.0161472552283612e-08
2001,6.571817756650944e-09,1.4896119893137438e-08
2002,5.6955880012310445e-09,1.4019908789464353e-08
2003,1.2500768420409258e-08,7.500461585152607e-09
2004,6.166707589017051e-09,1.0131019578807354e-08
2005,5.854874363109275e-09,1.1259373877692269e-08
2006,5.7650457740976435e-09,8.235780057930242e-09
2007,9.18730247434496e-09,1.1583990655594789e-08
2008,8.089135583588813e-09,1.1069342775726909e-08
2009,3.051643204798893e-08,1.3827758493789588e-08
2010,1.5116137674908714e-08,4.723792912386671e-09
2011,2.2943831723409858e-08,4.5887662558641296e-09
2012,2.5872321174347235e-08,8.510632198976964e-09
2013,2.3149738126448938e-08,8.925200134513034e-09
2014,3.18320445558129e-08,7.145969149746634e-09
2015,3.191868458429781e-08,8.644644111654998e-09
2016,2.83773591291947e-08,7.871092222444531e-09
2017,3.5721679836342446e-08,9.559323110863716e-09
2018,3.665682868358999e-08,5.937373259712331e-09
2019,3.21424451499297e-08,6.632568272380013e-09
