year,puissions_VERB aller_VERB
1901,1.397184767881754e-08
1902,1.6203935970793282e-08
1903,1.674068350610014e-08
1904,2.042357571951925e-08
1905,1.5482276793932215e-08
1906,1.9547901075611662e-08
1907,1.4399961223432456e-08
1908,1.9154416719402434e-08
1909,1.6502950117569526e-08
1910,1.60324518105881e-08
1911,9.576673676292558e-09
1912,2.135862686714063e-08
1913,2.2802856491921375e-08
1914,8.705766774141921e-09
1915,7.068456930880984e-09
1916,2.0876177231343718e-08
1917,2.0836205649743533e-08
1918,6.89182577673364e-09
1919,2.2098836538475553e-08
1920,2.6502810612782923e-08
1921,1.3630945261411398e-08
1922,1.9920426197472807e-08
1923,3.290944050604594e-08
1924,1.0313299547703991e-08
1925,9.898360353588487e-09
1926,1.89484357093761e-08
1927,1.1149224654616319e-08
1928,1.1426041446327417e-08
1929,7.798284684668033e-09
1930,1.2604324695075775e-08
1931,1.4826963656844327e-08
1932,9.863582839386709e-09
1933,1.0323596200123575e-08
1934,1.5576054224197833e-08
1935,2.2739740757060645e-08
1936,7.274828739411987e-09
1937,1.6368453259474336e-08
1938,5.186085783037697e-09
1939,1.8352860564618823e-08
1940,2.028626333583361e-08
1941,8.854508237732261e-09
1942,2.730790527039062e-08
1943,4.3548528338988035e-08
1944,1.927911696952833e-08
1945,6.535512131478072e-09
1946,2.227376683094917e-08
1947,2.5033829231801974e-08
1948,2.174377655705939e-08
1949,6.8719057111366055e-09
1950,1.701657836861159e-08
1951,2.6653504292539765e-08
1952,1.4762725264461096e-08
1953,1.723812381726475e-08
1954,1.9545073115523337e-08
1955,1.6894095011821264e-08
1956,3.1396108823855684e-08
1957,1.6786572132332367e-08
1958,1.2408365002158916e-08
1959,1.2401196514133517e-08
1960,2.9759583242139342e-08
1961,1.945484662257968e-08
1962,2.1562652108286784e-08
1963,1.4225316924409981e-08
1964,1.8860301764789256e-08
1965,1.860494691641179e-08
1966,2.547974453648294e-08
1967,1.9721342781053863e-08
1968,1.4821671889819754e-08
1969,2.043791091921321e-08
1970,2.3913370839068193e-08
1971,1.1304474689666222e-08
1972,1.5903454553267693e-08
1973,1.268036875501366e-08
1974,2.5315072704756858e-08
1975,1.8276736568623164e-08
1976,2.628222439682304e-08
1977,1.5867311020656416e-08
1978,1.128712323605896e-08
1979,1.1703946256602649e-08
1980,1.762396628635088e-08
1981,2.5302197670384885e-08
1982,1.6139505731871395e-08
1983,1.3893695083311286e-08
1984,1.6237223121606803e-08
1985,1.7445119127046382e-08
1986,2.3977941410180392e-08
1987,1.7721369260925712e-08
1988,1.8589316752581908e-08
1989,1.6464365870660913e-08
1990,1.8525414091641323e-08
1991,2.1687421636329418e-08
1992,1.4325855168806356e-08
1993,1.2186256448387667e-08
1994,1.635227242502424e-08
1995,1.6809597269684673e-08
1996,1.5480466686312866e-08
1997,1.8700088588730068e-08
1998,1.716526476513991e-08
1999,1.6452723627935484e-08
2000,1.8555732950176207e-08
2001,1.2267393323384113e-08
2002,2.1906107150471144e-08
2003,1.583430631058036e-08
2004,1.9381081628466745e-08
2005,2.0266872624574717e-08
2006,2.388376074691223e-08
2007,1.677681460421354e-08
2008,2.171294255504108e-08
2009,2.86091541568112e-08
2010,3.070465481869178e-08
2011,1.7207874236646603e-08
2012,3.063827591631707e-08
2013,3.5979713430833726e-08
2014,2.9450054839230688e-08
2015,3.7016807397094453e-08
2016,4.7847954931512504e-08
2017,3.999821984734808e-08
2018,4.1303465536657313e-08
2019,3.698932360407525e-08
