year,plusieurs_DET ondes_NOUN
1912,2.135862686714063e-08
1913,6.363587878865928e-09
1914,2.0090231700464756e-08
1915,1.295883844676382e-08
1916,3.2962386153911893e-09
1917,7.676496771580332e-09
1918,5.743188147278033e-09
1919,1.3811772170413406e-08
1920,1.514446346106979e-08
1921,2.4232791773215467e-08
1922,8.853522359686394e-09
1923,1.3800733000834953e-08
1924,1.5469948877466777e-08
1925,2.859526304632709e-08
1926,2.0063049888108253e-08
1927,3.0102906833917586e-08
1928,1.9424270192303084e-08
1929,1.2254447234738564e-08
1930,2.6259009189288918e-08
1931,3.193499864551086e-08
1932,2.301502632917618e-08
1933,4.817677989876756e-08
1934,6.470052937856963e-08
1935,2.2739740757060645e-08
1936,6.911087524485993e-08
1937,6.169647726039784e-08
1938,4.2785206488815675e-08
1939,2.5999884911698246e-08
1940,2.2822046474857416e-08
1941,3.5418032950929046e-08
1942,3.034211770724937e-09
1943,4.064529335323641e-08
1944,9.639558484764166e-09
1945,3.485606470121638e-08
1946,2.227376771912759e-08
1947,3.814678706248742e-08
1948,2.717971980814582e-08
1949,1.6688914139528777e-08
1950,5.849448858619155e-08
1951,3.411648485940333e-08
1952,3.268889159357968e-08
1953,2.908933460776808e-08
1954,2.834035517373934e-08
1955,2.7218263198847126e-08
1956,2.9651880950609666e-08
1957,4.417518939536791e-08
1958,5.0460683853614796e-08
1959,3.3328214188443894e-08
1960,2.6991250123842292e-08
1961,1.9454845179289748e-08
1962,1.7123282347597524e-08
1963,2.392439668597035e-08
1964,2.0685492374550307e-08
1965,1.6963333848707407e-08
1966,3.212663202134536e-08
1967,1.1339771788243524e-08
1968,1.976222918642634e-08
1969,2.0892086283197386e-08
1970,2.345349692234322e-08
1971,1.9525909777939887e-08
1972,1.7955514408640738e-08
1973,1.268036875501366e-08
1974,1.5751600912494723e-08
1975,1.9419032160072902e-08
1976,3.370980805605939e-08
1977,2.056873604772136e-08
1978,1.0099005187669263e-08
1979,1.345953837272873e-08
1980,5.6851505725319385e-09
1981,1.0753434587229549e-08
1982,1.2415004913002292e-08
1983,8.84144257806696e-09
1984,6.378909400694965e-09
1985,1.3234227935754461e-08
1986,4.7955883708539204e-09
1987,6.721898593298192e-09
1988,4.197587610832443e-09
1989,5.488121956886971e-09
1990,1.1442167213715493e-08
1991,3.5168792322792797e-09
1992,1.8733810946969243e-08
1993,9.970573089379542e-09
1994,1.2132331583813993e-08
1995,7.049185846152994e-09
1996,4.270473752399084e-09
1997,1.4384683777457496e-08
1998,8.582632937681467e-09
1999,6.398281460207045e-09
2000,3.534425307982758e-09
2001,1.0076787043677982e-08
2002,4.819343757400674e-09
2003,8.750538071922165e-09
2004,8.809582230373536e-09
2005,9.007498746882447e-09
2006,8.235780057930242e-09
2007,7.190063211481856e-09
2008,1.2346575400945525e-08
2009,1.0966842545201416e-08
2010,1.369900015646408e-08
2011,9.942326961720482e-09
2012,1.6680838044180746e-08
2013,1.2829975526429394e-08
2014,8.878325463701486e-09
2015,6.871383573248124e-09
2016,6.4211539696490405e-09
2017,8.049956534694758e-09
2018,1.2391040193904246e-08
2019,1.0969247454806208e-08
