year,devions_VERB aller_VERB
1992,3.03046938654461e-08
1993,5.982344220001323e-08
1994,5.274926451193096e-08
1995,5.042879180905402e-08
1996,4.003569031851839e-08
1997,3.979762297490197e-08
1998,4.815810683567179e-08
1999,5.0272213059088244e-08
2000,5.169096795043515e-08
2001,6.352757253580421e-08
2002,4.5564704009848356e-08
2003,5.083645859826902e-08
2004,7.444096894460017e-08
2005,5.7197620861870746e-08
2006,5.847403627967651e-08
2007,6.590891388214004e-08
2008,6.556457066153598e-08
2009,8.43970084929424e-08
2010,8.739016976733183e-08
2011,8.986334165683729e-08
2012,9.872332640270542e-08
2013,1.2467388899040088e-07
2014,1.3685612998415309e-07
2015,1.3188623881887906e-07
2016,1.3815838428854477e-07
2017,1.1194470772579734e-07
2018,1.453365712222876e-07
2019,1.234678137507217e-07
