year,plus_ADV rusé_VERB
1932,6.575721855917038e-09
1933,1.0323596200123575e-08
1934,9.585264137967897e-09
1935,8.377798899061872e-09
1936,1.091224266502877e-08
1937,2.5182236296217297e-09
1938,1.0372171566075394e-08
1939,1.3764645423464117e-08
1940,5.0715658339584024e-09
1941,1.4757512545315876e-08
1942,9.102635090130207e-09
1943,1.1612940831184915e-08
1944,2.2492303131116387e-08
1945,2.3963544037997053e-08
1946,1.6705325123211878e-08
1947,2.1457568166738383e-08
1948,9.784699273041042e-09
1949,8.835307596655184e-09
1950,2.5524867552917385e-08
1951,7.462981344019681e-09
1952,2.4253049346611988e-08
1953,8.619061908632375e-09
1954,1.2704296725729591e-08
1955,2.0648337262230143e-08
1956,2.4419196664737797e-08
1957,1.2369053170591116e-08
1958,1.9853384713997002e-08
1959,1.4726420638488946e-08
1960,1.3841666479663672e-08
1961,1.459113452284555e-08
1962,1.0147130247162295e-08
1963,1.8751554975438012e-08
1964,6.6923653285755336e-09
1965,8.208064727899256e-09
1966,1.1632057428379028e-08
1967,1.2818872074937815e-08
1968,2.2906220920049236e-08
1969,1.1808570121729645e-08
1970,8.277704743875347e-09
1971,1.1818314438194477e-08
1972,1.1799337507056862e-08
1973,1.3231689521830958e-08
1974,1.1813700295792984e-08
1975,1.3707552426467373e-08
1976,7.998937512354587e-09
1977,7.052138428775834e-09
1978,1.6633656230169436e-08
1979,1.2289143924704149e-08
1980,8.527726080842513e-09
1981,1.9609203150139365e-08
1982,6.828252629986764e-09
1983,6.315316269933646e-09
1984,1.2177917563249707e-08
1985,1.6242006850575308e-08
1986,1.1988970760601347e-08
1987,1.4054878871849752e-08
1988,1.439172936379407e-08
1989,1.5915554429923873e-08
1990,1.1442167213715493e-08
1991,9.96449056600568e-09
1992,1.3223866057732181e-08
1993,1.2740176913439427e-08
1994,1.0549853435293244e-08
1995,1.789408771157852e-08
1996,1.1743803041142087e-08
1997,1.1507746755512471e-08
1998,1.382757464085671e-08
1999,1.1425503126938352e-08
2000,8.836062881378837e-09
2001,1.3581756164171566e-08
2002,1.445803121669087e-08
2003,1.6667690894145437e-08
2004,1.0571499065026302e-08
2005,1.4411998816576954e-08
2006,1.853050535238765e-08
2007,1.9972397791168106e-08
2008,2.341591825993916e-08
2009,2.7655516987579176e-08
2010,1.653327574846486e-08
2011,2.638540574917414e-08
2012,3.131912429399364e-08
2013,3.1796025590224986e-08
2014,3.031623291294139e-08
2015,2.9258795608555488e-08
2016,2.8791627415536425e-08
2017,2.2137379318554196e-08
2018,3.484980126700066e-08
2019,3.2397543092699266e-08
