year,quelques_DET routes_NOUN
1955,3.754243227405141e-08
1956,4.53499351404929e-08
1957,5.212672382626238e-08
1958,3.0607301415574995e-08
1959,3.487836619520124e-08
1960,2.9759583020094738e-08
1961,4.724748325912742e-08
1962,2.663621723186793e-08
1963,4.590897706435726e-08
1964,4.6846555967761105e-08
1965,2.845462643286112e-08
1966,5.649856404943421e-08
1967,2.6623811488768467e-08
1968,3.862617492522702e-08
1969,4.360087446642069e-08
1970,3.587005403815624e-08
1971,2.7747346642570392e-08
1972,3.6424042781924015e-08
1973,2.646337882161731e-08
1974,3.3753428940741514e-08
1975,2.6843955946986853e-08
1976,2.9710338966815186e-08
1977,2.52701610747863e-08
1978,3.504948908883421e-08
1979,2.1652301729346846e-08
1980,3.240535972892644e-08
1981,1.9609204038317785e-08
1982,2.6071509839908913e-08
1983,3.410270643655622e-08
1984,2.4355835570588624e-08
1985,2.7671566149578553e-08
1986,1.978180286243969e-08
1987,2.138785903937901e-08
1988,2.1587593934668803e-08
1989,2.908704743731505e-08
1990,2.560866030343334e-08
1991,2.2859714399192654e-08
1992,1.9284804086971974e-08
1993,2.7142116110212555e-08
1994,2.7957110182441625e-08
1995,2.765449957919941e-08
1996,2.829188838759933e-08
1997,2.6371918870893296e-08
1998,2.6224710403255358e-08
1999,2.8792267681154726e-08
2000,2.474097637872319e-08
2001,2.2344180172773065e-08
2002,2.716357361265409e-08
2003,3.5002151621554844e-08
2004,1.9821560226507273e-08
2005,1.9816498664226856e-08
2006,2.470733945214576e-08
2007,1.8774052978898226e-08
2008,3.576249407721832e-08
2009,3.9099177229218185e-08
2010,3.7317965606575854e-08
2011,3.556293881601391e-08
2012,4.221273330884401e-08
2013,2.7891249754219416e-08
2014,3.291476646793967e-08
2015,3.746012300354096e-08
2016,3.5627047978437076e-08
2017,3.094201961317822e-08
2018,2.942872079358949e-08
2019,3.061185260833099e-08
