year,devons_VERB appliquer_VERB
1895,3.671354775747204e-08
1896,1.8280790214930676e-08
1897,1.3401440845939305e-08
1898,1.9238406423482957e-08
1899,2.04520400615138e-08
1900,2.9589003247565415e-08
1901,1.956058603980182e-08
1902,2.0623192042990013e-08
1903,3.456140973412403e-08
1904,1.827372564378038e-08
1905,3.1996705729397945e-08
1906,2.572092228092515e-08
1907,2.9314207949937554e-08
1908,2.6030361865991836e-08
1909,2.585462333115629e-08
1910,2.51175080734356e-08
1911,3.298632123005518e-08
1912,2.5526164293410147e-08
1913,2.6514948459066545e-08
1914,3.080502253283157e-08
1915,1.6493066468115103e-08
1916,3.076489463182952e-08
1917,3.5092558192673096e-08
1918,1.8378202071289707e-08
1919,3.498982437122322e-08
1920,5.2248399384779987e-08
1921,3.7863738810983705e-08
1922,1.9920426197472807e-08
1923,1.8047112249064412e-08
1924,1.675911143195208e-08
1925,2.969508017258704e-08
1926,1.4489979882625903e-08
1927,2.8987985345452216e-08
1928,1.3711249025050165e-08
1929,1.5596569369336066e-08
1930,3.046045193855207e-08
1931,1.9389105432310316e-08
1932,2.1919072779041926e-08
1933,1.8353059516584835e-08
1934,3.2350264689284813e-08
1935,3.4708023122220766e-08
1936,3.394919900756577e-08
1937,3.5255130370615007e-08
1938,1.2965214679638848e-08
1939,2.5999884911698246e-08
1940,3.0429394115571995e-08
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,3.4838823381733164e-08
1944,1.6065930807940276e-08
1945,1.742803235060819e-08
1946,4.454753366189834e-08
1947,4.2915136333476767e-08
1948,3.261566305923225e-08
1949,5.988375306742455e-08
1950,3.616023036556726e-08
1951,2.2388944032059044e-08
1952,2.2144087452602434e-08
1953,2.5857186614075545e-08
1954,3.322662323057557e-08
1955,2.1586897602787758e-08
1956,3.8373023869553435e-08
1957,2.6505112771246786e-08
1958,1.3235589513271862e-08
1959,1.705164542897819e-08
1960,2.6991250123842292e-08
1961,4.029932298976746e-08
1962,2.219684702708946e-08
1963,2.2631185814248056e-08
1964,3.9545792418493875e-08
1965,2.8454625322638094e-08
1966,1.5509408868297214e-08
1967,2.7609878827661305e-08
1968,2.7397636159776084e-08
1969,3.76965907378235e-08
1970,2.851209579546321e-08
1971,3.3913423180820246e-08
1972,1.898154344814884e-08
1973,2.536073751002732e-08
1974,3.4878542720662153e-08
1975,2.227477224892027e-08
1976,1.8283285996290033e-08
1977,2.703319701424789e-08
1978,2.0198010375338527e-08
1979,2.691907674545746e-08
1980,1.591842213599648e-08
1981,1.771153890217647e-08
1982,2.296775925003658e-08
1983,2.084054351314535e-08
1984,1.739702604197646e-08
1985,1.0226449020933615e-08
1986,1.6185110141009318e-08
1987,1.1610551631235921e-08
1988,8.395175221664886e-09
1989,2.140367705294466e-08
1990,1.8525414091641323e-08
1991,1.992898113201136e-08
1992,1.1019888113139586e-08
1993,1.4955860550003308e-08
1994,2.479215588380157e-08
1995,1.626735190995987e-08
1996,1.2811421257197253e-08
1997,1.6302641014931396e-08
1998,9.059445638115449e-09
1999,1.690974471557638e-08
2000,1.2370488633450805e-08
2001,1.4019877703219663e-08
2002,1.6648641576466616e-08
2003,1.5417615628621206e-08
2004,1.1452457648886138e-08
2005,1.3511249008502091e-08
2006,1.729513776638214e-08
2007,1.0385647009059085e-08
2008,1.4901038625225738e-08
2009,2.0503227560197956e-08
2010,2.0312310056169736e-08
2011,1.7590270573464295e-08
2012,1.2595735121578855e-08
2013,1.6734750474256543e-08
2014,1.3858849179371191e-08
2015,1.7067630864175953e-08
2016,2.092053463798038e-08
2017,1.685459594114036e-08
2018,1.9619147195726327e-08
2019,1.2499840273960672e-08
