year,six_DET aides_NOUN
1992,4.4079553340736766e-09
1993,5.539207592608619e-09
1994,2.1099706426497278e-09
1995,2.1689803286761844e-09
1996,5.338092190498855e-10
1997,2.876936688878118e-09
1998,6.675380914700213e-09
1999,4.570201161957499e-10
2000,7.952456582138723e-09
2001,4.819333099259637e-09
2002,7.448076377869484e-09
2003,3.7502307925763034e-09
2004,3.523833003171717e-09
2005,4.954124332989807e-09
2006,4.117890028965121e-09
2007,3.1955835755326234e-09
2008,3.8316958494988285e-09
2009,6.198650481792356e-09
2010,2.3618964561933353e-09
2011,1.911985902935953e-09
2012,6.808505426114664e-10
2013,3.0680376017500066e-09
2014,1.7323561474213989e-09
2015,2.881548027966474e-09
2016,4.7640821287942e-09
2017,5.031222660711876e-10
2018,1.8070266949443692e-09
2019,1.5305927081321613e-09
