year,pourrons_VERB ajouter_VERB
1979,4.681578680276743e-09
1980,6.253665585376211e-09
1981,4.427884725544118e-09
1982,3.7245013739806154e-09
1983,5.68378455412244e-09
1984,8.69851302098823e-09
1985,4.210890747202711e-09
1986,9.591176741707841e-09
1987,1.8332451112712533e-09
1988,1.798966087207532e-09
1989,2.7440609784434855e-09
1990,6.538381391862913e-09
1991,1.7584396161396398e-09
1992,5.509944056569793e-09
1993,1.661762283333701e-09
1994,5.274926717646622e-09
1995,5.4224509327127635e-09
1996,2.6690460952494277e-09
1997,2.3974471297094624e-09
1998,2.86087753487152e-09
1999,1.8280804647829996e-09
2000,1.7672125984802278e-09
2001,2.6287270138425356e-09
2002,5.257465574004527e-09
2003,9.167230530238157e-09
2004,3.9643119897903034e-09
2005,7.656374201303606e-09
2006,3.706100981659688e-09
2007,3.595031605740928e-09
2008,3.405951742863067e-09
2009,2.384096253749135e-09
2010,5.196172381261022e-09
2011,4.206369030868018e-09
2012,2.7234021704458655e-09
2013,8.925200134513034e-09
2014,3.681256854903836e-09
2015,4.211493376260478e-09
2016,8.078226088059637e-09
2017,4.528100561174142e-09
2018,5.421080029321956e-09
2019,3.3162841361900064e-09
