year,diverses_ADJ règles_NOUN
1938,2.42449516463239e-07
1939,2.7682230996362023e-07
1940,1.5468276215457877e-07
1941,8.559357667081713e-08
1942,4.8547387443420575e-08
1943,1.3645205898527024e-07
1944,1.1567469826445631e-07
1945,5.664110602765504e-08
1946,1.0858461330087721e-07
1947,7.27173155024019e-08
1948,1.315498441289975e-07
1949,8.442627175142547e-08
1950,9.784532450929362e-08
1951,6.503454763606697e-08
1952,1.0861147803353788e-07
1953,8.08037046162724e-08
1954,1.0945240558335456e-07
1955,1.1356585183364132e-07
1956,1.0465369904011368e-07
1957,1.060204488645411e-07
1958,8.189521150114842e-08
1959,1.0928554416977931e-07
1960,1.2388291636966642e-07
1961,8.268309326098233e-08
1962,7.86402600816416e-08
1963,1.073364819248468e-07
1964,1.0099387770523549e-07
1965,7.660860967817484e-08
1966,1.1687447720731825e-07
1967,9.170423975746189e-08
1968,7.904892074250824e-08
1969,8.81100981064975e-08
1970,1.0898978075601917e-07
1971,8.683891827843127e-08
1972,7.130904000618443e-08
1973,7.718485206531511e-08
1974,9.169681569609622e-08
1975,8.567220266542108e-08
1976,7.37044945076093e-08
1977,8.815172591880582e-08
1978,8.495045422662884e-08
1979,9.831315006536556e-08
1980,8.357171621398152e-08
1981,7.021360182157821e-08
1982,9.125028421763659e-08
1983,7.830991810564569e-08
1984,8.060621886629704e-08
1985,9.4444262188631e-08
1986,7.193382267622894e-08
1987,9.532874400974833e-08
1988,8.695003073100338e-08
1989,7.628489639976976e-08
1990,8.445408949953048e-08
1991,9.436959125252997e-08
1992,9.091407893180303e-08
1993,6.536265040324452e-08
1994,8.070637802504166e-08
1995,7.26608421208752e-08
1996,8.807852158732032e-08
1997,6.521056183927953e-08
1998,6.293930709944107e-08
1999,8.591978395422473e-08
2000,8.438440390889923e-08
2001,7.535684387605102e-08
2002,7.667137857936268e-08
2003,7.042099614551489e-08
2004,5.946468351059053e-08
2005,6.125099449860727e-08
2006,5.7650458629154855e-08
2007,5.911829692450965e-08
2008,5.6623948641032484e-08
2009,6.341695968359318e-08
2010,5.715789397342519e-08
2011,5.315321049970123e-08
2012,3.4042528684885554e-08
2013,8.200027501459317e-08
2014,6.214827719119853e-08
2015,7.137372914911566e-08
2016,5.261203606110598e-08
2017,5.710437633865695e-08
2018,5.292006632906521e-08
2019,6.78562737110866e-08
