year,puissions_VERB avoir_VERB
1990,9.698598546492576e-08
1991,1.0609252143467529e-07
1992,8.154717079378315e-08
1993,1.190929594940826e-07
1994,1.0233357272682042e-07
1995,9.109717069577528e-08
1996,9.448422844116067e-08
1997,7.911575750085831e-08
1998,7.342919161601458e-08
1999,9.277508183913596e-08
2000,8.880243029807389e-08
2001,8.981484000969431e-08
2002,8.455757694036947e-08
2003,7.29211535599461e-08
2004,8.148863628321124e-08
2005,8.917424310084243e-08
2006,1.0130009542308471e-07
2007,9.267192524475831e-08
2008,7.365370890966005e-08
2009,1.049002378294972e-07
2010,8.927968764282923e-08
2011,8.298019338326412e-08
2012,9.25956769037839e-08
2013,1.0068741573832085e-07
2014,1.0155937957279093e-07
2015,1.1548358003210524e-07
2016,1.0957388951737812e-07
2017,1.1571812308375229e-07
2018,1.048075475296173e-07
2019,1.1096796725951208e-07
