year,puisses_VERB avoir_VERB
1992,3.30596661157756e-09
1993,6.093128224193833e-09
1994,1.0549853213248639e-09
1995,7.0491861237087505e-09
1996,5.871901187504136e-09
1997,2.876936688878118e-09
1998,9.059445638115449e-09
1999,5.941261704833778e-09
2000,2.2090156370779823e-09
2001,3.066848330846028e-09
2002,3.066854992184176e-09
2003,4.583615265119079e-09
2004,6.166707589017051e-09
2005,7.656374201303606e-09
2006,7.000412693969338e-09
2007,1.078509459517818e-08
2008,7.2376473703172906e-09
2009,1.2397300963584712e-08
2010,1.4171378737160012e-08
2011,1.6825476123472072e-08
2012,2.2808492872172792e-08
2013,2.3149738126448938e-08
2014,2.9450054839230688e-08
2015,3.0588740429493555e-08
2016,3.4384243008389603e-08
2017,3.1193579275168304e-08
2018,4.0270879964054984e-08
2019,3.1377147990951926e-08
