year,mais_CONJ aller_VERB
1932,6.904508076388538e-08
1933,7.800050383366397e-08
1934,5.511527056967225e-08
1935,5.505410882733486e-08
1936,5.2136273964720203e-08
1937,7.680582037039585e-08
1938,5.8343465170196396e-08
1939,3.6705721129237645e-08
1940,5.325144236678625e-08
1941,7.673906665672803e-08
1942,4.8547388331598995e-08
1943,4.064529335323641e-08
1944,6.42637232317611e-08
1945,6.099811322712867e-08
1946,8.352662561605939e-08
1947,5.364392130502438e-08
1948,5.97953846437349e-08
1949,5.2030143748993396e-08
1950,7.125692214060564e-08
1951,5.863770802250201e-08
1952,7.38136272104839e-08
1953,6.787511352968068e-08
1954,8.59983160239608e-08
1955,6.569925403709931e-08
1956,6.976913446976596e-08
1957,6.272876795776483e-08
1958,7.362296727819739e-08
1959,8.293300268746862e-08
1960,7.751333441774477e-08
1961,7.504011989567516e-08
1962,8.117704197729836e-08
1963,7.306640092963335e-08
1964,6.570685684437194e-08
1965,7.496699439002441e-08
1966,7.533141577198421e-08
1967,7.395503232032752e-08
1968,7.635406973349745e-08
1969,6.585548817383824e-08
1970,5.472482733637207e-08
1971,7.39929255644256e-08
1972,8.156933262171151e-08
1973,7.167164994825725e-08
1974,9.16968190267653e-08
1975,6.339742952832239e-08
1976,6.856232204199841e-08
1977,7.874887586467594e-08
1978,6.23762073104217e-08
1979,8.309802268513522e-08
1980,5.002932645936653e-08
1981,7.464148410463167e-08
1982,6.02127716575751e-08
1983,7.325766659960209e-08
1984,7.190770467957464e-08
1985,8.121003425287654e-08
1986,6.533989349577496e-08
1987,7.210763719456281e-08
1988,6.836071442251068e-08
1989,6.146697018039049e-08
1990,6.538381036591545e-08
1991,8.264666107038465e-08
1992,7.713921945651236e-08
1993,8.751947788709913e-08
1994,7.490396036757829e-08
1995,7.157634840382343e-08
1996,8.487566383053036e-08
1997,7.815678060296705e-08
1998,7.581325434102837e-08
1999,7.12951386816485e-08
2000,8.615161561920104e-08
2001,8.850047805708527e-08
2002,7.623325259942249e-08
2003,8.333846146513224e-08
2004,8.016720265402455e-08
2005,9.502911524350566e-08
2006,1.0006472450641013e-07
2007,8.428351705447312e-08
2008,9.45151583664483e-08
2009,1.0013204132519604e-07
2010,1.0439582709409478e-07
2011,1.1739593830384365e-07
2012,1.337871289308623e-07
2013,1.37503860742072e-07
2014,1.3252524411200284e-07
2015,1.2900468604470916e-07
2016,1.4105825485444257e-07
2017,1.3156646971879127e-07
2018,1.476599003069623e-07
2019,1.339268607125632e-07
