year,voudriez_VERB avoir_VERB
1887,2.154545164501087e-08
1888,3.1703073943845084e-08
1889,9.397704836544563e-09
1890,1.1142456735058204e-08
1891,1.9760081571007504e-08
1892,1.6924984080901595e-08
1893,1.2932674486876294e-08
1894,2.3315696040526745e-08
1895,9.629783193076946e-09
1896,3.066455178668548e-08
1897,1.7480140002135158e-08
1898,1.810673566637888e-08
1899,1.2713430308508578e-08
1900,1.5054054003371675e-08
1901,7.265360757457984e-09
1902,1.6694965410124496e-08
1903,4.860198465905796e-09
1904,1.0749250378694342e-08
1905,8.773290538499623e-09
1906,5.144184633820714e-09
1907,3.599990305858114e-09
1908,1.1787333775714615e-08
1909,1.1001967337165297e-08
1910,5.34415089958884e-09
1911,9.576673676292558e-09
1912,1.7712032729377825e-08
1913,1.96210621083992e-08
1914,1.2054139020278853e-08
1915,0.0
1916,9.888715624128963e-09
1917,1.6449636319748606e-08
1918,3.44591288836682e-09
1919,4.603924352863942e-09
1920,5.300562211374427e-09
1921,1.817459427400081e-08
1922,1.696925089333945e-08
1923,1.4862327368803108e-08
1924,1.0313299547703991e-08
1925,7.698724324711748e-09
1926,3.343841648018042e-09
1927,1.6723836537835268e-08
1928,9.14083297942625e-09
1929,1.4482528065684619e-08
1930,9.453243521306831e-09
1931,9.124285327288817e-09
1932,1.53433514782364e-08
1933,1.4911860191091364e-08
1934,3.5944740517379614e-09
1935,2.2739740757060645e-08
1936,8.487299751891442e-09
1937,1.1332006444320086e-08
1938,6.482607339819424e-09
1939,1.3764645423464117e-08
1940,7.607348528892999e-09
1941,1.7709016475464523e-08
1942,1.517105907566929e-08
1943,0.0
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,6.960552134671616e-09
1947,1.0728784083369192e-08
1948,6.523132700664291e-09
1949,3.9268033269479474e-09
1950,6.381216888229346e-09
1951,1.9190522948520083e-08
1952,5.272402070488624e-09
1953,2.1547654771580937e-09
1954,4.886268278880834e-09
1955,7.508486277174597e-09
1956,1.2209598665435806e-08
1957,1.1485549400447326e-08
1958,7.445019267748876e-09
1959,9.300897829689347e-09
1960,1.1765417085030094e-08
1961,1.042223907177231e-08
1962,7.610347907416326e-09
1963,9.052474325699222e-09
1964,1.3993127545575135e-08
1965,2.73602163147757e-09
1966,1.1078149952936656e-08
1967,8.874604162656397e-09
1968,1.122853987567396e-08
1969,1.1354394757745467e-08
1970,1.241655755990223e-08
1971,9.762954888969944e-09
1972,4.104117490300041e-09
1973,9.923766697284009e-09
1974,1.3501372464475025e-08
1975,4.569184142155791e-09
1976,4.570821499072508e-09
1977,7.052138428775834e-09
1978,1.3069301196821925e-08
1979,9.363157360553487e-09
1980,5.6851505725319385e-09
1981,8.855769451088236e-09
1982,9.311253101884631e-09
1983,1.0104505676622466e-08
1984,8.69851302098823e-09
1985,8.421781494405423e-09
1986,1.3787316177626963e-08
1987,6.110816741511371e-09
1988,8.395175221664886e-09
1989,1.9757239400064464e-08
1990,1.1442167213715493e-08
1991,1.0550637696837839e-08
1992,1.322386644631024e-08
1993,1.994114740000441e-08
1994,2.5319646823618314e-08
1995,1.4098372247417501e-08
1996,9.60856638698715e-09
1997,5.753873377756236e-09
1998,3.337690568372409e-09
1999,5.484241505371301e-09
2000,5.3016377954406835e-09
2001,6.133696661692056e-09
2002,9.63868718173444e-09
2003,8.333845613606172e-09
2004,1.4535810777260849e-08
2005,7.205999352777326e-09
2006,7.412201963319376e-09
2007,9.586750948642475e-09
2008,1.0217855006544596e-08
2009,9.059565542202108e-09
2010,6.140930874920514e-09
2011,8.795135286732148e-09
2012,1.463828702696901e-08
2013,1.2272150407000026e-08
2014,1.8406284496563785e-08
2015,2.1722438958704515e-08
2016,1.5535050579273957e-08
2017,1.5848351964109497e-08
2018,2.684725330936999e-08
2019,1.785691416955615e-08
