year,vraies_ADJ règles_NOUN
1877,2.6594708657512456e-08
1878,2.8987624745013818e-08
1879,9.774920428640144e-09
1880,4.492492600149944e-09
1881,1.3945014920579979e-08
1882,5.324308105514319e-09
1883,1.3902545781263598e-08
1884,2.5746619058963915e-08
1885,8.379326565943757e-09
1886,1.097088819790315e-08
1887,1.566941953967671e-08
1888,1.6485598663962264e-08
1889,8.14467782106476e-09
1890,1.1797895993481688e-08
1891,5.736798147637501e-09
1892,8.775916882086676e-09
1893,9.853466487186324e-09
1894,8.822155450616265e-09
1895,6.018614495673091e-09
1896,1.8280790214930676e-08
1897,6.409385022720926e-09
1898,2.1501747937691107e-08
1899,1.492446166651007e-08
1900,9.863001082521805e-09
1901,1.2854099118442264e-08
1902,1.3257766440233354e-08
1903,9.720396931811592e-09
1904,1.9886112312406112e-08
1905,3.6125313851442797e-09
1906,4.115347618238729e-09
1907,1.0285686968813934e-08
1908,7.367083831866239e-09
1909,4.400786846048277e-09
1910,8.01622590529405e-09
1911,1.4897047151407605e-08
1912,1.614920641657136e-08
1913,9.015082902408267e-09
1914,2.0090231700464756e-09
1915,1.1780761921542648e-09
1916,1.538244731591476e-08
1917,0.0
1918,4.594550517822427e-09
1919,5.524709134618888e-09
1920,9.843901693784574e-09
1921,6.058197943303867e-09
1922,1.4018077365562931e-08
1923,8.492758496458919e-09
1924,1.5469948877466777e-08
1925,1.4297631523163545e-08
1926,8.916910765321973e-09
1927,5.574612327308159e-09
1928,9.14083297942625e-09
1929,7.798284684668033e-09
1930,1.2604324695075775e-08
1931,1.4826963656844327e-08
1932,1.9727165678773417e-08
1933,5.735331320977366e-09
1934,4.7926320689839486e-09
1935,1.3165112555668657e-08
1936,2.424942913137329e-09
1937,1.510934133364117e-08
1938,1.4261735792331365e-08
1939,4.588215141154706e-09
1940,1.2678914806940611e-08
1941,5.9030051957620344e-09
1942,0.0
1943,0.0
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,9.536696765621855e-09
1948,5.435944139264848e-09
1949,5.890204768377316e-09
1950,6.381216888229346e-09
1951,9.595261474260042e-09
1952,2.2144087452602434e-08
1953,3.232148326759443e-09
1954,1.3681550115052232e-08
1955,3.754243138587299e-09
1956,6.976913269340912e-09
1957,7.951533653738352e-09
1958,4.1361216673863055e-09
1959,6.200598257066758e-09
1960,5.536666680683311e-09
1961,5.55852741612739e-09
1962,1.5220695814832652e-08
1963,4.526237162849611e-09
1964,1.1559539991878864e-08
1965,9.302473458205895e-09
1966,7.200797291773142e-09
1967,1.5284040699725665e-08
1968,6.737123747768692e-09
1969,8.629339909305145e-09
1970,4.598724956395017e-09
1971,7.707596338946132e-09
1972,6.669190977248718e-09
1973,6.615844760915479e-09
1974,3.3753431161187564e-09
1975,5.711480177694739e-09
1976,5.713526873840635e-10
1977,4.7014254711541525e-09
1978,1.7821774056514528e-09
1979,2.925986564150662e-09
1980,6.822181042309694e-09
1981,5.69299452024552e-09
1982,1.1173503899897241e-08
1983,6.315316269933646e-09
1984,4.639206796497319e-09
1985,8.421781494405423e-09
1986,5.994485352545098e-09
1987,1.1610551631235921e-08
1988,8.994830658082265e-09
1989,5.488121956886971e-09
1990,9.262707045820662e-09
1991,1.3481369798284959e-08
1992,8.815910668147353e-09
1993,2.7696036575264316e-09
1994,8.967375286772494e-09
1995,8.133675954979935e-09
1996,4.270473752399084e-09
1997,1.006927874414032e-08
1998,6.198567881199324e-09
1999,1.3253583119876566e-08
2000,1.1486881668076876e-08
2001,6.571817756650944e-09
2002,1.0076809608960957e-08
2003,4.583615265119079e-09
2004,9.250062049659391e-09
2005,8.106749049829887e-09
2006,8.64756888319107e-09
2007,9.18730247434496e-09
2008,3.8316958494988285e-09
2009,1.2874119548200724e-08
2010,1.4171378737160012e-08
2011,1.1471915861704929e-08
2012,9.872333173177594e-09
2013,7.530637446961919e-09
2014,7.362513709807672e-09
2015,9.087958829923082e-09
2016,1.0770968117412849e-08
2017,1.4338984222206363e-08
2018,9.809573597863164e-09
2019,1.1479444950168727e-08
