year,pouvons_VERB aller_VERB
1943,1.1903264152124393e-07
1944,1.2210107058763242e-07
1945,1.5031677946808486e-07
1946,1.6287691551042371e-07
1947,1.537792400085891e-07
1948,1.6960144932909316e-07
1949,1.7179765166019934e-07
1950,1.2975141316928784e-07
1951,1.5565646549475787e-07
1952,1.5079069726198213e-07
1953,1.8746459318208508e-07
1954,1.358382490934673e-07
1955,1.2107433633445908e-07
1956,9.244410392739155e-08
1957,1.334090740101601e-07
1958,1.1332973315347772e-07
1959,1.48039276837153e-07
1960,1.2388291281695274e-07
1961,1.2506686175584036e-07
1962,1.325468872437341e-07
1963,1.1250932629991439e-07
1964,1.4723202923505596e-07
1965,1.5212280857213045e-07
1966,1.2407527094637771e-07
1967,1.459379319612708e-07
1968,1.2351394218512723e-07
1969,1.2489833522977278e-07
1970,1.1772736030479791e-07
1971,1.1972466040788277e-07
1972,9.695977354340357e-08
1973,1.069561506028549e-07
1974,1.1926212550861237e-07
1975,1.1651419384861583e-07
1976,1.1312783243511149e-07
1977,1.3692901745798736e-07
1978,1.1940588251491135e-07
1979,9.18759823775872e-08
1980,1.1142895317561852e-07
1981,1.3093887218929012e-07
1982,1.2290854556340491e-07
1983,1.3451622749016678e-07
1984,1.2931788262449118e-07
1985,9.865514982720924e-08
1986,1.246853003067372e-07
1987,1.0816145845637948e-07
1988,1.193314176362037e-07
1989,1.1360413054717355e-07
1990,9.31719341679127e-08
1991,1.2719380038106465e-07
1992,1.1681081701908624e-07
1993,1.262939264279339e-07
1994,1.28180715819326e-07
1995,1.068222843514377e-07
1996,1.2170849572612497e-07
1997,1.0500819058734123e-07
1998,1.0632928137965791e-07
1999,9.643124343483578e-08
2000,1.1000898325619346e-07
2001,9.945350853968193e-08
2002,1.274935499395724e-07
2003,1.3709176016618585e-07
2004,1.246555854095277e-07
2005,1.3060873982340127e-07
2006,1.2271311788936146e-07
2007,1.537874538826145e-07
2008,1.3325785630513565e-07
2009,1.554430753003544e-07
2010,1.7997651013956784e-07
2011,2.0152332069756085e-07
2012,2.274040866723226e-07
2013,2.451641023526463e-07
2014,2.4989236635519774e-07
2015,2.482564411820931e-07
2016,2.73416873142196e-07
2017,2.3697059248206642e-07
2018,2.906731424445752e-07
2019,2.3877245780568046e-07
