year,veuillez_VERB ouvrir_VERB
1936,1.2124714565686645e-09
1937,3.777335333410292e-09
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,0.0
1941,0.0
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,2.178504043826024e-09
1946,0.0
1947,1.1920870957027319e-09
1948,3.2615663503321457e-09
1949,9.817008317369869e-10
1950,1.0635361480382244e-09
1951,5.3307008807124134e-09
1952,2.1089607837865287e-09
1953,4.3095309543161875e-09
1954,1.5636057781875934e-08
1955,1.8771215692936494e-09
1956,8.72114158667614e-10
1957,5.3010225653515874e-09
1958,4.1361216673863055e-09
1959,2.3252243464000344e-09
1960,2.076250060767393e-09
1961,2.779263652552544e-09
1962,4.439369427622353e-09
1963,1.939815863494232e-09
1964,3.6503808864551957e-09
1965,3.2832260243864653e-09
1966,3.323444963676536e-09
1967,8.874604162656397e-09
1968,1.796566312384229e-09
1969,9.083515606356229e-10
1970,4.598724956395017e-09
1971,5.138397485282553e-10
1972,0.0
1973,0.0
1974,1.6876715580593782e-09
1975,5.711480177694739e-09
1976,0.0
1977,1.1753563677885381e-09
1978,3.564354700280603e-09
1979,1.1703946700691858e-09
1980,0.0
1981,6.325549528618524e-10
1982,1.2415004579935385e-09
1983,3.789189628733425e-09
1984,5.799008495621649e-10
1985,1.2031116103372597e-09
1986,1.7983456945813714e-09
1987,0.0
1988,5.996553809062277e-10
1989,3.2928733073589456e-09
1990,1.634595292454577e-09
1991,5.861465202094962e-10
1992,2.2039777225479895e-09
1993,1.6617622278225497e-09
1994,1.5824779819872958e-09
1995,2.7112253553340793e-09
1996,1.067618438099771e-09
1997,9.58978896292706e-10
1998,4.768129224785866e-10
1999,2.2851005809787495e-09
2000,4.4180314962005696e-10
2001,2.628727069353687e-09
2002,3.504977197366088e-09
2003,4.166923028847691e-09
2004,1.761916529341434e-09
2005,2.702249757291497e-09
2006,2.8825229980711242e-09
2007,1.5977918155218873e-09
2008,1.7029758714315335e-09
2009,4.291373256748443e-09
2010,3.3066551718974324e-09
2011,3.059177577924288e-09
2012,6.127654827992046e-09
2013,6.693900100884775e-09
2014,8.012147167946182e-09
2015,6.428068743957738e-09
2016,1.2635174240216429e-08
2017,8.804639906045963e-09
2018,8.002546625363038e-09
2019,7.908062205075339e-09
