year,premières_ADJ règles_NOUN
1904,1.838121752584243e-07
1905,1.754658125463493e-07
1906,1.6152738879782191e-07
1907,1.450281859050051e-07
1908,1.1983789427461033e-07
1909,1.5402754360849258e-07
1910,1.6566867255818352e-07
1911,1.4258603364680766e-07
1912,1.4951039339905492e-07
1913,1.532563986827995e-07
1914,1.962145965705986e-07
1915,1.366568422866976e-07
1916,5.164107053090561e-08
1917,9.76011795827958e-08
1918,1.0567466102173739e-07
1919,1.1786045839290438e-07
1920,1.2569905116777136e-07
1921,1.143484844590148e-07
1922,1.239493165883232e-07
1923,1.44376893107534e-07
1924,1.469645196650049e-07
1925,1.5507431161410068e-07
1926,1.0142986006655974e-07
1927,1.6166375571557978e-07
1928,1.256864474719066e-07
1929,1.3368487716824973e-07
1930,1.291943236836346e-07
1931,1.4256695823888776e-07
1932,9.2060109091463e-08
1933,1.5944219811103721e-07
1934,1.1981580350095555e-07
1935,1.292574696165616e-07
1936,1.612587006150079e-07
1937,1.913850018464558e-07
1938,1.2446605524019105e-07
1939,1.6670514835226413e-07
1940,8.368083825871508e-08
1941,5.312704587367989e-08
1942,9.102635578628337e-08
1943,1.4516176438661432e-07
1944,6.105053884652989e-08
1945,9.367567477269745e-08
1946,1.2111360447875086e-07
1947,1.335137513880369e-07
1948,1.3154984102037304e-07
1949,1.168224019743036e-07
1950,1.0103593695021118e-07
1951,1.2260611814696176e-07
1952,1.44463816909024e-07
1953,1.529883553175182e-07
1954,1.4072452669822155e-07
1955,1.0418024753988675e-07
1956,1.4825941119234187e-07
1957,1.2545753458326203e-07
1958,1.7454433853814066e-07
1959,1.0541017358978166e-07
1960,1.2249874870029487e-07
1961,1.5355431459695978e-07
1962,1.4586500329816232e-07
1963,1.6359114196617952e-07
1964,1.6974272254444145e-07
1965,1.6853893680668364e-07
1966,1.5841753331358177e-07
1967,1.4889613886293063e-07
1968,1.7651264438978131e-07
1969,1.7031592219884928e-07
1970,1.7429168241989146e-07
1971,1.3513984975510596e-07
1972,1.872503645472534e-07
1973,1.361761288176666e-07
1974,1.603287922424812e-07
1975,1.3650438202006399e-07
1976,1.634068719780224e-07
1977,1.6396221891312734e-07
1978,1.4613854937284287e-07
1979,1.6327006169269964e-07
1980,1.8476739915840312e-07
1981,2.776916188107492e-07
1982,1.8063831552783682e-07
1983,2.058793053816288e-07
1984,1.745501521099868e-07
1985,2.2859120107909803e-07
1986,1.9122408567717741e-07
1987,2.1448967546522368e-07
1988,1.762986840958547e-07
1989,1.9263309070094436e-07
1990,2.01600079519082e-07
1991,2.0222055607810319e-07
1992,1.9284804253505428e-07
1993,2.509261074479241e-07
1994,1.7882001646096768e-07
1995,1.708071977191139e-07
1996,2.439508144380653e-07
1997,2.172087251173238e-07
1998,2.0169187175955727e-07
1999,1.878352691164764e-07
2000,2.1825075102732683e-07
2001,2.440334894160401e-07
2002,2.73826347707562e-07
2003,2.437649966324784e-07
2004,2.4710879831246757e-07
2005,2.7743097008592343e-07
2006,2.507794952810727e-07
2007,2.903986522362345e-07
2008,2.524661662783867e-07
2009,3.242370829603658e-07
2010,2.8201043011932825e-07
2011,2.9712262250569665e-07
2012,3.39404000460064e-07
2013,2.82817285590653e-07
2014,2.808582373337032e-07
2015,2.2875058647287005e-07
2016,2.1831924068571595e-07
2017,2.6992508184164876e-07
2018,2.372367857716995e-07
2019,2.510172070202543e-07
