year,mes_DET aides_NOUN
1934,7.06913212411564e-08
1935,5.2660450222674626e-08
1936,4.9711328831136825e-08
1937,6.169648036902231e-08
1938,3.759912114986719e-08
1939,3.6705722017416065e-08
1940,3.803674486491104e-08
1941,3.5418032950929046e-08
1942,5.765002519808604e-08
1943,3.7742058811574e-08
1944,3.213186161588055e-08
1945,5.446260331609665e-08
1946,5.150808490839154e-08
1947,2.861009096299938e-08
1948,3.4790041514298764e-08
1949,8.835307596655184e-09
1950,1.595304155443955e-08
1951,2.7719644801749155e-08
1952,2.8470971358274255e-08
1953,1.6160740301529586e-08
1954,2.5408594117592997e-08
1955,2.1586897158698548e-08
1956,3.9245135585730395e-08
1957,3.710715734683845e-08
1958,3.1434525205042974e-08
1959,1.4726420638488946e-08
1960,2.0762499497450904e-08
1961,3.613042842687264e-08
1962,3.424656469519505e-08
1963,2.9743844720542256e-08
1964,1.7035111044005902e-08
1965,2.6265809083270142e-08
1966,2.1048484510899357e-08
1967,2.1200443067748154e-08
1968,4.0422744040924385e-08
1969,2.1346261647181564e-08
1970,1.4715920038099739e-08
1971,1.9012070140433934e-08
1972,8.721249500354133e-09
1973,2.315545544195885e-08
1974,2.1939730254771916e-08
1975,1.3707552426467373e-08
1976,3.3709809832416227e-08
1977,1.939338006851088e-08
1978,1.6039596539840772e-08
1979,1.3459538261706427e-08
1980,3.411090349070278e-08
1981,1.2018543993352893e-08
1982,1.6139505731871395e-08
1983,2.0840542958033836e-08
1984,1.5657322771645e-08
1985,1.4437338990980209e-08
1986,2.7574632466276228e-08
1987,1.1610551631235921e-08
1988,2.698449275140291e-08
1989,2.634298579273775e-08
1990,1.253189690908485e-08
1991,8.79219763660899e-09
1992,1.3774860863069449e-08
1993,1.938722604677423e-08
1994,1.8462243067673967e-08
1995,2.114755881521546e-08
1996,1.3879039917341629e-08
1997,1.9659066707866657e-08
1998,1.7165265875362934e-08
1999,2.6964186355948883e-08
2000,1.2370488633450805e-08
2001,1.6648604800328926e-08
2002,4.731719349670982e-08
2003,1.9167845310974485e-08
2004,2.9071621776566303e-08
2005,1.7564623533417034e-08
2006,2.5942706094461698e-08
2007,2.756190875530251e-08
2008,1.9158479414027596e-08
2009,1.764231316592202e-08
2010,2.1729448296259335e-08
2011,1.9502257364578668e-08
2012,4.5616987520702423e-08
2013,3.7932099239412764e-08
2014,3.7462201785132265e-08
2015,3.8790068712657444e-08
2016,6.628287962939794e-08
2017,3.5721682500877705e-08
2018,5.05967459041301e-08
2019,3.9030112031213093e-08
