year,pouvez_VERB apporter_VERB,pouvez_VERB rapporter_VERB
1869,4.395167341186834e-09,6.8369265804335555e-09
1870,4.587239033071455e-09,1.7202146374017957e-09
1871,1.3807530230280918e-08,0.0
1872,2.4189357183956872e-09,1.2094678591978436e-09
1873,3.591602570907071e-09,1.1972008939764578e-09
1874,4.779687312606029e-09,5.974609140757536e-10
1875,1.716458086775674e-08,3.432916173551348e-09
1876,1.813804439976252e-09,7.859819461941697e-09
1877,3.710889595609501e-09,0.0
1878,3.0195443923020093e-09,3.0195443923020093e-09
1879,1.832797580370027e-09,0.0
1880,1.4119262203848848e-08,2.5671385017744797e-09
1881,8.367009307619355e-09,6.972507571312292e-10
1882,1.1979693681496428e-08,0.0
1883,5.687405213450347e-09,0.0
1884,3.9610181801208455e-09,0.0
1885,1.4824961702686323e-08,5.156508553483263e-09
1886,7.098810428374236e-09,0.0
1887,8.48760173255414e-09,6.528924623161458e-10
1888,5.706553452000662e-09,0.0
1889,2.5060546970934183e-09,0.0
1890,1.3764211992395303e-08,1.9663159989136147e-09
1891,4.461953917456185e-09,0.0
1892,7.522214851007902e-09,6.268512375839919e-09
1893,7.390100087434348e-09,0.0
1894,3.780923574225881e-09,6.301539290376468e-10
1895,6.6204757231957956e-09,0.0
1896,1.1794058174530164e-08,1.179405795248556e-09
1897,1.3984112534615178e-08,2.9133566670225264e-09
1898,1.0750873968845553e-08,5.6583548957434e-10
1899,4.4220627160029835e-09,0.0
1900,1.8168686111152965e-08,5.191053142894475e-10
1901,8.941982265753268e-09,0.0
1902,5.892340837476695e-09,1.4730852093691738e-09
1903,5.400220270956879e-09,9.720396931811592e-09
1904,2.1498500757388683e-09,5.374625189347171e-10
1905,8.257214467732865e-09,0.0
1906,6.173021205313489e-09,4.115347618238729e-09
1907,6.685696440911215e-09,5.142843373384665e-10
1908,6.384805573134145e-09,5.893666887857307e-09
1909,1.6502950117569526e-09,1.1001967115120692e-09
1910,6.947395991829808e-09,1.6032452032632705e-09
1911,1.1704822888702893e-08,3.1922244847493175e-09
1912,1.0418842677495377e-08,4.688478938419394e-09
1913,3.181793939432964e-09,5.833288518886093e-09
1914,1.0045115850232378e-08,2.0090231700464756e-09
1915,9.424609537234119e-09,1.295883844676382e-08
1916,1.0987462051303964e-09,1.0987462051303964e-09
1917,1.0966424213165737e-08,2.1932848870420685e-09
1918,1.1486376294556067e-09,3.44591288836682e-09
1919,8.287063479883727e-09,0.0
1920,1.2115570768855832e-08,0.0
1921,3.0290989716519334e-09,0.0
1922,6.640141769764796e-09,1.4755870969551665e-09
1923,4.246379248229459e-09,0.0
1924,2.578324886925998e-09,5.156649773851996e-09
1925,6.598906754362588e-09,0.0
1926,7.802296586589819e-09,2.229227691330493e-09
1927,1.2264147031260109e-08,1.1149224876660924e-09
1928,7.998228745975666e-09,0.0
1929,8.912325100141061e-09,4.4561625500705304e-09
1930,4.201441416995522e-09,1.0503603542488804e-09
1931,7.983749661377715e-09,3.4216069977333063e-09
1932,5.4797681947604815e-09,0.0
1933,6.882397318719313e-09,0.0
1934,3.5944740517379614e-09,0.0
1935,8.377798899061872e-09,0.0
1936,1.6974599503782883e-08,0.0
1937,7.554670666820584e-09,0.0
1938,5.186085783037697e-09,3.8895642262559704e-09
1939,4.588215141154706e-09,3.058810094103137e-09
1940,1.2678914806940611e-08,2.5357829169792012e-09
1941,2.9515025978810172e-09,0.0
1942,3.034211770724937e-09,0.0
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,0.0,0.0
1945,2.178504043826024e-09,0.0
1946,1.9489545977080525e-08,4.1763312808029696e-09
1947,7.152522574216391e-09,0.0
1948,1.3046265401328583e-08,1.0871887834440486e-09
1949,1.9634016634739737e-09,1.9634016634739737e-09
1950,1.4889506516624351e-08,0.0
1951,1.4925962688039363e-08,0.0
1952,8.435843135146115e-09,1.0544803918932644e-09
1953,1.508335856215126e-08,0.0
1954,2.14995790059902e-08,9.772536113672459e-10
1955,4.6928039232341234e-09,2.815682353940474e-09
1956,1.0465369904011368e-08,8.72114158667614e-10
1957,1.3252556385623393e-08,8.835037701437898e-10
1958,2.6471179026543723e-08,8.272243445794913e-10
1959,1.2401196514133517e-08,2.325224457422337e-09
1960,1.038124963770315e-08,6.920833350854139e-10
1961,1.320150300188061e-08,1.3896318540318475e-09
1962,5.7077609305622445e-09,6.341956404476434e-10
1963,9.052474325699222e-09,6.466053248388448e-10
1964,1.520992043424485e-08,3.041984220075733e-09
1965,1.5321720781003023e-08,1.0944086747954884e-09
1966,1.273987226824147e-08,5.539074754423723e-10
1967,7.888536934785861e-09,9.860671168482327e-10
1968,7.186265360559219e-09,1.7965663401398047e-09
1969,1.2716921737876419e-08,9.083515606356229e-10
1970,1.5175793066646293e-08,1.8394900047624674e-09
1971,1.5415192677892264e-08,3.083038491169532e-09
1972,6.156176013405457e-09,3.5911027485013847e-09
1973,1.7090931336838366e-08,5.513203782392395e-10
1974,3.937900228123681e-09,5.625571675160757e-10
1975,1.1422960355389478e-08,5.711480177694739e-10
1976,1.2569759455516305e-08,1.142705374768127e-09
1977,1.23412418062685e-08,5.876781838942691e-10
1978,7.72276909088987e-09,1.1881182704343018e-09
1979,1.1118749476679568e-08,1.7555920051037788e-09
1980,1.7055452161685025e-08,3.411090521154847e-09
1981,1.2651098835192442e-08,3.795329828193417e-09
1982,6.828252629986764e-09,3.1037510339615437e-09
1983,9.47297440490047e-09,3.157658134966823e-09
1984,8.118611560803402e-09,4.059305780401701e-09
1985,7.820225356169885e-09,6.015558051686298e-10
1986,1.6185110141009318e-08,2.3977941854269602e-09
1987,4.888653482026939e-09,2.4443267410134695e-09
1988,5.99655392008458e-09,0.0
1989,1.2073869015694072e-08,2.1952488715726304e-09
1990,1.2531897297662908e-08,1.089730194969718e-09
1991,1.6998249918742658e-08,2.9307325455363298e-09
1992,9.91789939064347e-09,1.65298330578878e-09
1993,9.970573700002205e-09,0.0
1994,1.002236071911966e-08,2.1099706426497278e-09
1995,9.760411145975922e-09,1.0844901643380922e-09
1996,1.4412848692302305e-08,0.0
1997,1.3905194329311144e-08,9.58978896292706e-10
1998,1.4304387896402204e-08,9.536258449571733e-10
1999,6.8553016596695215e-09,4.113180906983871e-09
2000,9.277866475088103e-09,8.836062992401139e-10
2001,1.2267393323384113e-08,8.762423564512289e-10
2002,1.8839251936242363e-08,1.3143663935011318e-09
2003,1.9584538435424292e-08,8.333845835650777e-10
2004,1.761916479381398e-08,8.809582507929292e-10
2005,2.2518747755384538e-08,3.1526248278623825e-09
2006,3.211954080484247e-08,3.294311934354255e-09
2007,4.393927355295091e-08,1.5977917877663117e-09
2008,3.320802832718073e-08,6.3861596011349775e-09
2009,4.529782771101054e-08,5.245011536203492e-09
2010,5.71578944175144e-08,7.085689368580006e-09
2011,9.52169045831397e-08,1.2236710311697152e-08
2012,1.0757438673181241e-07,9.19148224198807e-09
2013,7.279616198729855e-08,8.925200134513034e-09
2014,6.431372412407654e-08,6.063246349441442e-09
2015,6.42806838868637e-08,8.201329393386914e-09
2016,6.607574931649651e-08,7.663958356829426e-09
2017,7.622302433674122e-08,7.54683426862357e-09
2018,9.757944496868731e-08,3.872199894061623e-09
2019,9.999872219168537e-08,8.928457084778074e-09
