year,aurez_VERB ajouté_VERB
1914,4.68772043404897e-09
1915,5.890381071793627e-09
1916,1.538244731591476e-08
1917,1.0966424213165737e-08
1918,2.2972752589112133e-09
1919,1.1049418269237776e-08
1920,6.057785384427916e-09
1921,1.6660044011018726e-08
1922,5.902348387820666e-09
1923,5.307974060286824e-09
1924,9.02413699321869e-09
1925,6.598906754362588e-09
1926,7.802296586589819e-09
1927,1.1149224876660924e-09
1928,4.570416489713125e-09
1929,1.2254447234738564e-08
1930,2.100720708497761e-09
1931,1.1405356659111021e-09
1932,4.383814644626227e-09
1933,3.4411986593596566e-09
1934,8.38710612072191e-09
1935,4.787313656606784e-09
1936,1.33371855781661e-08
1937,2.5182236296217297e-09
1938,6.482607339819424e-09
1939,9.176430282309411e-09
1940,0.0
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,1.7419411690866582e-08
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,1.3921104269343232e-09
1947,4.7683483828109274e-09
1948,3.2615663503321457e-09
1949,1.9634016634739737e-09
1950,8.508289184305795e-09
1951,4.264560704569931e-09
1952,1.0544803918932644e-09
1953,5.386913581872932e-09
1954,9.772536113672459e-10
1955,3.754243138587299e-09
1956,3.488456634670456e-09
1957,3.534015080575159e-09
1958,7.445019267748876e-09
1959,1.5501495642666896e-09
1960,1.3841666701708277e-09
1961,4.86371165564492e-09
1962,3.170978146727066e-09
1963,3.2330267352165265e-09
1964,3.041984220075733e-09
1965,4.924839203113152e-09
1966,5.539074976468328e-09
1967,1.4791006197611978e-09
1968,3.1439910674890825e-09
1969,5.450109252791435e-09
1970,2.2993624781975086e-09
1971,4.1107179882260425e-09
1972,4.104117490300041e-09
1973,4.410563025913916e-09
1974,2.812785782069227e-09
1975,3.4268881066168433e-09
1976,0.0
1977,1.7630346071939584e-09
1978,2.970295565063452e-09
1979,2.3407893401383717e-09
1980,3.411090521154847e-09
1981,2.4669642328944974e-08
1982,6.2075020679230875e-09
1983,6.315316047889041e-10
1984,6.958810416790584e-09
1985,6.015557829641693e-09
1986,4.7955883708539204e-09
1987,4.888653482026939e-09
1988,1.1993107618124554e-09
1989,3.2928733073589456e-09
1990,3.814055737905164e-09
1991,5.2753188484189195e-09
1992,2.7549720282848966e-09
1993,3.323524566667402e-09
1994,1.5824779264761446e-09
1995,6.506940763983948e-09
1996,5.3380921904988554e-09
1997,3.835915585170824e-09
1998,9.536258449571733e-10
1999,9.140402323914998e-10
2000,8.83606254831193e-09
2001,8.762423564512289e-10
2002,4.81934359086722e-09
2003,4.583615265119079e-09
2004,2.2023955992267474e-09
2005,7.205999352777326e-09
2006,1.0294725072412803e-08
2007,1.1583990655594789e-08
2008,8.089135583588813e-09
2009,8.582746957586096e-09
2010,1.5116137674908714e-08
2011,1.8355065023456518e-08
2012,2.9957423208770706e-08
2013,2.9843636895066084e-08
2014,1.8406284496563785e-08
2015,2.2609068395240683e-08
2016,2.1541936234825698e-08
2017,1.1823373391450787e-08
2018,1.4972506789945328e-08
2019,1.8877308605169674e-08
