year,meilleures_ADJ règles_NOUN
1918,5.398596769623509e-08
1919,3.4069039145379065e-08
1920,3.63467123065675e-08
1921,3.483463828501954e-08
1922,2.5084981203349344e-08
1923,1.9108707505210987e-08
1924,3.867487308184536e-08
1925,4.6192347724627325e-08
1926,3.6782257240020044e-08
1927,3.4562596340492746e-08
1928,3.427812345080383e-08
1929,3.8991423423340166e-08
1930,4.20144132817768e-08
1931,3.649714130915527e-08
1932,4.055028668403793e-08
1933,4.3588517684156614e-08
1934,5.511526879331541e-08
1935,7.300653237507504e-08
1936,4.00115567344983e-08
1937,1.888667711114067e-08
1938,4.797129449229942e-08
1939,1.988226472349197e-08
1940,3.803674530900025e-08
1941,1.1806010391524069e-08
1942,3.944475324146879e-08
1943,3.193558839598154e-08
1944,1.2852744646352221e-08
1945,2.178504132643866e-08
1946,3.062643116891195e-08
1947,3.337843779149807e-08
1948,3.8051606310318675e-08
1949,3.043272656100271e-08
1950,4.1477910883713776e-08
1951,5.330700858507953e-08
1952,2.6362009464264702e-08
1953,3.016671712430252e-08
1954,3.713563856422297e-08
1955,2.5341140741375057e-08
1956,2.2674967681268754e-08
1957,2.9155623693100097e-08
1958,3.060729980575161e-08
1959,3.022791617013354e-08
1960,2.145458388724819e-08
1961,3.404598203360365e-08
1962,3.7417542841922113e-08
1963,3.0390449268224984e-08
1964,2.981144575642247e-08
1965,4.377634610364112e-08
1966,3.4342264143560897e-08
1967,4.3879985867079085e-08
1968,2.0660513300185812e-08
1969,3.088395317263348e-08
1970,3.678979965116014e-08
1971,2.363662865434435e-08
1972,2.8728821988011077e-08
1973,2.4258095976392724e-08
1974,1.1813700240281833e-08
1975,1.8847885030481848e-08
1976,2.399681342524218e-08
1977,2.5857840313392444e-08
1978,1.900989232694883e-08
1979,2.57486831856113e-08
1980,1.989802811408481e-08
1981,2.1506869174459098e-08
1982,1.9864007327896616e-08
1983,2.5892795463278162e-08
1984,2.145633182237816e-08
1985,1.6242006850575308e-08
1986,3.057187569766029e-08
1987,1.588812459374367e-08
1988,1.798966131616453e-08
1989,3.2928731741321826e-08
1990,2.2884334427430986e-08
1991,3.51687923227928e-08
1992,2.1488782309120324e-08
1993,2.5480353826878854e-08
1994,2.637463225596548e-08
1995,2.6027763055935793e-08
1996,1.3345230698291743e-08
1997,2.6371919759071716e-08
1998,2.3840646790063147e-08
1999,3.0163327835452947e-08
2000,2.5624583344097118e-08
2001,1.664860427297299e-08
2002,2.1467984723244626e-08
2003,2.708499913239848e-08
2004,2.114299846311951e-08
2005,2.1167622321627277e-08
2006,2.4295550460351478e-08
2007,2.1170741604237264e-08
2008,1.6604014163590364e-08
2009,2.384096298158056e-08
2010,2.0312310056169736e-08
2011,1.185431308670104e-08
2012,1.4297861561374248e-08
2013,1.2829975304384789e-08
2014,1.775665126046988e-08
2015,1.3742767812630063e-08
2016,1.2220906064897008e-08
2017,1.33327402451755e-08
2018,1.5488799576246493e-08
2019,1.3010037491767434e-08
