year,devriez_VERB avoir_VERB
1977,4.818961230057539e-08
1978,3.5049488644745e-08
1979,5.26677617074256e-08
1980,5.344041653643217e-08
1981,5.186950602364959e-08
1982,4.531476704983106e-08
1983,5.304865524635716e-08
1984,5.683028447833749e-08
1985,3.7296459254321235e-08
1986,5.3350920126149504e-08
1987,5.988600548789691e-08
1988,5.217001941559829e-08
1989,5.927171997655023e-08
1990,5.775569889010512e-08
1991,6.447611866633451e-08
1992,4.7385519508225116e-08
1993,4.763718308709031e-08
1994,5.3804249944278126e-08
1995,3.470368525881895e-08
1996,4.003569031851839e-08
1997,4.6030987022049885e-08
1998,4.815810683567179e-08
1999,4.387393204297041e-08
2000,3.35770380388567e-08
2001,5.301266270407723e-08
2002,4.205972459203622e-08
2003,4.7086228249781925e-08
2004,5.329797403419434e-08
2005,7.251036748812112e-08
2006,6.300371779843772e-08
2007,9.347081686428282e-08
2008,1.0984194176444362e-07
2009,1.2921802294840745e-07
2010,1.5588517499054433e-07
2011,1.9464017952941504e-07
2012,2.7097851784674276e-07
2013,2.89511177697932e-07
2014,2.657001232364564e-07
2015,2.7707193339665537e-07
2016,2.742454228155111e-07
2017,2.7722037998501037e-07
2018,2.8628465997826424e-07
2019,2.8979221156077983e-07
