year,sans_ADP appliquer_VERB
1972,3.437198525801932e-08
1973,3.914374757663097e-08
1974,3.99415578389295e-08
1975,3.5982323787209225e-08
1976,3.599522058195248e-08
1977,2.350712763332652e-08
1978,2.9702956760857546e-08
1979,3.043026175486574e-08
1980,3.0699814357326716e-08
1981,2.8464973600428323e-08
1982,1.98640066617628e-08
1983,3.094504685829946e-08
1984,2.609553773069706e-08
1985,3.00777905914984e-08
1986,3.476801424540099e-08
1987,2.8109757743699504e-08
1988,2.0987938442740273e-08
1989,2.57941739079115e-08
1990,3.1602175765144125e-08
1991,3.51687923227928e-08
1992,3.1406681255674584e-08
1993,2.4926434250005514e-08
1994,4.061693537060762e-08
1995,1.952082295808566e-08
1996,2.081855887681172e-08
1997,2.9728346673252304e-08
1998,2.5271084114208975e-08
1999,2.9706307413945865e-08
2000,2.0764748476231887e-08
2001,4.7755209897637485e-08
2002,3.9869116674751126e-08
2003,2.791838338289665e-08
2004,2.81906634980178e-08
2005,3.377812163307681e-08
2006,3.1707751979581644e-08
2007,3.075749291370222e-08
2008,3.703972528690258e-08
2009,5.101966160658833e-08
2010,2.8815136943194375e-08
2011,3.671013260042599e-08
2012,3.302125006765522e-08
2013,5.1877727447191546e-08
2014,4.17930916540854e-08
2015,3.901172840325984e-08
2016,4.8262223995010345e-08
2017,6.540589458925439e-08
2018,5.472709452281066e-08
2019,6.479508707357695e-08
