year,dernières_ADJ règles_NOUN
1870,1.8922361011419753e-08
1871,2.7615060460561835e-08
1872,3.265563197629717e-08
1873,6.285304454678453e-08
1874,5.735624908353998e-08
1875,6.522540996201087e-08
1876,7.980739469282128e-08
1877,5.566334460027633e-08
1878,8.937851125878638e-08
1879,6.170418576090242e-08
1880,9.498412545383417e-08
1881,8.576183985198327e-08
1882,8.119569683273653e-08
1883,5.2450514598234577e-08
1884,7.393900602892245e-08
1885,3.35173049315074e-08
1886,1.2519719660986084e-07
1887,1.638760060984623e-07
1888,2.0543591006116912e-07
1889,4.3605351152109506e-07
1890,1.0749194068182533e-07
1891,1.3003408838585528e-07
1892,1.266239522124124e-07
1893,1.5765546734769487e-07
1894,1.537575577970074e-07
1895,1.7694726750505652e-07
1896,1.8221820141661738e-07
1897,2.5637540090883704e-07
1898,2.3255838499380843e-07
1899,2.7085133780246906e-07
1900,2.564380210401396e-07
1901,2.660239672991338e-07
1902,1.502546904674773e-07
1903,2.0520837296089667e-07
1904,2.1229769942010535e-07
1905,2.3275023508517734e-07
1906,2.4589201785829573e-07
1907,2.653707191768717e-07
1908,2.858428445051686e-07
1909,3.432613837617282e-07
1910,3.430944843785255e-07
1911,2.6335852254533165e-07
1912,3.261097560880444e-07
1913,2.8742203994625015e-07
1914,2.6853942003413067e-07
1915,1.649306682338647e-07
1916,9.559092095656752e-08
1917,9.869782147120532e-08
1918,5.054005747240353e-08
1919,1.574542096705045e-07
1920,1.5977408907019708e-07
1921,2.786771062801563e-07
1922,2.560143599339426e-07
1923,2.2505810193251818e-07
1924,8.856545719027054e-07
1925,2.7165499361103684e-07
1926,2.42985819909336e-07
1927,2.4862772107780984e-07
1928,3.6677592163414374e-07
1929,1.548516426197466e-07
1930,1.7541017527378244e-07
1931,1.5055071145297916e-07
1932,1.9946357099343004e-07
1933,2.9250187338902833e-07
1934,2.5520765234432474e-07
1935,2.3457836562101875e-07
1936,2.04907671275123e-07
1937,3.1100061903543974e-07
1938,2.0096082309351004e-07
1939,2.3858719089275837e-07
1940,3.296517903095264e-08
1941,3.8369533328364014e-08
1942,1.153000468434584e-07
1943,7.5484117623148e-08
1944,1.25314262078291e-07
1945,2.178504132643866e-08
1946,4.733175451576699e-08
1947,6.07964407706163e-08
1948,2.9354097375033916e-08
1949,3.9268032825390264e-08
1950,3.93508372553697e-08
1951,4.051332624932513e-08
1952,5.483297971231593e-08
1953,9.696444891460487e-08
1954,3.9090146231046674e-08
1955,6.757637782683901e-08
1956,4.6222050187338937e-08
1957,7.1563804660002e-08
1958,2.316228081555849e-08
1959,3.5653439312000046e-08
1960,3.8064584373387333e-08
1961,5.211119358250471e-08
1962,4.058852098864918e-08
1963,4.396916120086303e-08
1964,3.346182708696688e-08
1965,4.2134733035936733e-08
1966,2.2710207048248776e-08
1967,6.65595321081014e-08
1968,4.401587527791406e-08
1969,3.724241537383932e-08
1970,3.127133113567382e-08
1971,4.316254031966338e-08
1972,7.233506948978174e-08
1973,5.623467913551394e-08
1974,7.875800300816138e-08
1975,5.197447050520054e-08
1976,4.170874490228016e-08
1977,7.110906086182922e-08
1978,5.58415591545014e-08
1979,4.9156575698816596e-08
1980,5.2303385844609807e-08
1981,4.933928604566873e-08
1982,4.407326770206055e-08
1983,3.726036368334462e-08
1984,3.595385322796574e-08
1985,3.428868211585723e-08
1986,2.517683933556114e-08
1987,4.6442206524943686e-08
1988,3.537966719591168e-08
1989,4.170972900396919e-08
1990,5.2851915843810104e-08
1991,4.8064013213888757e-08
1992,3.8018615811097334e-08
1993,2.9357799746776436e-08
1994,3.164955941770131e-08
1995,3.199246023655178e-08
1996,3.202855225481471e-08
1997,2.972834600711849e-08
1998,3.146965354972053e-08
1999,3.4733528053720875e-08
2000,3.225162925613034e-08
2001,4.162151157061089e-08
2002,5.301278083180705e-08
2003,6.792084183970815e-08
2004,6.430995008743778e-08
2005,6.890736614639792e-08
2006,7.247486272232706e-08
2007,1.4260291303358485e-07
2008,9.451515933789345e-08
2009,9.536384970587619e-08
2010,1.1526054743971059e-07
2011,1.1280717504558169e-07
2012,1.868934716986459e-07
2013,1.1853781484161274e-07
2014,9.441340816096488e-08
2015,1.0706059327958428e-07
2016,1.0895248464537488e-07
2017,1.1647280517834702e-07
2018,1.0661457788829765e-07
2019,9.999872108146235e-08
