year,vos_DET oies_NOUN,vos_DET rois_NOUN
1978,1.7821774056514528e-09,1.3663359998972169e-08
1979,2.3407893401383717e-09,2.9259866751729646e-08
1980,1.7055452605774235e-09,2.1603571820349998e-08
1981,1.2018544381930951e-08,2.2771978192004383e-08
1982,3.1037510339615437e-09,2.9796010547755714e-08
1983,4.4207211225000265e-09,1.957747985947833e-08
1984,1.739702604197646e-09,1.507742219963859e-08
1985,1.8046674155058895e-09,2.1656008986070674e-08
1986,1.7983456945813714e-09,3.536746329135809e-08
1987,6.110816852533674e-10,2.688759526137119e-08
1988,0.0,2.5185526109083867e-08
1989,1.0976244357863152e-09,1.92084268491044e-08
1990,5.44865097484859e-10,2.4518928443129084e-08
1991,1.1722930404189924e-09,2.4618153071642723e-08
1992,5.509944167592096e-10,2.3692760642290978e-08
1993,1.1078414852150331e-09,2.769603729690928e-08
1994,1.0549853213248639e-09,2.1627198920626256e-08
1995,1.0844901643380922e-09,3.036572415737737e-08
1996,1.6014276571496566e-09,1.3345230476247139e-08
1997,9.58978896292706e-10,1.6302641347998303e-08
1998,1.43043876743576e-09,1.6688452397772835e-08
1999,1.8280804647829996e-09,2.5136105641365702e-08
2000,1.7672125984802278e-09,2.0764748476231887e-08
2001,8.762423564512289e-10,1.883921130207966e-08
2002,2.1906108038649563e-09,1.752488687500886e-08
2003,2.083461403401543e-09,1.8751153962881517e-08
2004,8.809582507929292e-10,1.6297727611913615e-08
2005,1.3511248786457486e-09,1.8014997937854105e-08
2006,1.2353669198716943e-09,2.800165210814498e-08
2007,3.994479469415779e-10,2.157018963444557e-08
2008,3.405951742863067e-09,1.788124678880898e-08
2009,4.76819250749827e-10,1.9549590168921327e-08
2010,2.8342759250676863e-09,2.4091344030807704e-08
2011,1.1471915639660324e-09,1.9119859251404137e-08
2012,2.382976926895708e-09,2.280849226155013e-08
2013,4.741512515948898e-09,2.78912512530205e-08
2014,3.4647122948427977e-09,2.7934243196359176e-08
2015,4.211493376260478e-09,3.6130179029147946e-08
2016,5.799752234025846e-09,4.370527495467513e-08
2017,2.264050280587071e-09,3.5470120396396965e-08
2018,4.904786798931582e-09,2.9170573401238187e-08
2019,1.2499840273960672e-08,3.7244421324800214e-08
