year,pouvez_VERB envoyer_VERB,pouvez_VERB renvoyer_VERB
1841,2.3113974734201292e-08,5.1364388298225094e-09
1842,1.0062397137744483e-08,6.037438549100216e-09
1843,7.678984559333912e-09,1.4176587015413133e-08
1844,7.683985892015244e-09,7.1351298203126134e-09
1845,9.48638767539478e-09,6.696273757711424e-09
1846,4.3323311160747835e-08,3.5127007969038004e-09
1847,1.3483059113639229e-08,5.3932236454556914e-09
1848,1.126331028444838e-08,4.02261068899179e-09
1849,8.379414495607307e-09,1.75967720394965e-08
1850,2.5798184921654865e-08,2.0366988096043315e-09
1851,1.6768540334055615e-08,9.029214709244116e-09
1852,1.3021090872200602e-08,5.859490670445666e-09
1853,2.09017620989016e-08,2.09017620989016e-08
1854,3.844791862661623e-08,1.9743524148907454e-08
1855,2.5473298137512757e-08,2.388121700391821e-08
1856,3.7793480345271746e-08,1.501384794266869e-08
1857,4.735063896532665e-08,2.4407544874094356e-09
1858,2.838332058274773e-08,5.3830437884982985e-09
1859,4.786642904264227e-08,1.5276520048956854e-09
1860,5.309533435138292e-08,4.577183909670879e-10
1861,5.847795137015055e-08,4.2443675241088386e-09
1862,3.885468302655681e-08,2.4397126097142063e-08
1863,1.203703590135774e-07,7.04241571725106e-08
1864,7.000302559845295e-08,1.9178912680217763e-08
1865,7.530950796308389e-08,9.88437331983505e-09
1866,6.47126512376417e-08,3.4059290943133647e-09
1867,3.494024269912188e-08,1.94112459439566e-09
1868,1.975949714960734e-08,6.421836395986702e-09
1869,2.197583626184496e-08,1.5138908793232986e-08
1870,3.7271316699616364e-08,1.3188312664169644e-08
1871,3.18635318130589e-09,5.3105884134652115e-09
1872,2.0560953828407946e-08,1.3304146229131675e-08
1873,2.095101514498765e-08,8.979006871356887e-09
1874,1.3144139998644278e-08,1.3741600746186577e-08
1875,1.5448122780981066e-08,6.865832347102696e-09
1876,2.1161051577678336e-08,1.4510435519810017e-08
1877,3.5253449937044934e-08,2.4739263970730008e-09
1878,1.1474268646338714e-08,6.039088784604019e-09
1879,2.5659165459046562e-08,1.0996785704264767e-08
1880,3.786529134686134e-08,1.1552122813895949e-08
1881,2.1614773970668466e-08,1.1156012114099667e-08
1882,1.5307385581309063e-08,7.986462158271479e-09
1883,2.9700892412165558e-08,1.2638677882037541e-09
1884,1.3203393933736152e-08,7.2618666635548834e-09
1885,3.0294486919046903e-08,5.80107206715752e-09
1886,1.355227396970804e-08,7.744156427236248e-09
1887,1.7628096316002484e-08,7.834709769838355e-09
1888,1.3949351895803375e-08,1.2047167707862627e-08
1889,2.255449160770695e-08,3.132568426877924e-09
1890,2.8839300725280737e-08,1.1797895993481688e-08
1891,1.3385862196457765e-08,7.0116419337296065e-09
1892,1.191017329205124e-08,7.522214851007902e-09
1893,2.155445777418663e-08,9.23762488724833e-09
1894,1.5753848003896564e-08,1.8904617871129403e-09
1895,1.9259566386153892e-08,5.416753268150387e-09
1896,2.299841384001411e-08,1.1204354777305525e-08
1897,2.855089675790623e-08,1.1070755867592652e-08
1898,2.3765091228256097e-08,5.092519295146758e-09
1899,2.65323762960179e-08,2.7637891975018647e-09
1900,3.6856476981483866e-08,5.19105292084987e-09
1901,1.1736351446245408e-08,0.0
1902,9.329538919189417e-09,3.928227076954727e-09
1903,1.1880484152015924e-08,3.2401321625741275e-09
1904,1.5048950530172078e-08,2.1498500757388683e-09
1905,4.025391930895239e-08,1.5482277682110634e-09
1906,1.0802787109298606e-08,4.629765903985117e-09
1907,1.5942815068115124e-08,8.742834012309686e-09
1908,2.553922229253658e-08,5.40252820258047e-09
1909,2.2554033307642385e-08,1.6502950117569526e-09
1910,2.6186338430989053e-08,1.068830135508847e-09
1911,2.2877609140437016e-08,4.25629931299909e-09
1912,6.772247651554153e-09,4.167536982180309e-09
1913,2.227255713194154e-08,5.302989602995467e-09
1914,1.7411533548283842e-08,6.696743604095445e-09
1915,2.1205371680821372e-08,7.068456930880984e-09
1916,1.2086208478478966e-08,1.0987462051303964e-09
1917,9.869782324756216e-09,2.1932848870420685e-09
1918,2.2972752589112133e-09,2.2972752589112133e-09
1919,5.524709134618888e-09,3.6831393490643904e-09
1920,2.4988365154854364e-08,0.0
1921,1.060184651180407e-08,0.0
1922,2.2133805899215986e-08,6.640141769764796e-09
1923,1.1677542488541803e-08,2.1231896241147297e-09
1924,2.9650736976805092e-08,6.445812328337297e-09
1925,1.8696901804560184e-08,4.399271169575059e-09
1926,1.114613823460786e-08,3.343841648018042e-09
1927,1.2264147031260109e-08,5.574612327308159e-09
1928,1.0283437212876834e-08,2.2852082448565625e-09
1929,2.6736975300423182e-08,7.798284684668033e-09
1930,1.470504518152893e-08,2.100720708497761e-09
1931,1.596749932275543e-08,1.3686427990933225e-08
1932,1.3151444377967891e-08,0.0
1933,4.588264879146209e-09,1.0323596200123575e-08
1934,2.3963160344919743e-08,4.7926320689839486e-09
1935,1.555876849579363e-08,0.0
1936,9.699771652549316e-09,1.2124714565686645e-09
1937,3.273690651894867e-08,5.0364472592434595e-09
1938,1.6854778905894818e-08,1.2965214457594243e-09
1939,1.6823456405745674e-08,0.0
1940,1.2678914806940611e-08,0.0
1941,3.5418032950929046e-08,0.0
1942,2.730790527039062e-08,3.034211770724937e-09
1943,1.7419411690866582e-08,2.9032352077962287e-09
1944,1.6065930807940276e-08,0.0
1945,1.089252066321933e-08,0.0
1946,1.9489545977080525e-08,0.0
1947,1.6689218895749036e-08,1.1920870957027319e-09
1948,3.2615663503321457e-09,3.2615663503321457e-09
1949,1.2762110479513922e-08,4.908504269707237e-09
1950,7.444753258312176e-09,4.2541445921528975e-09
1951,1.0661401539380222e-08,2.1322803522849654e-09
1952,2.2144087452602434e-08,8.435843135146115e-09
1953,8.619061908632375e-09,1.0773827385790469e-09
1954,1.6613311615287785e-08,5.863521668203475e-09
1955,1.407841132561316e-08,8.447047505910632e-09
1956,1.3953826538681824e-08,4.360570571293465e-09
1957,9.718541527092839e-09,6.184526224473075e-09
1958,1.9853384713997002e-08,1.6544486891589827e-09
1959,1.3176271629333769e-08,3.8753737996444215e-09
1960,1.3841666479663672e-08,4.844583401109048e-09
1961,1.320150300188061e-08,6.948159270159238e-10
1962,3.297817485758969e-08,1.2683912808952869e-09
1963,1.0345685197421517e-08,6.466053248388448e-10
1964,2.1902286206909594e-08,3.6503808864551957e-09
1965,1.860494691641179e-08,7.660860390501512e-09
1966,8.308612464702492e-09,5.539074976468328e-09
1967,2.218651040664099e-08,2.465167847631733e-09
1968,2.4702787371211343e-08,2.245707841908029e-09
1969,2.4525492747784483e-08,6.8126366770115965e-09
1970,2.0694262303777577e-08,2.7592350626548523e-09
1971,1.6956711590410123e-08,4.1107179882260425e-09
1972,1.128632298730281e-08,0.0
1973,1.6539610570021068e-08,6.064523994098181e-09
1974,1.6876715136504572e-08,1.1251143350321513e-09
1975,2.4559364319998167e-08,1.7134440533084216e-09
1976,1.7711933253394818e-08,2.856763492431469e-09
1977,1.1753563455840776e-08,3.526069214387917e-09
1978,1.4257419245211622e-08,4.752473081737207e-09
1979,2.1067103617156135e-08,5.851973350345929e-10
1980,2.615169236719339e-08,2.2740602734216964e-09
1981,2.84649726012276e-08,7.590659656386833e-09
1982,2.2347007799794483e-08,1.2415004579935385e-09
1983,1.9577479193344516e-08,1.89459470334441e-09
1984,1.797692661398287e-08,1.1598016991243298e-09
1985,1.6843562988810845e-08,6.015558051686298e-10
1986,2.038125046510686e-08,2.997242676272549e-09
1987,1.5277041853778428e-08,5.49973533381376e-09
1988,1.739000587974715e-08,4.197587610832443e-09
1989,2.798942233539492e-08,3.841685636274406e-09
1990,1.8525414091641323e-08,1.6345953479657283e-09
1991,2.8721180100887977e-08,5.2753188484189195e-09
1992,3.250866953408149e-08,5.509944167592096e-10
1993,5.040678630052753e-08,5.539207426075166e-10
1994,1.3345564298106183e-07,2.1099706426497278e-09
1995,9.001268352903935e-08,2.1689803286761844e-09
1996,8.113899951922576e-08,4.270473752399084e-09
1997,3.4523239378358994e-08,3.164630513197153e-08
1998,1.859570453177639e-08,1.1920323395031573e-08
1999,2.422206613061917e-08,1.8280804647829996e-09
2000,3.7111465900352414e-08,2.2090156370779823e-09
2001,2.891599848453552e-08,3.066848330846028e-09
2002,2.6287329646379476e-08,3.066854992184176e-09
2003,4.125253738607171e-08,1.6667691671301554e-09
2004,4.096455796798182e-08,0.0
2005,5.5396121467765624e-08,2.251874686720612e-09
2006,3.706101026068609e-08,1.6471559671771274e-09
2007,5.2727127552998354e-08,3.595031605740928e-09
2008,6.002989749731569e-08,5.960415716543821e-09
2009,8.201291024079183e-08,9.53638501499654e-09
2010,7.274640978494062e-08,5.668551850135373e-09
2011,8.565697129370164e-08,5.7359579308524644e-09
2012,9.225524877365388e-08,8.170206733382201e-09
2013,7.837441273750301e-08,7.2517249982695375e-09
2014,6.972733501697803e-08,6.712880029624557e-09
2015,7.026544324162387e-08,7.75801378694041e-09
2016,7.581104455312015e-08,6.8354220061905835e-09
2017,6.062623469915707e-08,6.5405894034142875e-09
2018,7.305551008585098e-08,7.228107001822082e-09
2019,5.5611533156252335e-08,8.16316081397872e-09
