year,très_ADV emporté_VERB
1911,1.1704822888702893e-08
1912,9.376957876838787e-09
1913,4.242391771214216e-09
1914,4.68772043404897e-09
1915,7.0684572639478915e-09
1916,9.888715624128963e-09
1917,3.2899273305631027e-09
1918,4.594550517822427e-09
1919,6.4454939163738345e-09
1920,7.572231730534895e-10
1921,1.1359120755116692e-08
1922,2.2133805899215986e-08
1923,5.307974060286824e-09
1924,3.867487219366694e-09
1925,6.598906754362588e-09
1926,4.458455382660986e-09
1927,2.2298449753321847e-09
1928,4.570416489713125e-09
1929,5.570203187588163e-09
1930,6.302162347537887e-09
1931,6.843213995466613e-09
1932,7.6716757391182e-09
1933,3.4411986593596566e-09
1934,7.188948103475923e-09
1935,5.98414207075848e-09
1936,1.2124714565686645e-08
1937,2.5182236296217297e-09
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,2.3841741914054637e-09
1948,6.523132700664291e-09
1949,2.945102384188658e-09
1950,3.190608444114673e-09
1951,8.529121409139861e-09
1952,3.1634410646574906e-09
1953,7.54167928107563e-09
1954,0.0
1955,7.508486277174597e-09
1956,5.232684952005684e-09
1957,4.417518850718949e-09
1958,6.617794590102477e-09
1959,8.525822381422188e-09
1960,4.844583401109048e-09
1961,6.94815938118154e-09
1962,2.5367825617905737e-09
1963,5.819447923549603e-09
1964,8.517555549758526e-09
1965,6.5664522708175355e-09
1966,4.985167390003653e-09
1967,1.4791006197611978e-09
1968,2.6948494546985557e-09
1969,4.087581828571274e-09
1970,4.1388523719376735e-09
1971,3.0830383801472294e-09
1972,2.0520587451500205e-09
1973,1.102640756478479e-09
1974,2.812785782069227e-09
1975,2.8557400888473694e-09
1976,5.1421741309454205e-09
1977,4.7014254711541525e-09
1978,7.72276909088987e-09
1979,2.925986564150662e-09
1980,4.548120546843393e-09
1981,6.325549417596221e-09
1982,3.724501262958313e-09
1983,3.78918940668882e-09
1984,4.639206629963866e-09
1985,6.015557829641693e-09
1986,4.7955883708539204e-09
1987,4.277571630240118e-09
1988,1.7989661427186832e-09
1989,6.036934507847036e-09
1990,6.538381391862913e-09
1991,2.930732601047481e-09
1992,2.7549720282848966e-09
1993,9.416652346772025e-09
1994,5.802419378309054e-09
1995,5.4224509327127635e-09
1996,5.3380921904988554e-09
1997,2.876936688878118e-09
1998,8.582632937681467e-09
1999,7.312321859131998e-09
2000,4.859834756842929e-09
2001,4.381211837767296e-09
2002,5.257465574004527e-09
2003,6.667076779542924e-09
2004,6.607186797680242e-09
2005,1.3511248786457486e-09
2006,4.529678854225949e-09
2007,3.1955835755326234e-09
2008,1.7029758436759579e-09
2009,4.76819250749827e-09
2010,4.723792912386671e-09
2011,6.1183550448262736e-09
2012,5.446804340891731e-09
2013,6.9728125495771565e-09
2014,6.063246307808079e-09
2015,7.314698624583116e-09
2016,7.663958356829426e-09
2017,3.5218558347427376e-09
2018,4.3884932354743e-09
2019,4.3366790158927415e-09
