year,dus_VERB aller_VERB
1912,1.0418842677495377e-08
1913,1.4318072061314524e-08
1914,8.036092680185902e-09
1915,1.295883844676382e-08
1916,2.966614687238689e-08
1917,4.386569774084137e-09
1918,1.9526840588923733e-08
1919,6.4454939163738345e-09
1920,1.514446346106979e-08
1921,1.817459427400081e-08
1922,1.475587119159627e-08
1923,8.492758496458919e-09
1924,1.5469948877466777e-08
1925,1.8696901804560184e-08
1926,1.4489979882625903e-08
1927,6.689535148041159e-09
1928,4.570416489713125e-09
1929,2.4508894469477127e-08
1930,1.2604324695075775e-08
1931,2.0529641986399838e-08
1932,1.53433514782364e-08
1933,1.1470662641954732e-08
1934,9.585264137967897e-09
1935,2.752705441366743e-08
1936,2.424942913137329e-09
1937,1.510934133364117e-08
1938,1.4261735792331365e-08
1939,4.588215141154706e-09
1940,1.5214697057785997e-08
1941,1.7709016475464523e-08
1942,3.034211770724937e-09
1943,2.9032351633873077e-08
1944,1.2852744646352221e-08
1945,2.832055301382752e-08
1946,2.3665876369705074e-08
1947,2.3841742802233057e-08
1948,2.5005341797168512e-08
1949,2.2579119018928395e-08
1950,2.0207187034770868e-08
1951,2.1322803078760444e-08
1952,2.003512733494972e-08
1953,1.1851209791302608e-08
1954,1.3681550115052232e-08
1955,1.9709776921672528e-08
1956,1.3081712602058815e-08
1957,1.1485549400447326e-08
1958,2.4816730004317833e-08
1959,1.4726420971555854e-08
1960,1.591791587429725e-08
1961,1.80652133252579e-08
1962,1.9660065575521912e-08
1963,1.7458344103715717e-08
1964,1.3384730657151067e-08
1965,1.641613067704384e-08
1966,1.38476865529924e-08
1967,1.1339771788243524e-08
1968,1.7965662735264232e-08
1969,7.2668124850849836e-09
1970,1.1956685419534097e-08
1971,9.24911525146399e-09
1972,7.69522046084603e-09
1973,2.591205827684462e-08
1974,7.313243344242437e-09
1975,1.028066431985053e-08
1976,1.085570122683066e-08
1977,9.402850942308305e-09
1978,1.4257419245211622e-08
1979,2.3407892513205297e-08
1980,1.0801786132219604e-08
1981,1.2651098835192442e-08
1982,1.0552754226011984e-08
1983,2.5261265079734585e-08
1984,1.5077421977593986e-08
1985,2.045289804186723e-08
1986,1.6185110141009318e-08
1987,8.555143260480236e-09
1988,1.0793796967334401e-08
1989,1.0976243913773942e-08
1990,1.3621627381610324e-08
1991,1.1722930182145319e-08
1992,1.1019888113139586e-08
1993,1.2740176913439427e-08
1994,1.476979427650349e-08
1995,1.4098372247417501e-08
1996,1.0676184380997711e-08
1997,9.110299181713799e-09
1998,1.8118891276230897e-08
1999,1.0968483010742602e-08
2000,1.0161472552283612e-08
2001,1.445799924226776e-08
2002,1.927737436346888e-08
2003,1.6250998768896352e-08
2004,1.4095332012686868e-08
2005,1.170974872621855e-08
2006,1.4412615101377924e-08
2007,1.7176262190332636e-08
2008,1.575252639440805e-08
2009,1.8119131084404216e-08
2010,1.5116137674908714e-08
2011,1.2619107536693264e-08
2012,3.029784778618705e-08
2013,2.4265387921218462e-08
2014,3.3564401036301206e-08
2015,2.327404224899965e-08
2016,2.8584492994809807e-08
2017,2.9935776524325775e-08
2018,2.4265787601507327e-08
2019,2.448948244193616e-08
