year,devrions_VERB avoir_VERB
1953,1.0666089167443715e-07
1954,1.006571253014954e-07
1955,7.977766358635563e-08
1956,9.244410392739155e-08
1957,8.393286066166183e-08
1958,8.603133494489157e-08
1959,9.455912675093714e-08
1960,6.713208478004162e-08
1961,7.990383465994455e-08
1962,7.673767044025226e-08
1963,1.0345685552692885e-07
1964,1.0038547770818695e-07
1965,1.034216197126625e-07
1966,6.979234257187272e-08
1967,8.13505351970889e-08
1968,1.1408196343154486e-07
1969,1.4124866254405788e-07
1970,1.457795804071793e-07
1971,1.1355858475781133e-07
1972,8.567345588517128e-08
1973,1.3066292581243033e-07
1974,1.2320002440446842e-07
1975,8.510105686809766e-08
1976,1.1484188888744029e-07
1977,1.1048349790598877e-07
1978,1.1049500159288073e-07
1979,9.948355028654987e-08
1980,1.6145827430591453e-07
1981,9.931112998629033e-08
1982,1.0738978772906194e-07
1983,1.1746487871278077e-07
1984,1.409159011700467e-07
1985,1.118893777629637e-07
1986,1.1749191486387645e-07
1987,8.249602956311719e-08
1988,9.2346930102849e-08
1989,1.317149269652873e-07
1990,8.663354833515768e-08
1991,1.2484920830502233e-07
1992,7.989419259502029e-08
1993,7.588714368012006e-08
1994,1.4242301915601274e-07
1995,1.0085758361810804e-07
1996,7.68685310958972e-08
1997,9.014401314288989e-08
1998,7.676688085211936e-08
1999,8.957594133107705e-08
2000,8.526800598929185e-08
2001,9.156732971860038e-08
2002,8.850067700905129e-08
2003,7.708807459039235e-08
2004,9.646493026593816e-08
2005,7.296074500118266e-08
2006,9.512325505056651e-08
2007,8.308517607247268e-08
2008,9.068346429330632e-08
2009,9.679430945652712e-08
2010,1.3321096048457548e-07
2011,1.391925792404436e-07
2012,1.4774457213206915e-07
2013,1.6204816688514256e-07
2014,1.4941571180315805e-07
2015,1.5649021634089877e-07
2016,1.6073599340415967e-07
2017,1.743318591707066e-07
2018,1.6908606426113693e-07
2019,1.4770219536330842e-07
