year,deviez_VERB avoir_VERB
2007,2.676301313897511e-08
2008,2.0435710013089192e-08
2009,3.7191902890754136e-08
2010,3.542844595472161e-08
2011,3.9004515173246546e-08
2012,4.936166320135271e-08
2013,6.10818418067538e-08
2014,5.8033929661860384e-08
2015,8.068334267363753e-08
2016,7.042556404712741e-08
2017,6.037467414898856e-08
2018,5.653411960793164e-08
2019,6.658078177679272e-08
