year,voudrions_VERB ajouter_VERB
1955,3.378819002364253e-08
1956,3.8373023869553435e-08
1957,5.3893728590992396e-08
1958,5.4596807075313336e-08
1959,3.1778064624177205e-08
1960,2.5607082676515347e-08
1961,4.377340445671507e-08
1962,2.8538803320543593e-08
1963,4.396916253313066e-08
1964,4.9280142633278956e-08
1965,2.7907420374617686e-08
1966,3.9881339120029224e-08
1967,4.338695447358987e-08
1968,4.177016776907294e-08
1969,3.587988572917311e-08
1970,3.632992928714884e-08
1971,3.339958354331429e-08
1972,3.078088184338412e-08
1973,3.418186267367673e-08
1974,3.7691329168865195e-08
1975,4.112265727940212e-08
1976,3.370981005446083e-08
1977,3.6436048844734614e-08
1978,3.5049488644745e-08
1979,3.2185852205657284e-08
1980,4.150160037852402e-08
1981,3.985096341807548e-08
1982,3.600351305976801e-08
1983,2.9050454486423405e-08
1984,2.8995042811175153e-08
1985,2.1054452403745927e-08
1986,2.8773531113301942e-08
1987,2.688759437319277e-08
1988,2.2187249371086182e-08
1989,3.0733485090195245e-08
1990,3.0512445903241314e-08
1991,2.2859714121636898e-08
1992,1.8182815253453555e-08
1993,2.3264671966671813e-08
1994,2.004472143823932e-08
1995,2.4943274112843028e-08
1996,1.5480466686312866e-08
1997,2.8769367332870388e-08
1998,2.2410207023426665e-08
1999,1.828080442578539e-08
2000,2.385736941334926e-08
2001,1.0514908055370142e-08
2002,1.9715496790695397e-08
2003,1.7084383685528337e-08
2004,2.334539317416784e-08
2005,1.8915748967174295e-08
2006,1.7706927479821388e-08
2007,1.837460494868992e-08
2008,1.4049550856043425e-08
2009,1.4781396551200032e-08
2010,8.97520635589899e-09
2011,8.030340836739924e-09
2012,8.170206733382201e-09
2013,5.857162754807632e-09
2014,5.413613113347537e-09
2015,4.43315073539452e-09
2016,4.142679976837371e-09
2017,6.289028409156572e-09
2018,4.3884935685412074e-09
2019,2.5509878653906526e-09
