year,vouliez_VERB aller_VERB
1875,1.3159512590732447e-08
1876,1.209202959984168e-08
1877,7.421779191219002e-09
1878,1.0870359723469392e-08
1879,1.2829582729523281e-08
1880,1.4761046607247863e-08
1881,1.8825771164188154e-08
1882,1.5307385581309063e-08
1883,1.3270612164717477e-08
1884,4.621187876807653e-09
1885,1.160214413431504e-08
1886,8.38950331427668e-09
1887,2.154545164501087e-08
1888,1.2047167707862627e-08
1889,1.1903759755682586e-08
1890,9.176140736144589e-09
1891,1.529812720946211e-08
1892,1.4417578242387208e-08
1893,7.390100087434348e-09
1894,1.071261657159539e-08
1895,9.027921521465032e-09
1896,1.0614652268259306e-08
1897,1.0488084178916779e-08
1898,6.7900258748920805e-09
1899,3.8693048765026106e-09
1900,6.22926377147337e-09
1901,5.58873880507349e-09
1902,3.437198747846537e-09
1903,1.7820726228023887e-08
1904,1.1286712897629059e-08
1905,5.676835002077496e-09
1906,3.600929110447737e-09
1907,1.6457098794830927e-08
1908,1.9154416719402434e-08
1909,8.801573692096554e-09
1910,2.137660359835536e-08
1911,8.51259862599818e-09
1912,6.251305251225858e-09
1913,6.363587878865928e-09
1914,3.3483718020477227e-09
1915,1.0602685840410686e-08
1916,9.888715624128963e-09
1917,4.386569774084137e-09
1918,1.6080926812378493e-08
1919,9.207848372660976e-10
1920,5.300562211374427e-09
1921,2.2718242842501013e-09
1922,2.2871599725249325e-08
1923,1.9108707505210987e-08
1924,1.0313299547703991e-08
1925,1.3197813508725176e-08
1926,7.802296586589819e-09
1927,2.0068604555945058e-08
1928,1.5996457491951332e-08
1929,1.5596569369336066e-08
1930,2.8359728787563654e-08
1931,1.3686427990933225e-08
1932,1.2055489939655217e-08
1933,1.1470662641954732e-08
1934,1.1981580172459871e-08
1935,1.3165112555668657e-08
1936,9.699771652549316e-09
1937,1.0072894518486919e-08
1938,1.1668692678767911e-08
1939,1.6823456405745674e-08
1940,1.2678914806940611e-08
1941,2.3612020783048138e-08
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,1.2852744646352221e-08
1945,2.178504043826024e-09
1946,1.5313215584455975e-08
1947,1.1920871401116528e-08
1948,5.435944139264848e-09
1949,1.668891336237266e-08
1950,8.508289184305795e-09
1951,1.4925962688039363e-08
1952,1.4762725264461096e-08
1953,5.386913581872932e-09
1954,9.772536557761669e-09
1955,4.6928039232341234e-09
1956,6.976913269340912e-09
1957,2.03205861026845e-08
1958,1.0753916868111446e-08
1959,8.525822714489095e-09
1960,8.997083078554624e-09
1961,2.014966149488373e-08
1962,1.331810839388936e-08
1963,9.69907976156037e-09
1964,1.3384730657151067e-08
1965,1.0396882466068291e-08
1966,6.092982118843793e-09
1967,1.0846738618397467e-08
1968,1.3474247495537384e-08
1969,6.8126366770115965e-09
1970,7.3579600190498695e-09
1971,8.221435976452085e-09
1972,6.669190977248718e-09
1973,6.064523994098181e-09
1974,1.2376257352286757e-08
1975,1.5420996035686585e-08
1976,7.998937512354587e-09
1977,8.815172591880582e-09
1978,1.0693064211864112e-08
1979,4.681578680276743e-09
1980,6.822181042309694e-09
1981,1.0120879245789638e-08
1982,1.0552754226011984e-08
1983,1.0104505676622466e-08
1984,8.69851302098823e-09
1985,5.414002135495366e-09
1986,1.019062523255343e-08
1987,1.099947066762752e-08
1988,1.2592763276586538e-08
1989,5.488121956886971e-09
1990,7.083246433836621e-09
1991,2.344586080837985e-09
1992,1.2672871640972971e-08
1993,1.1632335983335906e-08
1994,7.384897138251745e-09
1995,4.337960657352369e-09
1996,3.2028553142993132e-09
1997,3.835915585170824e-09
1998,6.198567881199324e-09
1999,6.8553016596695215e-09
2000,7.068850393920911e-09
2001,5.695575122643959e-09
2002,5.257465574004527e-09
2003,4.583615265119079e-09
2004,1.3654853248112886e-08
2005,7.656374201303606e-09
2006,1.070651389767363e-08
2007,7.589511241690161e-09
2008,1.4901038625225738e-08
2009,1.0966842545201416e-08
2010,1.842279218067233e-08
2011,1.5295887223487625e-08
2012,3.029784778618705e-08
2013,2.9843636895066084e-08
2014,2.7284610126798725e-08
2015,3.7460125668076216e-08
2016,3.5627049754793916e-08
2017,3.9243538196842565e-08
2018,3.149389371515099e-08
2019,3.7499521710060435e-08
