year,pouviez_VERB avoir_VERB
1958,2.6471179026543723e-08
1959,3.100299039715537e-08
1960,3.114374891310945e-08
1961,3.752005994783758e-08
1962,2.72704117065814e-08
1963,2.7157422977097667e-08
1964,4.502136619066732e-08
1965,2.407699106754535e-08
1966,2.437192847537517e-08
1967,2.7609878827661305e-08
1968,2.380450325745187e-08
1969,1.4987801222332564e-08
1970,1.9314645882673176e-08
1971,3.5454942093338104e-08
1972,2.667676390899487e-08
1973,2.205281468548037e-08
1974,1.6314157136321228e-08
1975,2.056132863970106e-08
1976,1.8283285996290033e-08
1977,1.4104276857551667e-08
1978,2.0198010375338527e-08
1979,2.925986741786346e-08
1980,2.1035058139773355e-08
1981,2.340453342242199e-08
1982,1.4898005495922462e-08
1983,1.4525227243211702e-08
1984,1.275781880138993e-08
1985,1.804667348892508e-08
1986,2.0980699844130868e-08
1987,1.4665960890170027e-08
1988,1.4391728697660255e-08
1989,2.469655058234821e-08
1990,1.689081763345257e-08
1991,1.52398094144246e-08
1992,1.597883780846132e-08
1993,1.994114740000441e-08
1994,2.1099706870586488e-08
1995,2.1689803730851054e-08
1996,1.8149513891785318e-08
1997,1.5343662340683295e-08
1998,1.4781200263769279e-08
1999,2.2393985332769262e-08
2000,1.3254094710646314e-08
2001,1.9715452381774412e-08
2002,1.5772396722013582e-08
2003,1.8334461060476315e-08
2004,1.9821561281219147e-08
2005,1.3511249008502091e-08
2006,1.3589036562677848e-08
2007,1.8774054311165855e-08
2008,2.426740586258802e-08
2009,3.290052674742583e-08
2010,1.747803501928047e-08
2011,4.053410407323099e-08
2012,4.731911218414098e-08
2013,4.964642741356329e-08
2014,5.305340877725939e-08
2015,4.898631544847376e-08
2016,5.5304777646369985e-08
2017,5.710437633865695e-08
2018,5.498523947267131e-08
2019,5.3315645232032693e-08
