year,très_ADV rempli_VERB
1918,1.722956355365568e-08
1919,1.1970202606903513e-08
1920,2.1202248845497706e-08
1921,7.572747762196741e-09
1922,5.164555005876537e-09
1923,1.3800733000834953e-08
1924,9.02413699321869e-09
1925,9.898360353588487e-09
1926,7.802296586589819e-09
1927,8.919379901328739e-09
1928,1.4853853258500749e-08
1929,5.570202965543558e-09
1930,1.1553964007759987e-08
1931,1.710803587684495e-08
1932,4.383814644626227e-09
1933,6.882397318719313e-09
1934,5.990790086229936e-09
1935,1.555876849579363e-08
1936,1.33371855781661e-08
1937,6.295559185076627e-09
1938,1.1668692678767911e-08
1939,1.070583532936098e-08
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,2.4273694165799498e-08
1943,0.0
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,2.7842208538686464e-09
1947,7.152522574216391e-09
1948,9.784699273041042e-09
1949,1.0798709482173763e-08
1950,8.508289184305795e-09
1951,1.0661401539380222e-08
1952,9.490323193972472e-09
1953,1.6160740301529586e-08
1954,2.9317608341017376e-09
1955,2.815682353940474e-09
1956,1.0465369904011368e-08
1957,6.184526224473075e-09
1958,8.272243445794913e-10
1959,1.007597205671118e-08
1960,6.2287499602575735e-09
1961,8.33779090214648e-09
1962,5.0735651235811474e-09
1963,4.526237162849611e-09
1964,6.6923653285755336e-09
1965,5.47204326295514e-09
1966,1.163205709531212e-08
1967,5.423369309198733e-09
1968,7.186265360559219e-09
1969,6.8126366770115965e-09
1970,3.6789800095249348e-09
1971,5.138397263237948e-09
1972,7.182205497002769e-09
1973,9.923766697284009e-09
1974,7.313243344242437e-09
1975,3.998036124386317e-09
1976,6.2848797277581525e-09
1977,2.938390863960194e-09
1978,2.970295565063452e-09
1979,5.851973128301324e-09
1980,1.1370301367108482e-09
1981,5.060439622894819e-09
1982,8.069752865935698e-09
1983,3.157658134966823e-09
1984,3.479405208395292e-09
1985,8.421781494405423e-09
1986,6.593933843390687e-09
1987,6.110816741511371e-09
1988,7.795519785247507e-09
1989,3.841685636274406e-09
1990,3.2691906959314565e-09
1991,4.68917216167597e-09
1992,4.958949695321735e-09
1993,3.323524566667402e-09
1994,8.439882570598911e-09
1995,9.760411145975922e-09
1996,6.4057106285986265e-09
1997,8.630809844589749e-09
1998,7.629006759657386e-09
1999,7.312321859131998e-09
2000,6.185244316725402e-09
2001,1.095302959441824e-08
2002,7.009954394732176e-09
2003,5.000307723435071e-09
2004,4.845270407116686e-09
2005,5.404499514582994e-09
2006,4.117890028965121e-09
2007,6.7906151812735516e-09
2008,1.2346575317678798e-08
2009,1.3350939020995156e-08
2010,8.97520635589899e-09
2011,1.1089518636708817e-08
2012,1.9404239992582006e-08
2013,1.561910067948702e-08
2014,1.017759210242275e-08
2015,1.3742767812630063e-08
2016,1.8020658743012063e-08
2017,1.282961736848165e-08
2018,1.4456214003644163e-08
2019,1.4795729086358733e-08
