year,voulions_VERB aller_VERB
1899,2.819064981451902e-08
1900,1.661137005726232e-08
1901,2.0119459875900247e-08
1902,1.5221880644844532e-08
1903,1.674068350610014e-08
1904,7.524475265086039e-09
1905,1.2901897328276846e-08
1906,1.388929860013377e-08
1907,1.7999951751335175e-08
1908,1.5716445034286153e-08
1909,1.5402754627302784e-08
1910,1.4429207162436342e-08
1911,2.181353409014264e-08
1912,2.5005221004903433e-08
1913,2.2802856491921375e-08
1914,2.8795998474606677e-08
1915,1.295883844676382e-08
1916,3.625862632361532e-08
1917,3.289927263949721e-08
1918,5.743188147278033e-09
1919,1.8415697411455767e-08
1920,3.63467123065675e-08
1921,2.7261890522822796e-08
1922,1.623145884366295e-08
1923,9.554353752605493e-09
1924,2.4494086758863887e-08
1925,2.0896537833436923e-08
1926,1.89484357093761e-08
1927,1.5608915049369898e-08
1928,2.0566874425753667e-08
1929,1.893869061575515e-08
1930,2.10072066408884e-08
1931,3.5356606531422585e-08
1932,2.082311922890767e-08
1933,2.064719240024715e-08
1934,1.677421224144382e-08
1935,3.7101681726881e-08
1936,9.699771652549316e-09
1937,1.7627565185307503e-08
1938,1.0372171566075394e-08
1939,1.6823456405745674e-08
1940,1.2678914806940611e-08
1941,2.9515025090631752e-08
1942,2.730790527039062e-08
1943,1.7419411690866582e-08
1944,9.639558484764166e-09
1945,1.9606536838523425e-08
1946,1.9489545977080525e-08
1947,2.26496545963073e-08
1948,1.848220954059343e-08
1949,1.3743811422273211e-08
1950,2.0207187034770868e-08
1951,2.3455083209000804e-08
1952,2.4253049346611988e-08
1953,1.4005975934594517e-08
1954,1.4658803948464083e-08
1955,3.0972504561077585e-08
1956,2.52913103793162e-08
1957,1.1485549400447326e-08
1958,1.8198935691771112e-08
1959,2.5577467255288866e-08
1960,1.7994166157109248e-08
1961,2.223410966450956e-08
1962,1.77574772664002e-08
1963,2.9743844720542256e-08
1964,2.251068309533366e-08
1965,2.188817305182056e-08
1966,1.8832853498906843e-08
1967,2.267954357648705e-08
1968,1.7067380397861598e-08
1969,1.3625273354023193e-08
1970,2.4373242979436327e-08
1971,1.5415192677892264e-08
1972,2.4624704053621826e-08
1973,2.4258095976392724e-08
1974,2.3627400480563665e-08
1975,2.627280792921738e-08
1976,1.3712464053128315e-08
1977,1.880570188461661e-08
1978,1.9603952239322098e-08
1979,2.57486831856113e-08
1980,2.2740602290127754e-08
1981,2.6567308353264707e-08
1982,2.669225906970496e-08
1983,2.5261265079734585e-08
1984,1.9716628330002095e-08
1985,2.4062231318566774e-08
1986,2.038125046510686e-08
1987,2.810975807676641e-08
1988,2.5785181989590455e-08
1989,2.6342986458871565e-08
1990,3.0512445903241314e-08
1991,1.3481369798284959e-08
1992,2.920270425477156e-08
1993,2.4926434250005514e-08
1994,1.793475057354499e-08
1995,2.2232049090575856e-08
1996,1.8149513891785318e-08
1997,3.356426248046773e-08
1998,1.8118891276230897e-08
1999,2.4679085441903226e-08
2000,2.6508189421292627e-08
2001,2.6287271026603776e-08
2002,3.24210382984802e-08
2003,2.375146124222738e-08
2004,2.686922684347337e-08
2005,2.0266872624574717e-08
2006,2.9237018139838256e-08
2007,2.75619083112133e-08
2008,1.702975893635994e-08
2009,1.9549588614609092e-08
2010,2.0784689525044087e-08
2011,3.823971894689748e-08
2012,3.982975727012672e-08
2013,3.960557393156705e-08
2014,3.572984397237633e-08
2015,4.2779905840006904e-08
2016,3.997686448542481e-08
2017,3.3960752432449226e-08
2018,4.336864023457565e-08
2019,3.3417940414892655e-08
