year,voudrions_VERB aller_VERB
1887,1.0446279397058333e-08
1888,3.1703073499755874e-09
1889,5.6386229019267375e-09
1890,2.6217545912032847e-09
1891,4.461953917456185e-09
1892,6.268512375839919e-10
1893,3.079208221734575e-09
1894,6.9316934414587195e-09
1895,3.0093072478365457e-09
1896,5.307326134129653e-09
1897,8.157399200570126e-09
1898,8.487532454637403e-09
1899,1.3818945987509323e-08
1900,1.4015843596837385e-08
1901,1.1177477832191585e-09
1902,4.910283735171106e-09
1903,2.1600881083827517e-09
1904,2.1498500757388683e-08
1905,1.3417973399043603e-08
1906,1.18316245689698e-08
1907,4.114274698707732e-09
1908,9.331639461152008e-09
1909,4.400786846048277e-09
1910,4.809735720812114e-09
1911,6.916486494645824e-09
1912,4.688478938419394e-09
1913,5.833288518886093e-09
1914,1.0045115850232378e-08
1915,2.4739600590351074e-08
1916,7.69122365795738e-09
1917,5.483212106582869e-09
1918,5.743188147278033e-09
1919,1.4732557396257562e-08
1920,1.2115570768855832e-08
1921,1.5145495524393482e-08
1922,6.640141769764796e-09
1923,1.3800733000834953e-08
1924,0.0
1925,1.2097995494286806e-08
1926,5.57306911730393e-09
1927,2.2298449753321847e-09
1928,9.14083297942625e-09
1929,8.912325100141061e-09
1930,3.1510811737689437e-09
1931,1.2545892325022123e-08
1932,6.575722188983946e-09
1933,1.3764794637438627e-08
1934,3.5944740517379614e-09
1935,8.377798899061872e-09
1936,9.699771652549316e-09
1937,2.5182236296217297e-09
1938,3.8895642262559704e-09
1939,7.647025235257843e-09
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,6.960552134671616e-09
1947,1.6689218895749036e-08
1948,9.784699273041042e-09
1949,8.835307596655184e-09
1950,1.0635361036293034e-08
1951,8.529121409139861e-09
1952,1.370824520563474e-08
1953,1.0773827163745864e-08
1954,2.9317608341017376e-09
1955,3.754243138587299e-09
1956,9.593255967388359e-09
1957,4.417518795207798e-09
1958,4.9633461784992505e-09
1959,8.525822714489095e-09
1960,1.314958364417862e-08
1961,7.64297514166401e-09
1962,1.331810839388936e-08
1963,7.759263453976928e-09
1964,6.6923653285755336e-09
1965,1.4774516721161035e-08
1966,9.970334780007306e-09
1967,9.367637332502454e-09
1968,1.5719955115400808e-08
1969,7.2668124850849836e-09
1970,1.5175793066646293e-08
1971,5.138397263237948e-09
1972,4.6171320100540925e-09
1973,7.1671650836435674e-09
1974,3.937900228123681e-09
1975,7.996072248772634e-09
1976,3.9994687561772935e-09
1977,4.11374712072643e-09
1978,6.534650598410963e-09
1979,1.287434159280565e-08
1980,1.1370301145063877e-08
1981,3.1627747087981106e-09
1982,3.1037510339615437e-09
1983,5.052252838311233e-09
1984,5.799008384599347e-09
1985,6.015557829641693e-09
1986,5.994485352545098e-09
1987,7.332980445085013e-09
1988,9.594486094499644e-09
1989,6.036934507847036e-09
1990,8.172976073694826e-09
1991,1.2895223555631219e-08
1992,1.0468894195980738e-08
1993,1.1078414630105726e-08
1994,7.384897138251745e-09
1995,8.133675954979935e-09
1996,8.540947504798169e-09
1997,6.233362714880286e-09
1998,9.536258005482523e-09
1999,1.0054442611817649e-08
2000,7.95245647111642e-09
2001,1.270551397425379e-08
2002,1.0076809608960957e-08
2003,1.0000615446870142e-08
2004,6.607186797680242e-09
2005,9.457874483587148e-09
2006,5.7650457740976435e-09
2007,7.988958827809256e-09
2008,7.663391698997657e-09
2009,1.2397300963584712e-08
2010,1.1809482280966677e-08
2011,6.118355155848576e-09
2012,1.0212757750593937e-08
2013,1.2829975304384789e-08
2014,1.2559581819004961e-08
2015,1.10828768384863e-08
2016,1.3256576281150956e-08
2017,1.0314006537726073e-08
2018,2.323320025254816e-08
2019,1.5305927192343916e-08
