year,devrions_VERB ajouter_VERB
1909,7.151278680339601e-09
1910,1.0153886620400954e-08
1911,5.852411444351446e-09
1912,7.814131564032323e-09
1913,1.1666577037772186e-08
1914,4.68772043404897e-09
1915,2.3561523843085297e-09
1916,1.4283700444650549e-08
1917,1.0966424213165737e-08
1918,1.1486376294556067e-08
1919,5.524709134618888e-09
1920,6.057785384427916e-09
1921,7.572747762196741e-09
1922,6.640141769764796e-09
1923,1.4862327368803108e-08
1924,2.578324886925998e-09
1925,2.0896537833436923e-08
1926,3.343841648018042e-09
1927,7.804457524684949e-09
1928,5.713020723163709e-09
1929,7.798284684668033e-09
1930,1.2604324695075775e-08
1931,1.596749932275543e-08
1932,4.383814644626227e-09
1933,8.02946331646126e-09
1934,3.5944740517379614e-09
1935,5.98414207075848e-09
1936,7.274828739411987e-09
1937,5.0364472592434595e-09
1938,1.9447821131279852e-08
1939,6.117620188206274e-09
1940,0.0
1941,1.4757512545315876e-08
1942,0.0
1943,2.0322646676618206e-08
1944,6.4263723231761105e-09
1945,1.3071024262956144e-08
1946,9.744772988540262e-09
1947,1.0728784083369192e-08
1948,1.522064252412747e-08
1949,6.8719057111366055e-09
1950,1.1698897850465073e-08
1951,1.0661401761424827e-09
1952,1.1599284199803606e-08
1953,5.386913581872932e-09
1954,2.9317608341017376e-09
1955,6.569925492527773e-09
1956,6.976913269340912e-09
1957,8.835037590415595e-09
1958,4.9633461784992505e-09
1959,3.8753737996444215e-09
1960,4.152500121534786e-09
1961,6.25334317660986e-09
1962,1.0781326054143392e-08
1963,8.405868889838075e-09
1964,4.867174663303331e-09
1965,7.1136563306595235e-09
1966,7.200797291773142e-09
1967,9.860671390526932e-09
1968,1.122853987567396e-08
1969,4.087581828571274e-09
1970,5.978342709767048e-09
1971,1.490135304038631e-08
1972,4.6171320100540925e-09
1973,9.37244681864513e-09
1974,5.625571564138454e-09
1975,7.996072248772634e-09
1976,8.570290255249802e-09
1977,1.057820764316375e-08
1978,4.158414057542359e-09
1979,3.5111840102075575e-09
1980,1.0233271119375331e-08
1981,1.2018544381930951e-08
1982,1.1794254461960918e-08
1983,5.68378455412244e-09
1984,7.538710988796993e-09
1985,3.0077789148208467e-09
1986,6.593933843390687e-09
1987,7.332980445085013e-09
1988,2.99827696004229e-09
1989,6.585746614717891e-09
1990,7.083246433836621e-09
1991,8.20605094986604e-09
1992,2.7549720282848966e-09
1993,7.754890063438324e-09
1994,7.912389854425328e-09
1995,3.253470381991974e-09
1996,4.270473752399084e-09
1997,7.671831170341648e-09
1998,8.10582001520288e-09
1999,4.113180906983871e-09
2000,7.510653432518666e-09
2001,9.20054432640427e-09
2002,7.448076377869484e-09
2003,5.416999737661854e-09
2004,5.726228824443069e-09
2005,7.205999352777326e-09
2006,7.823991232669414e-09
2007,7.988958827809256e-09
2008,3.8316958494988285e-09
2009,2.384096253749135e-09
2010,4.723792912386671e-09
2011,6.118355155848576e-09
2012,4.425528388196653e-09
2013,5.020424964641279e-09
2014,5.197068553286499e-09
2015,5.319781060109108e-09
2016,4.764082017771898e-09
2017,6.5405894034142875e-09
2018,4.64663996169179e-09
2019,5.101975730781305e-09
