year,véritables_ADJ routes_NOUN
1994,3.6924485691258724e-09
1995,1.0844901865425527e-08
1996,3.2028553142993132e-09
1997,1.2946214766884623e-08
1998,7.629006759657386e-09
1999,6.398281460207045e-09
2000,9.719669513685858e-09
2001,8.762423675534592e-09
2002,5.6955880012310445e-09
2003,8.333845613606172e-09
2004,6.607186797680242e-09
2005,5.854874363109275e-09
2006,4.117890028965121e-09
2007,4.393927444112933e-09
2008,3.405951742863067e-09
2009,7.629108011997232e-09
2010,1.0392344762522043e-08
2011,4.206369030868018e-09
2012,5.7872298064864935e-09
2013,4.183687618564136e-09
2014,5.197068553286499e-09
2015,1.5959342292148904e-08
2016,7.042556315894899e-09
2017,3.018733707449428e-09
2018,5.162933192082164e-09
2019,1.4540630033366142e-08
