year,mais_CONJ avoir_VERB
1935,1.6516231227114986e-07
1936,1.1397231602927604e-07
1937,1.7879387925745505e-07
1938,1.2187301479116286e-07
1939,1.3611704829941118e-07
1940,1.4707540785252604e-07
1941,1.4757512545315876e-07
1942,1.608132293995368e-07
1943,1.3354882000271573e-07
1944,1.8957798708640894e-07
1945,1.3506724982903506e-07
1946,1.6148481307709517e-07
1947,1.4066627684883315e-07
1948,1.4785767277203377e-07
1949,1.4823682192854903e-07
1950,1.9569065301539013e-07
1951,1.3220138228575706e-07
1952,1.381369294506385e-07
1953,1.4760143507430712e-07
1954,1.4561078742758582e-07
1955,1.4266124281903103e-07
1956,1.5959689037003955e-07
1957,1.7493374571131426e-07
1958,1.6213596865100044e-07
1959,1.1393599663733767e-07
1960,1.6748416697964785e-07
1961,1.4938542491904627e-07
1962,1.7757478332214305e-07
1963,1.4742601628370267e-07
1964,1.7765186655083198e-07
1965,1.8659667233578148e-07
1966,1.5343237080855943e-07
1967,1.6763141275077942e-07
1968,1.7067379687318862e-07
1969,1.5214888193781917e-07
1970,1.6049551021524167e-07
1971,1.407920890983405e-07
1972,1.3953999200566614e-07
1973,1.4775386247833922e-07
1974,1.5920368312549726e-07
1975,1.513542216002861e-07
1976,1.456949370037819e-07
1977,1.369290192343442e-07
1978,1.5623755089677616e-07
1979,1.5800328867499047e-07
1980,1.5634164185485133e-07
1981,1.3093887218929012e-07
1982,1.4587630303708465e-07
1983,1.6167209793138682e-07
1984,1.7802955554202526e-07
1985,1.7144340347385878e-07
1986,1.510610339039431e-07
1987,1.429931160146225e-07
1988,1.7629868054314102e-07
1989,1.7232703442005004e-07
1990,1.6400438695995945e-07
1991,1.570872640854759e-07
1992,1.3719760616481835e-07
1993,1.5675957598659807e-07
1994,1.5824779708850656e-07
1995,1.5779331974385968e-07
1996,1.8683321911794337e-07
1997,1.663828435027881e-07
1998,1.8404978874286826e-07
1999,1.5721492374609625e-07
2000,2.1427452523425927e-07
2001,1.7349598735449945e-07
2002,1.892687748750177e-07
2003,1.8751153518792307e-07
2004,2.0217991902882204e-07
2005,2.12126604282048e-07
2006,2.0136481992949484e-07
2007,2.2209306393961015e-07
2008,2.030798746943674e-07
2009,2.3697916873288705e-07
2010,2.4752675642503164e-07
2011,2.7838515137545983e-07
2012,2.726806371811108e-07
2013,2.850485785188539e-07
2014,2.977487199018469e-07
2015,2.797318146008365e-07
2016,3.038655833620396e-07
2017,3.3206069360858237e-07
2018,3.5753313198938486e-07
2019,3.3775078378539547e-07
