year,voudrais_VERB aller_VERB
1869,7.715960492760132e-08
1870,4.816600807089344e-08
1871,4.779529660936532e-08
1872,7.377754229764832e-08
1873,4.908523720814628e-08
1874,3.4652732239237594e-08
1875,5.607096653648114e-08
1876,6.650616057868319e-08
1877,5.6281827198745304e-08
1878,5.1332254003000344e-08
1879,6.903537297375806e-08
1880,8.599914025353428e-08
1881,8.645909588267386e-08
1882,7.254369904785563e-08
1883,7.077659347487497e-08
1884,6.997798607244476e-08
1885,4.254119545521462e-08
1886,6.517998230037847e-08
1887,6.659502815864471e-08
1888,6.086990111953128e-08
1889,3.821733329800736e-08
1890,4.915789730830511e-08
1891,5.609313546983685e-08
1892,4.764069316820496e-08
1893,5.480990594719515e-08
1894,5.419323656496999e-08
1895,6.801034402315054e-08
1896,6.663642437843009e-08
1897,3.379494017963225e-08
1898,5.771521927044887e-08
1899,5.251199297617859e-08
1900,6.748368974740515e-08
1901,5.309301798206434e-08
1902,3.780918689244572e-08
1903,5.4542223182352245e-08
1904,3.815983973254333e-08
1905,3.509316215399849e-08
1906,3.9095802151223324e-08
1907,4.371417006154843e-08
1908,7.12151404513861e-08
1909,8.141455509758089e-08
1910,6.733630186772643e-08
1911,6.224837534318794e-08
1912,5.261515312326992e-08
1913,8.37872349279678e-08
1914,5.6252648761301316e-08
1915,5.301343009023185e-08
1916,1.2855331021910388e-07
1917,7.23783983858084e-08
1918,6.202643021424592e-08
1919,7.274200441997891e-08
1920,5.7548959375708364e-08
1921,7.724202077952214e-08
1922,5.6072309462251724e-08
1923,6.263409346729532e-08
1924,1.1473545669105079e-07
1925,9.788378463326808e-08
1926,4.346993875969929e-08
1927,8.250426475342465e-08
1928,6.398582996780533e-08
1929,9.580749349424877e-08
1930,8.087774716614149e-08
1931,5.930785462737731e-08
1932,7.233294496700182e-08
1933,7.914756849913829e-08
1934,7.06913212411564e-08
1935,1.029272453934027e-07
1936,7.1535815493462e-08
1937,7.302848814561003e-08
1938,8.038433207957496e-08
1939,7.188203454688846e-08
1940,6.593035806190528e-08
1941,9.444808313219255e-08
1942,6.978687139280737e-08
1943,6.967764676346633e-08
1944,6.7476911169706e-08
1945,7.406913482554955e-08
1946,9.605562212300356e-08
1947,1.3828210398969532e-07
1948,9.34982367084558e-08
1949,6.675565344949064e-08
1950,1.0103593695021118e-07
1951,8.848963517493758e-08
1952,8.014050933979888e-08
1953,7.218464048719397e-08
1954,1.0261162941560542e-07
1955,6.945349895204345e-08
1956,8.023449993288523e-08
1957,7.951533831374036e-08
1958,1.0505749514777563e-07
1959,7.983270222666761e-08
1960,8.927874972641803e-08
1961,1.0074830925077549e-07
1962,8.751899827075249e-08
1963,9.893061303500872e-08
1964,8.030838216654956e-08
1965,7.989183359313756e-08
1966,7.588532469071652e-08
1967,8.282963648298391e-08
1968,9.476887186110616e-08
1969,6.67638389018066e-08
1970,6.576176758699148e-08
1971,8.992195432711014e-08
1972,5.4379555081141007e-08
1973,8.380069971281046e-08
1974,6.019361364906217e-08
1975,8.452990840623897e-08
1976,7.770396592832185e-08
1977,9.285315627494128e-08
1978,8.49504573352533e-08
1979,8.602400924928588e-08
1980,6.48107203460313e-08
1981,7.464148410463167e-08
1982,8.13182765568854e-08
1983,8.083604541297973e-08
1984,9.858314342636731e-08
1985,7.098358167922925e-08
1986,7.433161641756669e-08
1987,7.699629378521422e-08
1988,9.774382903060541e-08
1989,7.848014860201147e-08
1990,7.355679088050238e-08
1991,8.030207254705601e-08
1992,9.146507551349714e-08
1993,9.472044837366411e-08
1994,9.283871094112328e-08
1995,8.947043994567139e-08
1996,8.327423728360372e-08
1997,8.534912154800622e-08
1998,8.201182311040611e-08
1999,8.134958306982298e-08
2000,1.0117292248423837e-07
2001,8.017617858513404e-08
2002,8.762442860188457e-08
2003,6.958761389341817e-08
2004,7.620288755560978e-08
2005,9.683061819032446e-08
2006,8.976999765764049e-08
2007,8.308517607247268e-08
2008,1.1197066385193466e-07
2009,1.416153168065648e-07
2010,1.445480677375599e-07
2011,1.330742236405058e-07
2012,1.7055306500424194e-07
2013,1.9468092204988352e-07
2014,2.100481850675351e-07
2015,2.068064901550315e-07
2016,2.2018345191554545e-07
2017,2.1407852557331353e-07
2018,2.393019542523689e-07
2019,2.3086438716291013e-07
