year,devrais_VERB avoir_VERB
1995,6.669614549537073e-08
1996,5.658377588702024e-08
1997,6.664903651198983e-08
1998,7.676688085211936e-08
1999,7.723640038648227e-08
2000,8.394259509714175e-08
2001,9.551041557642748e-08
2002,9.288189772860278e-08
2003,9.667261480217348e-08
2004,9.690540991869057e-08
2005,7.701412130245444e-08
2006,1.0706514075309315e-07
2007,1.4699683958951937e-07
2008,1.6944609626534657e-07
2009,1.8309859228793357e-07
2010,2.720904888064979e-07
2011,2.982698106279713e-07
2012,3.93872028325859e-07
2013,4.351035158833838e-07
2014,4.3785300363197166e-07
2015,4.5284636485121155e-07
2016,4.884219606537954e-07
2017,5.227440169619513e-07
2018,5.898651238567254e-07
2019,5.410644803305331e-07
