year,est_VERB gâtée_ADJ
1888,1.1413106904001324e-08
1889,1.8168895721260014e-08
1890,1.7696843102044113e-08
1891,1.211101796627645e-08
1892,1.6924984080901595e-08
1893,1.2932674486876294e-08
1894,1.5753848003896564e-08
1895,8.426059849853118e-09
1896,1.8280790214930676e-08
1897,1.0488084178916779e-08
1898,1.4711722506888236e-08
1899,1.6029977345510815e-08
1900,1.557315876254961e-08
1901,1.397184767881754e-08
1902,5.4013122863239005e-09
1903,1.674068350610014e-08
1904,1.7198800605910947e-08
1905,1.1353670004154992e-08
1906,1.4918134283448126e-08
1907,1.3885677496716653e-08
1908,1.5716445034286153e-08
1909,1.5402754627302784e-08
1910,3.20649036211762e-08
1911,1.0640748726586935e-08
1912,1.5628263128064646e-08
1913,9.545381374209683e-09
1914,3.147469485043075e-08
1915,1.1780762143587253e-08
1916,2.197492410260793e-09
1917,1.0966424213165737e-08
1918,2.067547733020092e-08
1919,2.9465114792515124e-08
1920,7.572231730534895e-09
1921,1.6660044011018726e-08
1922,1.8444838545406128e-08
1923,1.9108707505210987e-08
1924,1.4180787211159895e-08
1925,9.898360353588487e-09
1926,8.916910765321973e-09
1927,2.0068604555945058e-08
1928,2.0566874425753667e-08
1929,1.2254447234738564e-08
1930,1.470504518152893e-08
1931,1.1405356659111021e-08
1932,6.575722188983946e-09
1933,1.7205993074753678e-08
1934,8.38710612072191e-09
1935,1.6755597798123745e-08
1936,1.6974599503782883e-08
1937,1.510934133364117e-08
1938,9.075650453382877e-09
1939,7.647025235257843e-09
1940,1.0143131667916805e-08
1941,1.4757512545315876e-08
1942,6.068423541449874e-09
1943,8.709705845433291e-09
1944,9.639558484764166e-09
1945,1.5249527862692958e-08
1946,6.960552134671616e-09
1947,1.7881307101674793e-08
1948,4.348755133776194e-09
1949,8.835307596655184e-09
1950,1.701657836861159e-08
1951,8.529121409139861e-09
1952,1.370824520563474e-08
1953,1.723812381726475e-08
1954,2.052232517257835e-08
1955,1.1262729415761896e-08
1956,1.9186511934776718e-08
1957,1.1485549400447326e-08
1958,9.926692356998501e-09
1959,1.3176271629333769e-08
1960,8.997083078554624e-09
1961,1.667558180429296e-08
1962,8.244543714397423e-09
1963,6.466053470433053e-09
1964,7.909158661334459e-09
1965,7.1136563306595235e-09
1966,1.273987226824147e-08
1967,1.627010703941778e-08
1968,1.0330256650092906e-08
1969,1.090021850558287e-08
1970,9.657322941336588e-09
1971,1.1304474689666222e-08
1972,1.2825367434743384e-08
1973,8.821126051827832e-09
1974,6.1881286761433785e-09
1975,9.709516746170266e-09
1976,5.713526984862938e-09
1977,5.876781727920388e-09
1978,1.2475242172627077e-08
1979,9.363157360553487e-09
1980,7.390696055153967e-09
1981,4.427884725544118e-09
1982,1.1794254461960918e-08
1983,8.209910973278056e-09
1984,8.69851302098823e-09
1985,1.142956040922627e-08
1986,4.196139880008332e-09
1987,7.944062296871834e-09
1988,5.99655392008458e-09
1989,6.036934507847036e-09
1990,3.2691906959314565e-09
1991,9.37834432335194e-09
1992,1.1019888113139586e-08
1993,1.3294098266669607e-08
1994,9.494868002946077e-09
1995,1.0844901865425527e-08
1996,1.1743802375008272e-08
1997,3.3564262480467733e-09
1998,1.144351013948608e-08
1999,6.8553016596695215e-09
2000,4.418031274155965e-09
2001,5.695575122643959e-09
2002,1.7086764003693133e-08
2003,9.167230530238157e-09
2004,6.166707589017051e-09
2005,1.306087415997581e-08
2006,9.059357708451898e-09
2007,7.988958827809256e-09
2008,1.2346575317678798e-08
2009,1.3350939020995156e-08
2010,9.919965293647692e-09
2011,1.0707121411712706e-08
2012,1.2255309655984092e-08
2013,1.2829975304384789e-08
2014,1.5591204771681078e-08
2015,1.4851055496478693e-08
2016,1.6570719907349485e-08
2017,1.1823373391450787e-08
2018,1.4714360396794746e-08
2019,1.403043281555938e-08
