year,tout_DET an_NOUN
1969,3.179230539940292e-08
1970,2.3913370506001286e-08
1971,3.5454943092538826e-08
1972,3.385896840679692e-08
1973,2.3155456718715328e-08
1974,2.5315072926801463e-08
1975,2.341706872854843e-08
1976,3.713792601223176e-08
1977,2.9971587101051966e-08
1978,2.5544542925359792e-08
1979,2.5163484851375983e-08
1980,2.2172088387506506e-08
1981,2.150686922997025e-08
1982,1.6760255627801257e-08
1983,1.957747897129991e-08
1984,1.3337719650952096e-08
1985,1.02264483547998e-08
1986,1.7983456945813714e-08
1987,2.13878585952898e-08
1988,1.3792073927376691e-08
1989,1.0427432250992297e-08
1990,7.628111586832631e-09
1991,8.20605094986604e-09
1992,6.060938473329003e-09
1993,1.1632335650268999e-08
1994,1.8989735950381004e-08
1995,1.0844901865425527e-08
1996,1.0676184603042316e-08
1997,6.233362936924891e-09
1998,1.144350969539687e-08
1999,1.416762326900134e-08
2000,1.1045078296412214e-08
2001,7.448060113102173e-09
2002,7.448076710936391e-09
2003,5.833692029444393e-09
2004,1.1452457482352685e-08
2005,8.557124120400772e-09
2006,1.1118302611912156e-08
2007,1.0385646564969875e-08
2008,9.792111205220166e-09
2009,1.0966842323156811e-08
2010,4.2514138876015295e-09
2011,7.64794394481072e-09
2012,3.744677928851914e-09
2013,3.904775169871755e-09
2014,4.7639794331644225e-09
2015,6.649726325136385e-10
2016,4.349813981230355e-09
2017,1.0062445598979508e-09
2018,5.421080029321956e-09
2019,5.101975730781305e-09
