year,tout_ADV sans_ADP
1973,5.524230459741375e-07
1974,5.372421014726569e-07
1975,5.500155566551257e-07
1976,5.302152885633404e-07
1977,5.018771958020807e-07
1978,5.399997462518513e-07
1979,5.974864620839071e-07
1980,5.958037831987895e-07
1981,4.7631388611080183e-07
1982,5.835051979374839e-07
1983,4.427036515153304e-07
1984,5.120524519952596e-07
1985,5.558375733016874e-07
1986,5.317108389135683e-07
1987,5.096421205053048e-07
1988,5.660746751345869e-07
1989,5.735087711400411e-07
1990,5.443202439892048e-07
1991,5.679759738086432e-07
1992,5.14628766268288e-07
1993,5.234551281319e-07
1994,4.831832711715833e-07
1995,5.422450612968532e-07
1996,5.183287612453569e-07
1997,5.192870844439312e-07
1998,5.693146363228152e-07
1999,5.593926175606612e-07
2000,6.088047257435392e-07
2001,5.323172445059754e-07
2002,5.625488483929075e-07
2003,6.050372007848637e-07
2004,5.642537530547997e-07
2005,5.742280677623057e-07
2006,5.744456643697049e-07
2007,6.031664270267356e-07
2008,6.083881203267083e-07
2009,6.127127107902197e-07
2010,6.400739493983565e-07
2011,7.013164804448024e-07
2012,7.540419915130769e-07
2013,7.78444814386603e-07
2014,8.202706567317364e-07
2015,8.403037554671755e-07
2016,9.109753591474146e-07
2017,8.115362106764223e-07
2018,8.281345458271971e-07
2019,8.566216820327099e-07
