year,grand_ADJ cellier_NOUN
1911,1.1172785363555704e-08
1912,2.448428010337622e-08
1913,9.545381596254288e-09
1914,6.027069510139427e-09
1915,4.712304768617059e-09
1916,2.197492410260793e-09
1917,2.0836205649743533e-08
1918,0.0
1919,7.366278698128781e-09
1920,6.057785384427916e-09
1921,7.572747762196741e-09
1922,5.902348276798364e-09
1923,4.246379248229459e-09
1924,5.156649773851996e-09
1925,2.9695080838720855e-08
1926,1.3375366592072169e-08
1927,3.3447675740205796e-09
1928,2.2852082448565625e-09
1929,1.1140406375176326e-09
1930,8.402882833991043e-09
1931,4.5621426636444085e-09
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,9.585264137967897e-09
1935,2.393656828303392e-09
1936,2.424942913137329e-09
1937,3.777335444432595e-09
1938,1.815129979654273e-08
1939,1.3764645423464117e-08
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,0.0
1945,4.357008087652048e-09
1946,0.0
1947,3.5762612871081956e-09
1948,6.523132700664291e-09
1949,1.6688914028506474e-08
1950,5.317680518146517e-09
1951,2.1322803522849654e-09
1952,0.0
1953,4.3095309543161875e-09
1954,1.4658803948464083e-08
1955,1.6894093679553635e-08
1956,8.72114114258693e-09
1957,8.835037701437898e-10
1958,5.790570245522986e-09
1959,9.300897829689347e-09
1960,6.920833350854139e-10
1961,5.55852741612739e-09
1962,8.24454354786397e-09
1963,4.526237162849611e-09
1964,3.650380997477498e-09
1965,1.0944086747954884e-09
1966,3.3234448526542337e-09
1967,7.395503209828291e-09
1968,8.533690143419648e-09
1969,4.087581995104728e-09
1970,4.598724956395017e-09
1971,3.5968783507200897e-09
1972,5.130146862875051e-09
1973,4.961883515175458e-09
1974,9.00091468025721e-09
1975,3.998036124386317e-09
1976,3.9994687561772935e-09
1977,3.526069214387917e-09
1978,5.940591130126904e-09
1979,9.948355028654987e-09
1980,7.959211123509391e-09
1981,8.855769451088236e-09
1982,1.8001756973973215e-08
1983,1.1999100268944574e-08
1984,8.69851302098823e-09
1985,1.1429560520248572e-08
1986,5.994485352545098e-09
1987,2.749867533680117e-08
1988,5.99655392008458e-09
1989,6.036934285802431e-09
1990,7.628111586832631e-09
1991,4.103025585955322e-09
1992,5.5099441120809445e-09
1993,7.2009697094088665e-09
1994,5.802419433820205e-09
1995,8.675921314704738e-09
1996,2.6690460952494277e-09
1997,5.27438381858758e-09
1998,1.0966696883940585e-08
1999,6.398281460207045e-09
2000,3.092622158362701e-09
2001,4.8193330159929104e-09
2002,1.0076809608960957e-08
2003,4.583615265119079e-09
2004,6.166707589017051e-09
2005,8.55712400937847e-09
2006,6.58862386870851e-09
2007,4.7933754743212376e-09
2008,8.51487946817997e-09
2009,1.5735035052699686e-08
2010,1.8895172093635892e-09
2011,4.206369030868018e-09
2012,4.085103200157647e-09
2013,6.9728123275325515e-09
2014,8.661780626084692e-09
2015,3.324863190323768e-09
2016,4.9712160221648816e-09
2017,6.792150619716608e-09
2018,7.228106779777477e-09
2019,7.397864654201669e-09
