year,puissent_VERB ajouter_VERB
1895,5.416753268150387e-09
1896,6.486732040400511e-09
1897,5.2440420894583895e-09
1898,3.960848538042683e-09
1899,4.9748205555033564e-09
1900,5.19105292084987e-09
1901,4.470991132876634e-09
1902,7.365425602756659e-09
1903,6.480264325148255e-09
1904,4.837162670412454e-09
1905,7.2250627702885595e-09
1906,6.173021205313489e-09
1907,4.6285588695127444e-09
1908,2.9468334439286537e-09
1909,7.701377313651392e-09
1910,2.67207544979442e-09
1911,3.1922244847493175e-09
1912,3.646594803896619e-09
1913,4.242391771214216e-09
1914,1.2723813114234872e-08
1915,3.534228465440492e-09
1916,6.592477230782379e-09
1917,2.1932848870420685e-09
1918,6.89182577673364e-09
1919,1.1049418269237776e-08
1920,7.572231730534895e-09
1921,5.300923255902035e-09
1922,2.951174193910333e-09
1923,2.1231896241147297e-09
1924,0.0
1925,0.0
1926,4.458455382660986e-09
1927,0.0
1928,5.713020723163709e-09
1929,1.3368487650211591e-08
1930,1.1553964007759987e-08
1931,5.7026783295555106e-09
1932,2.1919073223131136e-09
1933,1.0323596200123575e-08
1934,0.0
1935,5.98414207075848e-09
1936,6.0623572828433225e-09
1937,1.0072894518486919e-08
1938,2.5930428915188486e-09
1939,3.058810094103137e-09
1940,7.607348528892999e-09
1941,2.9515025978810172e-09
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,0.0
1945,2.178504043826024e-09
1946,4.1763312808029696e-09
1947,2.3841741914054637e-09
1948,5.435944139264848e-09
1949,7.853606653895895e-09
1950,0.0
1951,1.0661401761424827e-09
1952,1.0544803918932644e-09
1953,5.386913581872932e-09
1954,2.9317608341017376e-09
1955,7.508486277174597e-09
1956,2.616342476002842e-09
1957,5.301022731885041e-09
1958,6.617794756635931e-09
1959,5.425523585955716e-09
1960,0.0
1961,3.47407969059077e-09
1962,1.2683912808952869e-09
1963,2.5864212993553792e-09
1964,2.4335873316516654e-09
1965,5.47204326295514e-09
1966,6.092982118843793e-09
1967,9.367637332502454e-09
1968,8.084548142051062e-09
1969,4.087581828571274e-09
1970,4.5987250119061684e-10
1971,1.0276794970565106e-09
1972,1.5390440033513642e-09
1973,6.615844760915479e-09
1974,5.06301445213353e-09
1975,1.1422960355389478e-09
1976,2.856763492431469e-09
1977,4.11374712072643e-09
1978,1.7821774056514528e-09
1979,5.266775904289034e-09
1980,6.822181042309694e-09
1981,4.427884725544118e-09
1982,1.8622506869903077e-09
1983,2.5261264191556165e-09
1984,2.3196033982486597e-09
1985,7.218669662023558e-09
1986,3.5966913891627428e-09
1987,2.4443267410134695e-09
1988,3.597932174415064e-09
1989,7.134558721588746e-09
1990,2.724325431913144e-09
1991,4.10302547493302e-09
1992,5.509944167592096e-10
1993,3.323524566667402e-09
1994,4.747434001473039e-09
1995,5.964695848348356e-09
1996,2.6690460952494277e-09
1997,2.876936688878118e-09
1998,4.291316191284977e-09
1999,2.285100553223174e-09
2000,3.5344251969604557e-09
2001,3.5049694258049158e-09
2002,5.257465574004527e-09
2003,4.166922806803086e-09
2004,5.285749615779878e-09
2005,2.251874686720612e-09
2006,5.353256948836815e-09
2007,5.192823504529542e-09
2008,3.405951742863067e-09
2009,6.198650481792356e-09
2010,3.3066551718974324e-09
2011,6.883149605840799e-09
2012,8.510632198976964e-09
2013,3.6258624991347688e-09
2014,3.031623174720721e-09
2015,7.979671146074452e-09
2016,7.45682449121432e-09
2017,4.528100561174142e-09
2018,3.614053500911041e-09
2019,3.3162841361900064e-09
