year,pourront_VERB aller_VERB
1875,1.0069887679264866e-07
1876,1.3724454106522899e-07
1877,1.298811298511282e-07
1878,1.4071076748223277e-07
1879,1.3684888244824833e-07
1880,1.6943114644618618e-07
1881,1.4711990559135302e-07
1882,1.5307385581309063e-07
1883,1.1438003610919623e-07
1884,1.3731529691085598e-07
1885,1.2697901752289908e-07
1886,1.5875521341968124e-07
1887,1.2535535631741368e-07
1888,1.4773631562547962e-07
1889,1.0462778021746999e-07
1890,1.2256703030288918e-07
1891,1.2111017611005082e-07
1892,1.629813226600163e-07
1893,8.560198949680853e-08
1894,1.1909909147789222e-07
1895,1.1977043357092043e-07
1896,1.161714706654493e-07
1897,1.35179760718529e-07
1898,1.3862970149602916e-07
1899,1.271342995323721e-07
1900,1.0745480238938399e-07
1901,1.2574662378028734e-07
1902,1.468174843921588e-07
1903,1.2150495365403913e-07
1904,1.2307891950058547e-07
1905,1.3882441862733685e-07
1906,1.1780182518350557e-07
1907,1.4039962081824342e-07
1908,1.2425815043570765e-07
1909,1.1056977200496476e-07
1910,9.61947108635286e-08
1911,1.292850981826632e-07
1912,1.458637939322216e-07
1913,1.1825667201037504e-07
1914,1.011208325962798e-07
1915,1.4136914217033336e-07
1916,2.065642803472656e-07
1917,1.32693742216361e-07
1918,1.1371512442792664e-07
1919,1.0773182879120213e-07
1920,8.935233353213334e-08
1921,7.19411019645122e-08
1922,8.705963949751094e-08
1923,1.1146745748646936e-07
1924,1.2375959101973422e-07
1925,9.788378463326808e-08
1926,8.916910587686289e-08
1927,1.226414667598874e-07
1928,1.1768822361091225e-07
1929,1.403691243240246e-07
1930,1.1028783575284251e-07
1931,9.694553426697894e-08
1932,9.096415709564099e-08
1933,8.602996359741155e-08
1934,1.0543790551764687e-07
1935,1.1250187270661627e-07
1936,8.123559069872499e-08
1937,9.443338910841703e-08
1938,8.68669403075728e-08
1939,8.870549095263414e-08
1940,1.2932493120842992e-07
1941,5.9030050181263505e-08
1942,8.192371581117186e-08
1943,9.580676163523094e-08
1944,7.069009200222354e-08
1945,6.317661416233022e-08
1946,6.542919095409161e-08
1947,5.9604353452868963e-08
1948,9.241104947932399e-08
1949,7.166416082782234e-08
1950,8.827350228557407e-08
1951,6.503454841322309e-08
1952,6.537778318715937e-08
1953,4.955960619668076e-08
1954,6.743049851820615e-08
1955,7.320774386698758e-08
1956,4.360570926564833e-08
1957,6.802979157782829e-08
1958,8.354965785883905e-08
1959,8.680837737529146e-08
1960,8.235791426614014e-08
1961,1.0352757584541905e-07
1962,7.166410398440348e-08
1963,7.694603709751391e-08
1964,7.544120705915702e-08
1965,7.496699083731073e-08
1966,7.810095326021838e-08
1967,9.3183345484249e-08
1968,8.12946296946393e-08
1969,1.6395745205954881e-07
1970,1.053108036330741e-07
1971,6.936836882687203e-08
1972,6.874396518696813e-08
1973,7.718485051100288e-08
1974,8.325846323486985e-08
1975,8.167416609694556e-08
1976,6.627691107041755e-08
1977,7.463513185257398e-08
1978,9.386134536271129e-08
1979,8.134242790447388e-08
1980,6.65162644963857e-08
1981,7.337637697446553e-08
1982,9.621628294098628e-08
1983,6.44162270191373e-08
1984,7.074790175920498e-08
1985,6.196025026383722e-08
1986,7.013547786982599e-08
1987,5.560843163721074e-08
1988,6.11648474091453e-08
1989,7.354083919608456e-08
1990,7.737084217751544e-08
1991,6.975143662657501e-08
1992,8.871010237498922e-08
1993,8.087242520105065e-08
1994,6.171664068688187e-08
1995,6.56116583286348e-08
1996,6.779377059729086e-08
1997,6.041567246484192e-08
1998,7.29523748077554e-08
1999,5.621347298756518e-08
2000,6.008522746014933e-08
2001,4.2935877075933604e-08
2002,7.842386651191191e-08
2003,6.583738354493107e-08
2004,5.90242024145482e-08
2005,6.575474742476217e-08
2006,6.547445252635953e-08
2007,6.870504876133054e-08
2008,6.088139059556852e-08
2009,8.2489727049051e-08
2010,7.463592766043803e-08
2011,9.827608238310859e-08
2012,8.81701467392304e-08
2013,7.781658695193983e-08
2014,8.163728182353225e-08
2015,8.954964414442657e-08
2016,8.347500113359274e-08
2017,7.848707639368513e-08
2018,7.537882851238464e-08
2019,8.775398185889571e-08
