year,fallait_VERB endormir_VERB
2002,8.76244299341522e-10
2003,8.333845835650777e-10
2004,8.809582507929292e-10
2005,1.8014998381943315e-09
2006,2.8825228870488218e-09
2007,1.1983438685803094e-09
2008,3.8316958494988285e-09
2009,4.291373478793048e-09
2010,1.8895172093635892e-09
2011,4.206369030868018e-09
2012,3.063827413996023e-09
2013,3.3469500504423877e-09
2014,6.9294245896855955e-09
2015,5.098123256885856e-09
2016,4.349814286541687e-09
2017,2.5156112748447867e-09
2018,4.64663996169179e-09
2019,5.101975730781305e-09
