year,pourrait_VERB apporter_VERB,pourrait_VERB rapporter_VERB
1837,1.4472412601662654e-07,1.5307360001770576e-07
1838,1.8305269122720347e-07,8.39517539930057e-08
1839,1.5241415951550152e-07,1.132618976384947e-07
1840,1.2611982924681797e-07,1.3822224786963488e-07
1841,1.5088289728737436e-07,1.2969508134119678e-07
1842,1.5026513722204982e-07,1.4758182942387066e-07
1843,1.4590069952191698e-07,1.1400338451039715e-07
1844,1.5532629049630486e-07,1.0153838303494922e-07
1845,1.7466113888531254e-07,9.095771247302764e-08
1846,1.6626783860829164e-07,1.200172761173235e-07
1847,1.720438405072855e-07,9.923531507638472e-08
1848,1.641225253479206e-07,1.2550546557577036e-07
1849,1.667503539692916e-07,1.0474268918869711e-07
1850,2.0774328390871233e-07,1.1541293076788861e-07
1851,1.3027866430093127e-07,1.064157402197452e-07
1852,1.5690415011704317e-07,8.333498158208386e-08
1853,1.6422812620930927e-07,1.0749477041827049e-07
1854,1.6054603690918157e-07,1.0027632413311949e-07
1855,1.4806354897700658e-07,1.0932290450682558e-07
1856,1.496207744366984e-07,7.351608388717068e-08
1857,1.0495244850972085e-07,1.1325101212378286e-07
1858,1.2087379275271815e-07,1.1793758858402725e-07
1859,1.28831985080069e-07,8.402086137948572e-08
1860,1.4006182880166307e-07,1.2449940811620763e-07
1861,1.5138243725232314e-07,7.828499803963496e-08
1862,1.2876260768734937e-07,8.177555343991116e-08
1863,1.433456162658331e-07,9.839403247724476e-08
1864,1.3185501757106977e-07,7.431828663584383e-08
1865,1.7556529030571255e-07,1.1390563514623864e-07
1866,1.5083399773629935e-07,1.0120474769337306e-07
1867,1.1937916610804677e-07,8.540948215340904e-08
1868,1.9067914536208264e-07,6.026646559575966e-08
1869,1.9289900876628963e-07,5.4695412643468444e-08
1870,1.4793846503380337e-07,8.199689460752779e-08
1871,1.5719342627562582e-07,7.009977309735405e-08
1872,1.6448763062726357e-07,1.0280476914203973e-07
1873,1.5982631396127545e-07,9.158586777857636e-08
1874,1.5474238068691193e-07,8.782675564589226e-08
1875,1.6020275950268115e-07,5.435450844970546e-08
1876,1.0943286810061181e-07,8.04119935082781e-08
1877,1.2493327972151747e-07,6.617753456339415e-08
1878,1.0447623566278708e-07,6.401433694236403e-08
1879,1.5028939515104867e-07,1.0446946419051528e-07
1880,1.3734191384173755e-07,8.599914025353428e-08
1881,1.4154190353110607e-07,8.436734333372442e-08
1882,1.4708400897234242e-07,9.983077831066112e-08
1883,1.4281705773555586e-07,6.508918914960304e-08
1884,1.3533478693261713e-07,5.809493330843907e-08
1885,1.1795513188417317e-07,8.572695264774666e-08
1886,1.400401714590771e-07,8.131364381824824e-08
1887,1.5212394544050767e-07,9.205783868537765e-08
1888,1.32518849227381e-07,7.545331470737437e-08
1889,1.4848373552922567e-07,6.077182490571431e-08
1890,1.3370947726798477e-07,5.177965434199905e-08
1891,1.3003409549128264e-07,6.501704774564132e-08
1892,1.736377868155614e-07,5.8924015888806025e-08
1893,1.5457625579529122e-07,8.560198949680853e-08
1894,1.5501787231642083e-07,7.813908808884662e-08
1895,1.3541882992740284e-07,7.04177907095982e-08
1896,1.5568156186418491e-07,7.548197089590758e-08
1897,1.4566784045655368e-07,6.75898803592645e-08
1898,1.3862970149602916e-07,4.356933303029109e-08
1899,1.5698321931267856e-07,7.020024384019052e-08
1900,1.640372744304841e-07,3.9971109089265155e-08
1901,1.771630167013427e-07,7.097698073721403e-08
1902,1.851176989475789e-07,5.5977235291493344e-08
1903,1.776672462483475e-07,5.184211460118604e-08
1904,1.924115764495582e-07,5.374625189347171e-08
1905,2.2552517009444273e-07,6.760594573052003e-08
1906,1.6307065209275606e-07,5.041300710217911e-08
1907,1.8205665242021496e-07,5.914269962659091e-08
1908,2.0824289492793469e-07,5.206072373198367e-08
1909,1.8428295334160794e-07,6.986249445617432e-08
1910,2.0040565118506493e-07,4.4890864359103944e-08
1911,2.2398775456622388e-07,4.415910481725405e-08
1912,2.2608888627928536e-07,6.303399402440846e-08
1913,1.893167365096815e-07,6.999946577934679e-08
1914,1.6139152592131722e-07,5.6252648761301316e-08
1915,1.814237293729093e-07,2.0027295377644805e-08
1916,2.472178834977967e-07,4.614734194774428e-08
1917,1.754627874106518e-07,7.347504293875318e-08
1918,2.6533530217420775e-07,4.135095466040184e-08
1919,2.1914678427492618e-07,2.5781975665495338e-08
1920,1.915774561211947e-07,3.63467123065675e-08
1921,1.885614153707138e-07,4.695103328344885e-08
1922,1.999420504716909e-07,4.352981974875547e-08
1923,1.995798299958551e-07,5.307974149104666e-08
1924,2.1013347861753573e-07,4.769901096324247e-08
1925,2.0016683777157596e-07,5.609070896639423e-08
1926,2.2403737887088937e-07,4.56991671171636e-08
1927,1.6166376326509635e-07,5.686104742608222e-08
1928,1.8738707296961366e-07,7.426926629250374e-08
1929,2.261502487499456e-07,5.124586976990031e-08
1930,2.300289168033487e-07,6.302162347537887e-08
1931,2.8399338702911336e-07,5.2464642408267537e-08
1932,2.860438996776793e-07,5.2605777511871565e-08
1933,2.9709013915635296e-07,3.555905436769535e-08
1934,2.44424228412754e-07,5.032263672433146e-08
1935,2.4894029593269806e-07,3.7101681726881e-08
1936,3.0069293188716983e-07,5.33487423126644e-08
1937,3.009277236287744e-07,2.895957251780601e-08
1938,2.6319384005546453e-07,3.5006078036303734e-08
1939,2.2635194341091847e-07,6.117620188206274e-08
1940,1.8257637179885933e-07,3.803674530900025e-08
1941,2.3316870567668957e-07,3.5418032950929046e-08
1942,2.306000936869168e-07,3.034211815133858e-08
1943,2.29355578085233e-07,5.2258233296242906e-08
1944,1.767252371109862e-07,7.711646787811333e-08
1945,3.137045894163748e-07,5.010559434026618e-08
1946,2.4083510652417317e-07,3.3410650246423756e-08
1947,2.992138661284116e-07,6.198852986472048e-08
1948,2.9245379096209945e-07,4.783630558335972e-08
1949,2.9647364385709807e-07,4.810334175431308e-08
1950,3.2756912560216733e-07,3.722376362702562e-08
1951,3.518262587931531e-07,3.838104589704017e-08
1952,3.226710134640598e-07,4.956057964022875e-08
1953,3.102862251580518e-07,5.925604895651304e-08
1954,3.90901448099612e-07,4.9839933069506515e-08
1955,3.097250669270579e-07,3.566530892840092e-08
1956,3.314033847345854e-07,6.192010459926678e-08
1957,3.37498448743645e-07,3.8874166108371355e-08
1958,3.2261749538520235e-07,3.8052320405768114e-08
1959,3.1778066045262676e-07,4.340418868764573e-08
1960,3.841062437004439e-07,4.3601250609981435e-08
1961,3.9535026985504373e-07,3.890969324515936e-08
1962,3.7227283655738574e-07,4.122271590745186e-08
1963,3.983088845416205e-07,2.9743844720542256e-08
1964,3.887655850576266e-07,4.380457241381919e-08
1965,3.5568282896747405e-07,3.3926667697414814e-08
1966,3.6945627357454214e-07,4.9297764093125807e-08
1967,3.638587600107712e-07,3.845661922241561e-08
1968,3.5706756307263277e-07,4.087188543167031e-08
1969,4.096665406905231e-07,4.541757903098187e-08
1970,3.761757056963688e-07,4.460763136648893e-08
1971,4.172378851308167e-07,3.44272628183262e-08
1972,4.0476859908267215e-07,4.360624927812751e-08
1973,3.500884417917405e-07,4.851619195278545e-08
1974,4.601717762398039e-07,3.937900316941523e-08
1975,4.2379181763863016e-07,3.5982324675387645e-08
1976,4.0566041548117937e-07,4.056603941648973e-08
1977,4.2841739400500956e-07,3.6436048844734614e-08
1978,4.0811863755152444e-07,3.5643548557118265e-08
1979,4.119789309697808e-07,3.6867433550469286e-08
1980,3.956864986776054e-07,4.8892296433677984e-08
1981,4.434210154613538e-07,3.7320742052315836e-08
1982,4.0907440279625007e-07,3.289976291398489e-08
1983,4.2502077235440083e-07,3.915495838668903e-08
1984,3.7287625787030265e-07,5.335087749358536e-08
1985,3.603319385092618e-07,3.0679345286444004e-08
1986,3.9503657944806037e-07,4.91547815784088e-08
1987,3.3487276596133597e-07,4.21646362269712e-08
1988,4.431453248798789e-07,4.4374498742172364e-08
1989,3.709970712861832e-07,4.774666351181622e-08
1990,3.9938612417245167e-07,4.35892069106103e-08
1991,3.727891737526079e-07,5.0994746203514296e-08
1992,4.2040875314341974e-07,5.234446831536843e-08
1993,4.220875950977643e-07,4.4313658520422905e-08
1994,3.871796252497006e-07,5.063929364723663e-08
1995,3.55170527654991e-07,5.747797970911961e-08
1996,3.42705504863261e-07,4.750901894112758e-08
1997,4.090044853910513e-07,5.5620777317244574e-08
1998,3.7668220898012805e-07,3.6237782552461795e-08
1999,3.450501822044316e-07,5.895559596069688e-08
2000,3.256089087244618e-07,4.5063920595111995e-08
2001,3.667074395252712e-07,5.9584479572549753e-08
2002,3.395446697140869e-07,6.790893536390286e-08
2003,3.425210763907671e-07,4.958638299967788e-08
2004,3.488594586542604e-07,4.360743233178255e-08
2005,3.2111734071804676e-07,3.648037250059133e-08
2006,3.174893095092557e-07,5.3120778886750486e-08
2007,3.167622253386071e-07,4.2740929018236784e-08
2008,3.15050527888161e-07,4.38516281064949e-08
2009,2.9038292836958135e-07,5.48342136141855e-08
2010,2.94292306080024e-07,5.432362115698197e-08
2011,2.70354831855002e-07,5.621238940989315e-08
2012,2.638295768520038e-07,4.1872308287338456e-08
2013,2.432117014450341e-07,4.713621493124265e-08
2014,2.3386807868064352e-07,4.352544991093055e-08
2015,2.2010593170307402e-07,4.366653527654307e-08
2016,2.089982160669024e-07,5.116210033406787e-08
2017,2.4099557549561723e-07,4.17591472512413e-08
2018,2.1839208841356594e-07,4.698269506775432e-08
2019,2.1198708566316782e-07,4.234639661149231e-08
