year,veut_VERB aller_VERB
2009,6.828051937191049e-07
2010,6.424358502954419e-07
2011,7.055228365970834e-07
2012,6.849356282145891e-07
2013,7.287983976311807e-07
2014,7.763121061543643e-07
2015,7.006594842096092e-07
2016,7.483751574000053e-07
2017,7.209741852420848e-07
2018,7.323620820898213e-07
2019,7.47694514302566e-07
