year,eut_VERB ajouté_VERB
1902,2.6515533602111674e-08
1903,3.2401320737562855e-08
1904,3.278521276683932e-08
1905,2.631987072732045e-08
1906,1.697580892523476e-08
1907,1.3885677496716653e-08
1908,2.553922229253658e-08
1909,3.245580160182726e-08
1910,2.0307773240801907e-08
1911,1.4365010514438836e-08
1912,9.376957876838787e-09
1913,2.4393752795504042e-08
1914,8.705766774141921e-09
1915,1.4136913861761968e-08
1916,2.6369908923129515e-08
1917,1.7546279096336548e-08
1918,2.067547733020092e-08
1919,2.1178051312631396e-08
1920,2.7260034229925623e-08
1921,2.877644078580488e-08
1922,1.623145884366295e-08
1923,1.8047112249064412e-08
1924,2.5783249313349188e-08
1925,1.979671959695395e-08
1926,3.1209186346359274e-08
1927,2.3413372574054847e-08
1928,2.5137291359556002e-08
1929,6.684243825105796e-09
1930,1.575540586884472e-08
1931,1.8248570654577634e-08
1932,2.301502632917618e-08
1933,1.9500125958415992e-08
1934,1.7972370258689807e-08
1935,1.9149254626427137e-08
1936,1.33371855781661e-08
1937,1.0072894518486919e-08
1938,1.8151300906765755e-08
1939,3.364691281149135e-08
1940,2.5357829613881222e-08
1941,1.7709016475464523e-08
1942,9.102635090130207e-09
1943,1.1612940831184915e-08
1944,2.2492303131116387e-08
1945,4.357008265287732e-08
1946,1.3921104269343232e-08
1947,7.152522574216391e-09
1948,8.697510267552389e-09
1949,1.9634017078828947e-08
1950,1.0635361036293034e-08
1951,9.595261474260042e-09
1952,1.0544804140977249e-08
1953,5.386913581872932e-09
1954,1.172704378049616e-08
1955,1.220129064449793e-08
1956,1.3081712602058815e-08
1957,7.068030161150318e-09
1958,1.9026160202884057e-08
1959,1.705164542897819e-08
1960,1.3841666479663672e-08
1961,1.250668635321972e-08
1962,1.2049716779927166e-08
1963,1.4225317590543796e-08
1964,1.1559539991878864e-08
1965,7.660860390501512e-09
1966,2.2710207381315684e-08
1967,1.5284040699725665e-08
1968,1.392338955241712e-08
1969,1.6804503094602907e-08
1970,7.3579600190498695e-09
1971,1.3873672877195986e-08
1972,1.898154344814884e-08
1973,4.410563025913916e-09
1974,5.625571564138454e-09
1975,1.1994108817248161e-08
1976,4.570821499072508e-09
1977,2.938390863960194e-09
1978,1.0693064211864112e-08
1979,6.437170796402825e-09
1980,5.6851505725319385e-09
1981,2.5302198114474095e-09
1982,9.932003663948308e-09
1983,8.209910973278056e-09
1984,5.219107812592938e-09
1985,6.015557829641693e-09
1986,1.558566253834215e-08
1987,7.332980445085013e-09
1988,9.594486094499644e-09
1989,6.585746614717891e-09
1990,5.448650863826288e-09
1991,7.033758464558559e-09
1992,9.91789939064347e-09
1993,8.308811416668505e-09
1994,4.747434001473039e-09
1995,7.591431483433553e-09
1996,7.473328622609188e-09
1997,5.753873488778538e-09
1998,6.675381136744818e-09
1999,5.484241505371301e-09
2000,6.185244316725402e-09
2001,3.5049694258049158e-09
2002,7.448076377869484e-09
2003,5.833692029444393e-09
2004,2.2023955992267474e-09
2005,5.854874363109275e-09
2006,5.353256948836815e-09
2007,6.7906151812735516e-09
2008,4.257439734089985e-09
2009,5.245011536203492e-09
2010,7.558068837454357e-09
2011,6.5007523253335364e-09
2012,1.0893608293205403e-08
2013,1.812931238465154e-08
2014,1.8189739492413537e-08
2015,1.7067631044587195e-08
2016,1.6363586319290135e-08
2017,7.798394818792076e-09
2018,1.9619147195726327e-08
2019,1.403043281555938e-08
