year,devait_VERB approcher_VERB,devait_VERB rapprocher_VERB
1845,1.4508592549589139e-08,2.287893430263921e-08
1846,4.6836010625384006e-09,1.9319854160926297e-08
1847,8.089835468183537e-09,1.4561703842730367e-08
1848,1.126331028444838e-08,3.137636639394259e-08
1849,8.379414495607307e-09,2.011059585527164e-08
1850,2.7155984128057753e-09,6.1100964288129944e-09
1851,1.2253933867611977e-08,1.0319102017319892e-08
1852,8.463708844885787e-09,1.6276363368206148e-08
1853,1.6721408258035808e-08,2.388772735173461e-08
1854,9.871762074453727e-09,4.1565315633818045e-09
1855,1.9104973603134567e-08,1.1144567935161831e-08
1856,4.659470143053568e-09,8.28350277259915e-09
1857,6.8341128311999455e-09,2.4407546206361985e-08
1858,2.0553439838977283e-08,2.104280660830682e-08
1859,1.0693564256314403e-08,9.675129142294736e-09
1860,1.0985241161165504e-08,4.2567808833382514e-08
1861,1.650587222457034e-08,1.0846716413936974e-08
1862,1.2198563048571032e-08,1.8975542914745347e-08
1863,2.5472566278494924e-08,1.1987090431375691e-08
1864,1.1507347075223606e-08,1.5343129433631475e-08
1865,1.3179164426446732e-08,1.5061901947888146e-08
1866,1.6056523222118813e-08,2.3841502994059738e-08
1867,1.358787216076962e-08,6.308654931785895e-09
1868,1.2349684830326169e-08,1.1361710683388537e-08
1869,8.30198221279943e-09,1.1720445947105418e-08
1870,1.1468097582678638e-08,8.027668307875047e-09
1871,3.611200227737754e-08,1.1683295220166201e-08
1872,1.269941218851045e-08,1.3304146229131675e-08
1873,1.855661402316855e-08,5.387403856360606e-09
1874,1.3144139998644278e-08,1.3741600746186577e-08
1875,5.721527251978387e-09,2.4030413214859436e-08
1876,7.255217759905008e-09,2.539326260375674e-08
1877,1.4225077116236662e-08,1.9791411176584006e-08
1878,1.268208649207736e-08,2.5968081018845623e-08
1879,1.3440515367335593e-08,1.8327975581655664e-08
1880,1.5402831010646878e-08,1.2193908105473383e-08
1881,2.091752193678076e-08,1.673401861523871e-08
1882,6.655385131892899e-09,5.989846840748214e-09
1883,5.0554711528150165e-09,2.0221884611260066e-08
1884,1.9144920315739e-08,1.386356363042296e-08
1885,1.0313017106966527e-08,9.66845359329227e-09
1886,1.4842966855610484e-08,2.710454793941608e-08
1887,1.8933882017790893e-08,1.2404957061562527e-08
1888,2.6630582183884144e-08,3.106901047544852e-08
1889,1.1903759755682586e-08,1.4409814674820609e-08
1890,1.1142456735058204e-08,5.243509182406569e-09
1891,1.6572972327821844e-08,3.824531802365527e-09
1892,5.641661360300532e-09,5.014809900671935e-09
1893,7.390100087434348e-09,9.23762488724833e-09
1894,5.041231432301174e-09,1.1972924873759894e-08
1895,1.3842813118003505e-08,1.9259566386153892e-08
1896,1.2973464080801023e-08,1.4152869098893461e-08
1897,7.574727511894253e-09,1.6897470089816125e-08
1898,1.2448380992680086e-08,2.998928039232851e-08
1899,1.326618814800895e-08,7.185851913504848e-09
1900,1.8168686111152965e-08,1.5054054003371675e-08
1901,2.794369402536745e-09,9.500856101851696e-09
1902,9.329538919189417e-09,1.3257766440233354e-08
1903,1.4580594509538969e-08,2.4841012802312434e-08
1904,1.5048950530172078e-08,2.741058935384899e-08
1905,2.0643035725242953e-08,1.0321517862621477e-08
1906,8.745113966313056e-09,9.773950537805831e-09
1907,1.131425531042396e-08,1.4399961223432456e-08
1908,6.875944702500192e-09,2.2592390180875555e-08
1909,8.801573692096554e-09,1.320236009405562e-08
1910,1.4429207162436342e-08,1.7101282168141552e-08
1911,1.276889793899727e-08,2.074945903984826e-08
1912,1.40654377034366e-08,1.0939784189645252e-08
1913,2.2802856491921375e-08,2.1742257771961704e-08
1914,1.0045115850232378e-08,1.7411533548283842e-08
1915,1.0602685840410686e-08,1.0602685840410686e-08
1916,1.4283700444650549e-08,3.076489463182952e-08
1917,1.315970976634162e-08,8.773139548168274e-09
1918,9.189101035644853e-09,5.743188147278033e-09
1919,2.025726608678724e-08,1.6574126959767455e-08
1920,1.3630017114962811e-08,1.0601124422748853e-08
1921,1.3630945261411398e-08,2.8019165654313838e-08
1922,3.024953443286904e-08,1.2542490601674672e-08
1923,2.1231896241147297e-09,7.431163684401554e-09
1924,1.804827398643738e-08,1.5469948877466777e-08
1925,1.5397448649423495e-08,5.499089184013428e-09
1926,1.89484357093761e-08,6.687683296036084e-09
1927,2.1183527820767267e-08,1.0034302277972529e-08
1928,2.2852082892654835e-08,1.9424270192303084e-08
1929,2.33948540540041e-08,4.4561625500705304e-09
1930,2.2057568216382606e-08,2.10072066408884e-08
1931,1.3686427990933225e-08,1.0264820993199919e-08
1932,1.8631212128639163e-08,1.2055489939655217e-08
1933,1.0323596200123575e-08,5.735331320977366e-09
1934,1.0783422155213884e-08,1.677421224144382e-08
1935,2.393656828303392e-08,1.555876849579363e-08
1936,9.699771652549316e-09,4.849885826274658e-09
1937,1.7627565185307503e-08,2.895957251780601e-08
1938,1.2965214679638848e-08,1.0372171566075394e-08
1939,1.988226472349197e-08,1.3764645423464117e-08
1940,2.028626333583361e-08,1.5214697057785997e-08
1941,1.1806010391524069e-08,5.9030051957620344e-09
1942,2.730790527039062e-08,0.0
1943,3.774205836748479e-08,2.0322646676618206e-08
1944,2.2492303131116387e-08,3.855823393905666e-08
1945,1.9606536838523425e-08,2.6142048525912287e-08
1946,2.227376683094917e-08,2.227376683094917e-08
1947,1.6689218895749036e-08,9.536696765621855e-09
1948,2.391815279167986e-08,1.0871888278529696e-08
1949,8.835307596655184e-09,1.1780409536754632e-08
1950,1.808011518278363e-08,5.317680518146517e-09
1951,3.0918066329377325e-08,8.529121409139861e-09
1952,2.5307528517259925e-08,8.435843135146115e-09
1953,3.3398865895151175e-08,1.1851209791302608e-08
1954,3.9090146231046674e-08,9.772536557761669e-09
1955,2.5341140741375057e-08,2.1586897602787758e-08
1956,2.0930739808022736e-08,8.72114114258693e-09
1957,1.5903067307476704e-08,2.738861759610245e-08
1958,2.8125628048769613e-08,7.445019267748876e-09
1959,1.1626121398933265e-08,7.750747599288843e-09
1960,2.353083417006019e-08,1.314958364417862e-08
1961,1.876002997391879e-08,1.250668635321972e-08
1962,1.9660065575521912e-08,3.805173953708163e-09
1963,2.7804029301137234e-08,8.405868889838075e-09
1964,2.6161064425878067e-08,9.734349326606662e-09
1965,2.0793764932136583e-08,1.0396882466068291e-08
1966,3.5450078428311826e-08,9.416426749453422e-09
1967,2.1200442290592036e-08,1.1339771788243524e-08
1968,2.0660513300185812e-08,1.3474247495537384e-08
1969,1.6350327314285096e-08,8.629339909305145e-09
1970,1.9314645882673176e-08,9.197449912790034e-09
1971,2.8775026805760717e-08,9.24911525146399e-09
1972,2.1033601527165047e-08,1.128632298730281e-08
1973,1.4334330167287135e-08,8.269805285010534e-09
1974,1.800182936051442e-08,1.2376257352286757e-08
1975,2.1132477101559743e-08,7.996072248772634e-09
1976,2.513951891103261e-08,1.1427053969725876e-08
1977,1.880570188461661e-08,6.464460078348111e-09
1978,2.5544542481270582e-08,1.0099005187669263e-08
1979,2.2822696621460636e-08,9.363157360553487e-09
1980,1.7055452161685025e-08,7.390696055153967e-09
1981,2.5302197670384885e-08,4.427884725544118e-09
1982,2.9796010991844923e-08,1.1173503899897241e-08
1983,1.894594880980094e-08,1.1999100379966876e-08
1984,3.131464509920079e-08,1.333771937339634e-08
1985,2.285912081845254e-08,9.624892882698077e-09
1986,2.1580147446798037e-08,7.792831269171074e-09
1987,2.5665430669619127e-08,1.0388388815840699e-08
1988,2.338656024392094e-08,5.99655392008458e-09
1989,1.5366742545097622e-08,8.780995486290522e-09
1990,2.669838927715773e-08,8.172976073694826e-09
1991,1.2895223555631219e-08,1.2309077312977479e-08
1992,2.0937788391961476e-08,1.3774860363469088e-08
1993,1.883330469354405e-08,1.0524494165053966e-08
1994,2.479215588380157e-08,1.2132331583813993e-08
1995,2.331653803366862e-08,1.0844901865425527e-08
1996,2.3487604750016544e-08,1.7615704450690828e-08
1997,1.7741109914481967e-08,9.110299181713799e-09
1998,1.7642078020685403e-08,1.144351013948608e-08
1999,2.1936966021485205e-08,1.1882523409667556e-08
2000,1.899753598877396e-08,9.277866475088103e-09
2001,2.2782300490575835e-08,1.3581756164171566e-08
2002,2.1906107150471144e-08,2.6287327870022636e-09
2003,1.8751153518792307e-08,1.5417615628621206e-08
2004,1.5416770082765652e-08,5.285749615779878e-09
2005,2.7472871977352042e-08,1.0358624180639708e-08
2006,2.2648395159308166e-08,8.64756888319107e-09
2007,3.7148659259855776e-08,8.38840730210677e-09
2008,3.9594187484226495e-08,7.2376473703172906e-09
2009,4.052963475942306e-08,6.198650481792356e-09
2010,6.424358645062966e-08,1.0392344762522043e-08
2011,6.615471193072153e-08,6.883149605840799e-09
2012,8.782971860910038e-08,6.468080293586809e-09
2013,7.865332918299828e-08,5.578249862026041e-09
2014,9.181487570231184e-08,8.228691505962615e-09
2015,7.78017934521813e-08,8.201329393386914e-09
2016,8.430353659605316e-08,8.906762438698479e-09
2017,8.52792254590895e-08,6.289028409156572e-09
2018,8.59628386251643e-08,6.711813327342497e-09
2019,6.581548461781495e-08,6.12237061048404e-09
