year,peuvent_VERB acheter_VERB,peuvent_VERB racheter_VERB
1837,1.6977253380900947e-07,2.2265250976261086e-08
1838,1.1361891694150472e-07,1.8936486156917454e-08
1839,1.3213887939400593e-07,2.7266752411492234e-08
1840,1.356743695168916e-07,2.8026629905752998e-08
1841,1.4959877603359928e-07,2.5040138851295524e-08
1842,8.117000760421433e-08,1.8112315203211438e-08
1843,1.789794055184757e-07,1.063243981747064e-08
1844,1.6904768074255117e-07,1.866110821424627e-08
1845,9.709596326956671e-08,2.0088821273134272e-08
1846,1.9027129383175634e-07,2.4588905134237393e-08
1847,1.9145943497278495e-07,3.128069891999985e-08
1848,2.864098860300146e-07,2.252662056889676e-08
1849,9.552532986845108e-08,2.262441967104678e-08
1850,1.2423862472132896e-07,7.467895635215882e-09
1851,9.996630012665264e-08,2.3862924081186065e-08
1852,1.686231314579345e-07,8.463708844885787e-09
1853,1.475067108458461e-07,2.269334054005867e-08
1854,8.572846610377383e-08,2.182179059673217e-08
1855,1.0189319255005103e-07,1.6451505047143655e-08
1856,1.6515234335656714e-07,2.8992259260007813e-08
1857,8.396195738669121e-08,2.636014961865385e-08
1858,1.0129909355782729e-07,2.104280660830682e-08
1859,1.1610155326025051e-07,2.2405561850291633e-08
1860,1.0252892224116295e-07,3.249800428761773e-08
1861,1.089387637875916e-07,2.8295781717702084e-08
1862,8.313094923551034e-08,1.490935552794781e-08
1863,8.390963301962984e-08,2.5472566278494924e-08
1864,7.240038968348017e-08,2.445311331200628e-08
1865,5.7894187222018445e-08,1.2237795665726026e-08
1866,7.882292862859686e-08,1.8002767276925624e-08
1867,6.890992665375961e-08,1.067618526917613e-08
1868,1.1608704397758629e-07,1.0867722721741302e-08
1869,8.155476649562843e-08,1.660396442559886e-08
1870,9.575861525945584e-08,2.0069171213776826e-08
1871,9.983906323896008e-08,2.1242353653860846e-08
1872,8.466275147611668e-08,1.5723081503438152e-08
1873,1.3348790162126534e-07,2.2746817762708815e-08
1874,8.603436896237326e-08,2.5690820137924675e-08
1875,7.724061390490533e-08,1.1443054503956773e-08
1876,7.799359025284502e-08,1.874264654588842e-08
1877,5.751878973114799e-08,1.9791411176584006e-08
1878,8.152769481739597e-08,1.3285995414946683e-08
1879,7.453376582589044e-08,1.710611030603104e-08
1880,1.078198152981713e-07,7.701415505323439e-09
1881,9.761510710859511e-08,2.3009274485730202e-08
1882,5.124646662579835e-08,1.1314154946262533e-08
1883,6.066565561013704e-08,1.7062214752172622e-08
1884,1.0166613151341153e-07,9.242375753615306e-09
1885,1.0635299219075023e-07,1.9981470700258797e-08
1886,6.517998230037847e-08,1.4842966855610484e-08
1887,1.2404956351019791e-07,9.793386546164129e-09
1888,9.067078821090035e-08,1.9655905347804037e-08
1889,1.2968833118520706e-07,2.255449160770695e-08
1890,1.0487018187177455e-07,2.3595791986963377e-08
1891,8.095259573792646e-08,1.7210394887001712e-08
1892,1.2286284345464082e-07,1.7551833764173352e-08
1893,1.3856437419690337e-07,1.3548516086814288e-08
1894,1.0586585830196782e-07,1.449354058991048e-08
1895,1.0352017199011243e-07,2.7083764564395096e-08
1896,7.371286159241208e-08,2.1229304536518612e-08
1897,1.1362091356659221e-07,3.3212266714599536e-08
1898,1.0015288154363589e-07,1.867257104493092e-08
1899,9.839089898378006e-08,1.6029977345510815e-08
1900,1.3237185214620695e-07,1.972600216504361e-08
1901,1.1289252910273717e-07,2.794369535763508e-08
1902,9.6732591714499e-08,1.7677022512430085e-08
1903,1.0962447305473688e-07,2.1600881083827517e-08
1904,9.835564185323165e-08,1.7198800605910947e-08
1905,1.2540644434011483e-07,1.2385822145688508e-08
1906,1.0545578277287859e-07,1.8519063615940468e-08
1907,1.3114249952650425e-07,1.6457098794830927e-08
1908,1.0608600575778837e-07,1.7189861978295085e-08
1909,1.1387035669940815e-07,6.0510818578052294e-09
1910,1.2024338502669707e-07,1.977335806202518e-08
1911,8.033764942183552e-08,1.1704822888702893e-08
1912,8.647639049286227e-08,8.856016364688912e-09
1913,9.8105310541996e-08,1.856046338843953e-08
1914,8.973636766995696e-08,2.276892807628883e-08
1915,1.1898569596269226e-07,8.246533234057551e-09
1916,1.219608236624481e-07,1.8678685265172135e-08
1917,1.710762234097274e-07,6.57985488317081e-09
1918,1.550660755356148e-07,1.033773866510046e-08
1919,9.392005040353979e-08,5.524709134618888e-09
1920,1.58259638283198e-07,7.572231730534895e-09
1921,1.355521845880503e-07,1.817459427400081e-08
1922,9.07486068513208e-08,1.770704471937279e-08
1923,1.2951456085374957e-07,1.9108707505210987e-08
1924,1.1473545669105079e-07,2.3204924204378585e-08
1925,1.3417776756341482e-07,1.3197813508725176e-08
1926,1.092321539886143e-07,2.8979959765251806e-08
1927,1.0926240179287561e-07,2.2298449309232637e-08
1928,9.483613894190057e-08,1.2568645679778001e-08
1929,8.800920880958074e-08,2.6736975300423182e-08
1930,1.1974107394507882e-07,1.2604324695075775e-08
1931,9.466445760608622e-08,2.737285598186645e-08
1932,1.3480230620643852e-07,8.767629289252454e-09
1933,9.75006315684368e-08,1.605892663292252e-08
1934,1.1142869738023364e-07,1.0783422155213884e-08
1935,8.856530087086867e-08,2.992070946561398e-08
1936,1.1518478970629076e-07,1.8187071404440758e-08
1937,1.271702956273657e-07,2.5182236740306507e-08
1938,1.2316954212110431e-07,3.8895642262559704e-08
1939,1.4682288451695058e-07,1.988226472349197e-08
1940,1.3946805665909778e-07,2.5357829613881222e-08
1941,2.1250818349471956e-07,5.9030051957620344e-09
1942,2.214974585967866e-07,2.730790527039062e-08
1943,2.2064587312797812e-07,1.7419411690866582e-08
1944,1.6387249957006134e-07,1.2852744646352221e-08
1945,1.7210182079452352e-07,5.2284097051824574e-08
1946,1.3503471052445093e-07,3.7586982415405146e-08
1947,1.2397705972944095e-07,2.3841742802233057e-08
1948,1.728630110164886e-07,1.9569398546082084e-08
1949,1.4234662160106382e-07,2.3560819073509265e-08
1950,1.3081493932531885e-07,1.3825969702452312e-08
1951,1.2900295587314758e-07,1.3859822622919182e-08
1952,1.0439355691005403e-07,2.319856839960721e-08
1953,1.1312518921613446e-07,1.723812381726475e-08
1954,1.4072452358959708e-07,8.795282724349818e-09
1955,1.4266123571360367e-07,1.3139850985055546e-08
1956,1.4477095078291313e-07,1.831439710997529e-08
1957,1.1308848257840509e-07,1.4136060322300636e-08
1958,1.4310981555354374e-07,2.4816730004317833e-08
1959,1.0463509880764832e-07,1.3176271629333769e-08
1960,1.0658083482439906e-07,7.612916519406099e-09
1961,1.0839128350426108e-07,7.64297514166401e-09
1962,1.28107515706688e-07,1.0147130247162295e-08
1963,1.2156179707289994e-07,1.2932106940866106e-08
1964,1.1437860791829735e-07,9.734349326606662e-09
1965,1.203849535613699e-07,2.8454625322638094e-08
1966,1.5010893150702032e-07,1.606331601067268e-08
1967,1.5579860246361932e-07,1.5284040699725665e-08
1968,1.0959054463910434e-07,6.737123747768692e-09
1969,1.7712855537865835e-07,1.4533624970169967e-08
1970,1.3750187122241186e-07,2.0694262303777577e-08
1971,1.073925091077399e-07,1.284599360218408e-08
1972,1.226105155183177e-07,1.3851396474251487e-08
1973,1.1577728287193167e-07,1.3231689521830958e-08
1974,1.423269679889927e-07,2.1377172032543967e-08
1975,1.4735618947270268e-07,2.056132863970106e-08
1976,1.4512357893181616e-07,1.428381679602353e-08
1977,1.4691954675072338e-07,7.639816779203557e-09
1978,1.5861378699355555e-07,1.0099005187669263e-08
1979,1.2991381481697317e-07,1.462993370893173e-08
1980,1.5122500940378814e-07,1.6486936260662333e-08
1981,1.4928296820926334e-07,8.855769451088236e-09
1982,1.5642905282220454e-07,1.6139505731871395e-08
1983,1.3262163633953605e-07,1.4525227243211702e-08
1984,1.4613500809446123e-07,9.858314165001048e-09
1985,1.3294383904849383e-07,7.820225356169885e-09
1986,1.4806379056153673e-07,1.1389522214244607e-08
1987,1.680474639442764e-07,9.777306964053878e-09
1988,1.5950833187616809e-07,1.199310784016916e-08
1989,1.794615940298172e-07,1.8110803523541108e-08
1990,1.2586383490997832e-07,9.262707045820662e-09
1991,1.3129681519785663e-07,9.96449056600568e-09
1992,1.4325854635899304e-07,1.1570882918476855e-08
1993,1.4678899162845482e-07,7.754890063438324e-09
1994,1.5191788804713724e-07,7.912389854425328e-09
1995,1.3610350890758127e-07,1.3556126887692699e-08
1996,1.4946658666303847e-07,8.007138063703678e-09
1997,1.294621512215599e-07,1.2466725429760572e-08
1998,1.4828881944595196e-07,1.3350762273489636e-08
1999,1.68183404980482e-07,1.279656292041409e-08
2000,1.8290650416474818e-07,8.83606254831193e-09
2001,1.7568659416156152e-07,1.3143635513301888e-08
2002,1.572858536746935e-07,1.1829298429688606e-08
2003,1.8334461060476315e-07,1.7084383685528337e-08
2004,1.9777512250129803e-07,1.4535810777260849e-08
2005,1.9276048135452584e-07,1.4862373554080932e-08
2006,1.8324610095987737e-07,1.4412615101377924e-08
2007,1.7775433036604227e-07,9.586750948642475e-09
2008,1.8136692858661263e-07,1.7455501932772677e-08
2009,1.401848663817873e-07,1.6211854969583328e-08
2010,1.5588517499054433e-07,1.369900015646408e-08
2011,1.701667571296639e-07,1.185431308670104e-08
2012,1.4025521011262754e-07,1.1234034147378225e-08
2013,1.1825890311456533e-07,1.338780020176955e-08
2014,1.323086991078526e-07,1.0394137106572998e-08
2015,1.2944799721026357e-07,1.551602757388082e-08
2016,1.0998815724860833e-07,1.118523584864306e-08
2017,1.2225871159898816e-07,9.056201122348284e-09
2018,1.1151936263331663e-07,1.1100306451794495e-08
2019,1.2219231848575873e-07,1.0714148679369373e-08
