year,devaient_VERB ajouter_VERB
1908,2.8486056180554442e-08
1909,1.265226234892225e-08
1910,9.085056262847502e-09
1911,1.1704822888702893e-08
1912,1.8753915753677575e-08
1913,1.1666577037772186e-08
1914,1.0045115850232378e-08
1915,5.890381071793627e-09
1916,1.3184954461564757e-08
1917,1.864292187292449e-08
1918,6.89182577673364e-09
1919,6.4454939163738345e-09
1920,1.8930579770426448e-08
1921,1.1359120755116692e-08
1922,1.549366501762961e-08
1923,1.3800733000834953e-08
1924,9.02413699321869e-09
1925,7.698724324711748e-09
1926,1.2260752413340015e-08
1927,4.4596899506643695e-09
1928,1.1426041224282812e-09
1929,6.684243825105796e-09
1930,1.470504518152893e-08
1931,1.1405356659111021e-08
1932,1.0959536389520963e-08
1933,1.4911860191091364e-08
1934,1.3179738189705859e-08
1935,3.590485242455088e-09
1936,8.487299751891442e-09
1937,1.2591118370153254e-08
1938,2.074434313215079e-08
1939,1.2235240376412548e-08
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,2.322588166236983e-08
1944,6.4263723231761105e-09
1945,1.5249527862692958e-08
1946,8.352662561605939e-09
1947,4.7683483828109274e-09
1948,1.195907639583993e-08
1949,2.1597418964347526e-08
1950,1.0635361036293034e-08
1951,4.264560704569931e-09
1952,4.2179215675730575e-09
1953,9.69644453618912e-09
1954,5.863521668203475e-09
1955,6.569925492527773e-09
1956,5.232684952005684e-09
1957,1.0602045463770082e-08
1958,4.1361216673863055e-09
1959,6.975672928177801e-09
1960,5.536666680683311e-09
1961,7.64297514166401e-09
1962,1.0147130247162295e-08
1963,1.2285501505004959e-08
1964,1.4601523545820783e-08
1965,7.660860390501512e-09
1966,6.6468897053084675e-09
1967,5.916402479044791e-09
1968,1.0779397818794223e-08
1969,9.991866889436096e-09
1970,9.197449912790034e-09
1971,6.166076982339064e-09
1972,9.234264020108185e-09
1973,1.0475087464101307e-08
1974,1.012602890426706e-08
1975,5.711480177694739e-09
1976,7.427584769459372e-09
1977,1.3516598507123945e-08
1978,5.346532105932056e-09
1979,9.363157360553487e-09
1980,9.664756106531058e-09
1981,4.427884725544118e-09
1982,7.449002747961231e-09
1983,1.136756910824488e-08
1984,3.479405208395292e-09
1985,5.414002135495366e-09
1986,5.994485352545098e-09
1987,1.8332451112712533e-09
1988,4.197587610832443e-09
1989,7.134558721588746e-09
1990,4.90378582185258e-09
1991,6.4476117778156095e-09
1992,3.30596661157756e-09
1993,6.093128224193833e-09
1994,1.0549853435293244e-08
1995,8.133675954979935e-09
1996,6.4057106285986265e-09
1997,1.1987236092636522e-08
1998,2.3840645013706308e-09
1999,5.484241505371301e-09
2000,6.627047355323157e-09
2001,5.257454027685071e-09
2002,6.571832411594869e-09
2003,7.500461585152607e-09
2004,1.0131019578807354e-08
2005,6.305249655724765e-09
2006,8.235780057930242e-09
2007,8.787854888225866e-09
2008,7.2376473703172906e-09
2009,9.53638501499654e-09
2010,5.196172381261022e-09
2011,6.500752380844688e-09
2012,4.425528388196653e-09
2013,5.857162754807632e-09
2014,8.228691505962615e-09
2015,7.536356427806368e-09
2016,8.906762438698479e-09
2017,7.798394818792076e-09
2018,5.937373259712331e-09
2019,3.06118530524202e-09
