year,dut_VERB aller_VERB
1874,1.9716209465059364e-07
1875,1.4418247928915662e-07
1876,1.148742825307636e-07
1877,1.9976955911715777e-07
1878,1.2380131408917805e-07
1879,1.5395499985970673e-07
1880,1.6750578879509703e-07
1881,1.3456939029765635e-07
1882,1.317766304964607e-07
1883,1.232271102935556e-07
1884,1.4523733682381135e-07
1885,1.8241148325159884e-07
1886,2.0070272910288622e-07
1887,1.482065954405698e-07
1888,1.7309878330706852e-07
1889,1.5224281924020033e-07
1890,1.664814135438064e-07
1891,1.2748439814913581e-07
1892,1.5107114847978664e-07
1893,1.5211288939553924e-07
1894,1.638400277670371e-07
1895,1.7092865789436473e-07
1896,1.7867998280962638e-07
1897,1.5091188743099337e-07
1898,1.9238406423482957e-07
1899,1.4040048768038105e-07
1900,1.489832186507556e-07
1901,1.6822103532376786e-07
1902,1.3994308289966284e-07
1903,1.4796603409195086e-07
1904,1.4081517463182536e-07
1905,1.414047972048138e-07
1906,1.6204181463308487e-07
1907,1.496567421099826e-07
1908,1.669872347065393e-07
1909,1.6612970910045988e-07
1910,1.7635697702189645e-07
1911,1.7504031291082356e-07
1912,1.9795800199062796e-07
1913,1.7446836864110082e-07
1914,1.727759837422127e-07
1915,1.5550605780845217e-07
1916,1.648119365427192e-07
1917,1.8204264051746577e-07
1918,1.3094468442886864e-07
1919,1.1325653304083971e-07
1920,1.5220186355691112e-07
1921,1.696295441888651e-07
1922,1.4608312426389602e-07
1923,1.326993555039735e-07
1924,1.405187077807568e-07
1925,1.6827212334646902e-07
1926,1.2818058792163356e-07
1927,2.196397304032871e-07
1928,1.3825510336573643e-07
1929,1.8604478668748925e-07
1930,1.5650368823116878e-07
1931,1.4028589134795766e-07
1932,1.3370635087994742e-07
1933,1.1126542176498333e-07
1934,1.2940105875713925e-07
1935,1.1968283786245593e-07
1936,1.4792151148412813e-07
1937,1.2087473066912935e-07
1938,1.2316954212110431e-07
1939,7.647025057622159e-08
1940,1.2678914629304927e-07
1941,1.328176182369134e-07
1942,1.3957374278561474e-07
1943,1.7129087837020052e-07
1944,1.8636480092482088e-07
1945,1.7863733603462606e-07
1946,1.7540591557008156e-07
1947,1.5973967038007686e-07
1948,1.1198044802540608e-07
1949,9.129817613029445e-08
1950,1.2124311865591153e-07
1951,1.4925961977496627e-07
1952,1.1599284022167922e-07
1953,1.1958948675783176e-07
1954,7.915754451914836e-08
1955,1.0136456296550023e-07
1956,1.1773541075399407e-07
1957,8.481636371016066e-08
1958,9.595802197281955e-08
1959,1.1161076685084481e-07
1960,1.335720867245982e-07
1961,9.31053349972899e-08
1962,9.89345210200554e-08
1963,1.0927630000878708e-07
1964,1.08294635481343e-07
1965,9.685516744184497e-08
1966,1.213057316817867e-07
1967,1.0698828134536598e-07
1968,9.881114948484537e-08
1969,9.583109061850337e-08
1970,1.0117194904069038e-07
1971,7.758980302696727e-08
1972,7.182205763456295e-08
1973,7.387693301552645e-08
1974,7.369499144260772e-08
1975,6.853775857962319e-08
1976,6.970503108050252e-08
1977,8.051191002778069e-08
1978,7.009897728949e-08
1979,8.309802268513522e-08
1980,7.845508065429385e-08
1981,7.653915190530824e-08
1982,7.635227916580334e-08
1983,6.125856799599205e-08
1984,7.074790175920498e-08
1985,6.135869057288801e-08
1986,5.8146508052914214e-08
1987,5.8052759044358027e-08
1988,7.615623331957977e-08
1989,7.189439799049069e-08
1990,7.246705990837654e-08
1991,5.978694161967724e-08
1992,7.493524378787697e-08
1993,6.314696321396696e-08
1994,6.540908970009696e-08
1995,6.452716405647152e-08
1996,5.658377588702024e-08
1997,5.130537061859286e-08
1998,6.198568058835008e-08
1999,6.946705610744175e-08
2000,5.655080315136729e-08
2001,4.8193328439083416e-08
2002,5.8708369721216513e-08
2003,6.41706137116671e-08
2004,5.1976535075937136e-08
2005,5.5846495428113485e-08
2006,4.941468034758145e-08
2007,3.9545348329284025e-08
2008,4.8109068728763305e-08
2009,5.674149150536323e-08
2010,6.424358645062966e-08
2011,6.615471193072153e-08
2012,8.782971860910038e-08
2013,1.0152415086395195e-07
2014,1.5028189181975904e-07
2015,1.0041086540013566e-07
2016,1.1661644094829171e-07
2017,9.031044356788698e-08
2018,1.0119349269643862e-07
2019,1.0510069614610984e-07
