year,voulaient_VERB aller_VERB
2003,7.917153510561548e-08
2004,7.532192825010497e-08
2005,7.16096195674254e-08
2006,6.835697519136374e-08
2007,8.388406769199719e-08
2008,6.726754975261429e-08
2009,7.724472084191802e-08
2010,8.927968764282923e-08
2011,7.877382302012848e-08
2012,7.251058065094185e-08
2013,8.869417911228084e-08
2014,9.50630436591382e-08
2015,9.353948371426668e-08
2016,9.445310666933437e-08
2017,9.634791098278583e-08
2018,1.0119349269643862e-07
2019,8.010101737454534e-08
