year,dut_VERB avoir_VERB
1906,3.467180249572266e-07
1907,3.8057041251704504e-07
1908,3.5509341955730633e-07
1909,3.487623700948461e-07
1910,2.800335039410129e-07
1911,3.4954857142110995e-07
1912,3.662223093670036e-07
1913,3.7014868325968564e-07
1914,2.9398705692074145e-07
1915,2.485740822066873e-07
1916,2.636990927840088e-07
1917,2.511311265607219e-07
1918,3.0209170631678717e-07
1919,2.679483941392391e-07
1920,3.4907986901089316e-07
1921,3.22599049695782e-07
1922,2.929040476828959e-07
1923,3.53511069306478e-07
1924,3.6096548683417495e-07
1925,3.783373188070982e-07
1926,3.4441566754139785e-07
1927,3.433961239807104e-07
1928,3.759167555017484e-07
1929,2.695978480460326e-07
1930,3.5712253065867117e-07
1931,3.512849957587605e-07
1932,2.980993940582266e-07
1933,3.819730522991449e-07
1934,3.390787242096849e-07
1935,2.8843564336966665e-07
1936,2.909931424710521e-07
1937,3.11000604824585e-07
1938,2.6060081381729105e-07
1939,2.8293993636907544e-07
1940,2.738645434874343e-07
1941,3.8074384178798937e-07
1942,3.732080529061932e-07
1943,4.1225939639844e-07
1944,3.18105435326288e-07
1945,3.812382090018218e-07
1946,2.798142020310479e-07
1947,2.6941168584926345e-07
1948,1.9895554714821628e-07
1949,2.8665664331128937e-07
1950,2.5631220523791853e-07
1951,2.452122487284214e-07
1952,2.2882224470777146e-07
1953,2.811968897731276e-07
1954,2.5897219302351004e-07
1955,2.402715608695871e-07
1956,2.0930740163294104e-07
1957,2.3324498954480077e-07
1958,2.0266996614282107e-07
1959,2.317473644097845e-07
1960,2.4222916295002506e-07
1961,2.2650999653706094e-07
1962,1.9977161969109147e-07
1963,2.0238746856193757e-07
1964,2.4396712205998483e-07
1965,3.1628411534256884e-07
1966,2.6033652034129773e-07
1967,2.504610563391907e-07
1968,2.515192818464129e-07
1969,2.2345447803218121e-07
1970,2.441923072638019e-07
1971,2.1632654068071133e-07
1972,2.672806544978812e-07
1973,2.0509118314748775e-07
1974,1.907068849504867e-07
1975,1.8962114722853585e-07
1976,1.834042109294387e-07
1977,1.745404176745069e-07
1978,1.704949710301662e-07
1979,1.825815729716851e-07
1980,1.9841175458168436e-07
1981,1.5687362520111492e-07
1982,1.4277254933858785e-07
1983,1.547252423961254e-07
1984,1.188796758810895e-07
1985,1.4317028274035692e-07
1986,1.498621315931814e-07
1987,1.454374398690561e-07
1988,1.4271797965648148e-07
1989,1.4708167839216912e-07
1990,1.231395145850911e-07
1991,1.2777994129464787e-07
1992,1.399525757506126e-07
1993,1.6839190664086345e-07
1994,1.4242301915601274e-07
1995,1.2471636523514462e-07
1996,1.259789712548809e-07
1997,1.1603644622937281e-07
1998,1.187264189184134e-07
1999,1.1791119192139377e-07
2000,1.0161472374647929e-07
2001,1.121590216257573e-07
2002,1.08216170247033e-07
2003,1.1667383859048641e-07
2004,9.11791815383367e-08
2005,1.0403661576674494e-07
2006,9.47114671134841e-08
2007,8.70796554863773e-08
2008,9.579239446111387e-08
2009,1.0108568204714174e-07
2010,8.880731172666856e-08
2011,7.303786730972206e-08
2012,9.531907352311464e-08
2013,1.0236088598958304e-07
2014,1.3620650918255706e-07
2015,1.2390655967919884e-07
2016,1.4457953056989936e-07
2017,9.735416028888721e-08
2018,1.048075475296173e-07
2019,1.2601879006979289e-07
