year,durent_VERB aller_VERB
1928,4.1133748851507335e-08
1929,2.4508894469477127e-08
1930,4.621585603103995e-08
1931,3.307553342324354e-08
1932,4.274219378430644e-08
1933,3.4411986149507356e-08
1934,1.7972370258689807e-08
1935,3.351119559624749e-08
1936,1.8187071404440758e-08
1937,3.903246792447135e-08
1938,1.9447821131279852e-08
1939,4.282334131744392e-08
1940,5.325144059042941e-08
1941,2.9515025090631752e-08
1942,5.158160121254696e-08
1943,4.645176332473966e-08
1944,2.5705489292704442e-08
1945,7.84261473540937e-08
1946,5.150808490839154e-08
1947,4.52993091926146e-08
1948,4.022598432129598e-08
1949,2.3560819073509265e-08
1950,2.9779013033248702e-08
1951,2.9851925376078725e-08
1952,2.4253049346611988e-08
1953,2.5857186614075545e-08
1954,3.0294863506696856e-08
1955,1.5016972554349195e-08
1956,2.1802854632824165e-08
1957,3.8874166108371355e-08
1958,2.1507833736222892e-08
1959,2.2477168570844697e-08
1960,2.2838749558218296e-08
1961,2.153929301584867e-08
1962,2.0928455413127267e-08
1963,2.0691370394843034e-08
1964,1.8251904876365188e-08
1965,1.91521518644322e-08
1966,2.547974453648294e-08
1967,2.859594694371026e-08
1968,2.919420261093819e-08
1969,2.5888018839737015e-08
1970,2.6212733317265702e-08
1971,2.7747345754391972e-08
1972,2.0520587895589415e-08
1973,2.0398854161385316e-08
1974,1.7439271360331077e-08
1975,2.627280792921738e-08
1976,2.742492810625663e-08
1977,2.3507126911681553e-08
1978,2.257424647211792e-08
1979,2.2237498953359136e-08
1980,1.989802811408481e-08
1981,2.4669642328944974e-08
1982,2.296775925003658e-08
1983,1.4525227243211702e-08
1984,2.3196033538397387e-08
1985,2.1054452403745927e-08
1986,2.2779044428489215e-08
1987,2.8720839040374813e-08
1988,1.4991384134077634e-08
1989,2.030605195102453e-08
1990,1.7435683119515488e-08
1991,1.934283488935762e-08
1992,2.4243753671271406e-08
1993,2.7142116110212555e-08
1994,1.793475057354499e-08
1995,1.6809597269684673e-08
1996,1.5480466686312866e-08
1997,1.4864173003559245e-08
1998,1.859570453177639e-08
1999,1.7366764026860437e-08
2000,1.988114206596947e-08
2001,1.7524847351069184e-08
2002,1.6648641576466616e-08
2003,1.12506919336397e-08
2004,1.761916479381398e-08
2005,1.9366122927522156e-08
2006,1.1941880373456115e-08
2007,1.1983438241713884e-08
2008,1.5326783397995314e-08
2009,1.6211854969583328e-08
2010,8.97520635589899e-09
2011,1.3766299211681599e-08
2012,1.3617010630184723e-08
2013,2.119734965333464e-08
2014,2.3819897165822113e-08
2015,2.349569960813369e-08
2016,1.8849194205472486e-08
2017,1.685459594114036e-08
2018,1.7295826992835828e-08
2019,1.9132407658162265e-08
