year,devront_VERB appliquer_VERB
1910,2.2445432179551972e-08
1911,2.2345570727111408e-08
1912,1.6670147928721235e-08
1913,1.590896836489719e-08
1914,1.808120764223986e-08
1915,7.068456930880984e-09
1916,2.307367097387214e-08
1917,2.1932848426331475e-08
1918,3.790504266021344e-08
1919,1.3811772170413406e-08
1920,2.0445025228355007e-08
1921,1.438822039290244e-08
1922,2.1396012073182646e-08
1923,1.9108707505210987e-08
1924,1.804827398643738e-08
1925,1.6497267552040284e-08
1926,1.5604593173179637e-08
1927,1.1149224654616319e-08
1928,9.14083297942625e-09
1929,2.1166771446701205e-08
1930,2.941009036305786e-08
1931,3.193499864551086e-08
1932,2.520693342944469e-08
1933,2.6382522833046096e-08
1934,2.156684431042777e-08
1935,3.7101681726881e-08
1936,3.6374142808881516e-08
1937,4.1550688223424004e-08
1938,3.8895642262559704e-08
1939,6.270560959364957e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,2.730790527039062e-08
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,2.178504132643866e-08
1946,2.227376683094917e-08
1947,1.1920871401116528e-08
1948,2.5005341797168512e-08
1949,2.3560819073509265e-08
1950,2.2334258886758107e-08
1951,2.9851925376078725e-08
1952,2.1089608281954497e-08
1953,1.6160740301529586e-08
1954,7.818028890937967e-09
1955,2.3464020060259827e-08
1956,2.0930739808022736e-08
1957,2.738861759610245e-08
1958,3.1434524316864554e-08
1959,2.712761748568937e-08
1960,2.422291700554524e-08
1961,1.389631876236308e-08
1962,5.7077609305622445e-09
1963,1.2285501505004959e-08
1964,1.4601523545820783e-08
1965,1.1491291473930687e-08
1966,1.1078149952936656e-08
1967,1.9228309611207806e-08
1968,2.110965446888713e-08
1969,1.6804504454626112e-08
1970,2.713247759800197e-08
1971,2.569198720436816e-08
1972,2.4111690422046195e-08
1973,2.3155456219114967e-08
1974,2.700274492895005e-08
1975,2.798625331479343e-08
1976,2.399681342524218e-08
1977,1.5279633558407113e-08
1978,1.1881182260253809e-08
1979,1.7555919384903973e-08
1980,1.0233271119375331e-08
1981,1.9609203150139365e-08
1982,1.5518756057986138e-08
1983,1.1999100379966876e-08
1984,1.2177918229383522e-08
1985,2.285912081845254e-08
1986,1.558566253834215e-08
1987,1.3443797186596385e-08
1988,1.798966131616453e-08
1989,2.030605195102453e-08
1990,1.6345952147389653e-08
1991,1.4653663171770859e-08
1992,1.1570882918476855e-08
1993,1.1078414630105726e-08
1994,1.476979427650349e-08
1995,1.572510655023507e-08
1996,1.0676184380997711e-08
1997,1.2466725429760572e-08
1998,2.7178336026167926e-08
1999,1.8737825513426287e-08
2000,1.9439339027371716e-08
2001,2.1029816110740285e-08
2002,1.9715496790695397e-08
2003,2.9168459647621603e-08
2004,2.5107310008820605e-08
2005,1.8465373230469595e-08
2006,1.6059770402421236e-08
2007,1.078509459517818e-08
2008,1.1920831433087642e-08
2009,1.0490023072406984e-08
2010,1.842279218067233e-08
2011,1.0324724186716594e-08
2012,1.1574459612972987e-08
2013,1.1714325509615264e-08
2014,8.87832563023494e-09
2015,7.75801378694041e-09
2016,1.1392370602436586e-08
2017,8.301517695485927e-09
2018,6.9699601645822895e-09
2019,9.183556137770665e-09
